,0,1,2,3,4
5,5.9,7.8,,7.1,5.4
6,7.8,,7.1,5.4,6.2
7,,7.1,5.4,6.2,6.7
8,7.1,5.4,6.2,6.7,6.9
9,5.4,6.2,6.7,6.9,
10,6.2,6.7,6.9,,9.0
11,6.7,6.9,,9.0,9.9
12,6.9,,9.0,9.9,6.2
13,,9.0,9.9,6.2,10.5
14,9.0,9.9,6.2,10.5,6.5
15,9.9,6.2,10.5,6.5,13.4
16,6.2,10.5,6.5,13.4,8.3
17,10.5,6.5,13.4,8.3,5.8
18,6.5,13.4,8.3,5.8,10.5
19,13.4,8.3,5.8,10.5,8.7
20,8.3,5.8,10.5,8.7,18.6
21,5.8,10.5,8.7,18.6,43.7
22,10.5,8.7,18.6,43.7,80.5
23,8.7,18.6,43.7,80.5,78.2
24,18.6,43.7,80.5,78.2,81.0
25,43.7,80.5,78.2,81.0,60.5
26,80.5,78.2,81.0,60.5,
27,78.2,81.0,60.5,,294.3
28,81.0,60.5,,294.3,232.5
29,60.5,,294.3,232.5,229.5
30,,294.3,232.5,229.5,278.9
31,294.3,232.5,229.5,278.9,
32,232.5,229.5,278.9,,231.6
33,229.5,278.9,,231.6,347.7
34,278.9,,231.6,347.7,434.8
35,,231.6,347.7,434.8,472.0
36,231.6,347.7,434.8,472.0,
37,347.7,434.8,472.0,,
38,434.8,472.0,,,436.6
39,472.0,,,436.6,465.6
40,,,436.6,465.6,454.8
41,,436.6,465.6,454.8,440.1
42,436.6,465.6,454.8,440.1,401.9
43,465.6,454.8,440.1,401.9,393.1
44,454.8,440.1,401.9,393.1,380.1
45,440.1,401.9,393.1,380.1,
46,401.9,393.1,380.1,,
47,393.1,380.1,,,373.9
48,380.1,,,373.9,366.9
49,,,373.9,366.9,
50,,373.9,366.9,,363.0
51,373.9,366.9,,363.0,323.4
52,366.9,,363.0,323.4,
53,,363.0,323.4,,272.9
54,363.0,323.4,,272.9,265.6
55,323.4,,272.9,265.6,312.8
56,,272.9,265.6,312.8,364.7
57,272.9,265.6,312.8,364.7,339.9
58,265.6,312.8,364.7,339.9,254.3
