,0,1,2,3,4
5,65.3,74.3,,68.9,59.1
6,74.3,,68.9,59.1,61.4
7,,68.9,59.1,61.4,51.4
8,68.9,59.1,61.4,51.4,59.9
9,59.1,61.4,51.4,59.9,
10,61.4,51.4,59.9,,57.8
11,51.4,59.9,,57.8,59.4
12,59.9,,57.8,59.4,67.2
13,,57.8,59.4,67.2,66.7
14,57.8,59.4,67.2,66.7,61.3
15,59.4,67.2,66.7,61.3,85.9
16,67.2,66.7,61.3,85.9,74.7
17,66.7,61.3,85.9,74.7,63.7
18,61.3,85.9,74.7,63.7,79.6
19,85.9,74.7,63.7,79.6,83.5
20,74.7,63.7,79.6,83.5,116.5
21,63.7,79.6,83.5,116.5,145.2
22,79.6,83.5,116.5,145.2,160.5
23,83.5,116.5,145.2,160.5,151.2
24,116.5,145.2,160.5,151.2,154.5
25,145.2,160.5,151.2,154.5,156.2
26,160.5,151.2,154.5,156.2,
27,151.2,154.5,156.2,,163.9
28,154.5,156.2,,163.9,171.2
29,156.2,,163.9,171.2,168.8
30,,163.9,171.2,168.8,187.3
31,163.9,171.2,168.8,187.3,
32,171.2,168.8,187.3,,186.0
33,168.8,187.3,,186.0,186.4
34,187.3,,186.0,186.4,186.2
35,,186.0,186.4,186.2,186.5
36,186.0,186.4,186.2,186.5,179.0
37,186.4,186.2,186.5,179.0,
38,186.2,186.5,179.0,,166.6
39,186.5,179.0,,166.6,154.8
40,179.0,,166.6,154.8,152.6
41,,166.6,154.8,152.6,165.4
42,166.6,154.8,152.6,165.4,156.4
43,154.8,152.6,165.4,156.4,162.0
44,152.6,165.4,156.4,162.0,167.9
45,165.4,156.4,162.0,167.9,
46,156.4,162.0,167.9,,
47,162.0,167.9,,,139.9
48,167.9,,,139.9,132.6
49,,,139.9,132.6,
50,,139.9,132.6,,133.4
51,139.9,132.6,,133.4,137.2
52,132.6,,133.4,137.2,
53,,133.4,137.2,,134.7
54,133.4,137.2,,134.7,135.6
55,137.2,,134.7,135.6,128.8
56,,134.7,135.6,128.8,133.4
57,134.7,135.6,128.8,133.4,118.4
58,135.6,128.8,133.4,118.4,126.7
59,128.8,133.4,118.4,126.7,
60,133.4,118.4,126.7,,127.1
61,118.4,126.7,,127.1,117.0
62,126.7,,127.1,117.0,115.8
63,,127.1,117.0,115.8,124.6
64,127.1,117.0,115.8,124.6,118.6
65,117.0,115.8,124.6,118.6,110.4
66,115.8,124.6,118.6,110.4,96.7
67,124.6,118.6,110.4,96.7,87.4
68,118.6,110.4,96.7,87.4,72.3
69,110.4,96.7,87.4,72.3,61.5
70,96.7,87.4,72.3,61.5,
71,87.4,72.3,61.5,,63.5
72,72.3,61.5,,63.5,64.7
73,61.5,,63.5,64.7,64.6
74,,63.5,64.7,64.6,68.3
75,63.5,64.7,64.6,68.3,67.2
76,64.7,64.6,68.3,67.2,62.9
77,64.6,68.3,67.2,62.9,64.7
78,68.3,67.2,62.9,64.7,65.6
79,67.2,62.9,64.7,65.6,66.6
80,62.9,64.7,65.6,66.6,65.6
81,64.7,65.6,66.6,65.6,63.2
82,65.6,66.6,65.6,63.2,65.9
83,66.6,65.6,63.2,65.9,73.0
84,65.6,63.2,65.9,73.0,79.3
85,63.2,65.9,73.0,79.3,
86,65.9,73.0,79.3,,
87,73.0,79.3,,,
88,79.3,,,,91.3
89,,,,91.3,100.8
90,,,91.3,100.8,118.1
91,,91.3,100.8,118.1,116.2
92,91.3,100.8,118.1,116.2,109.7
93,100.8,118.1,116.2,109.7,
94,118.1,116.2,109.7,,
95,116.2,109.7,,,
96,109.7,,,,15.6
97,,,,15.6,10.2
98,,,15.6,10.2,19.6
99,,15.6,10.2,19.6,93.4
100,15.6,10.2,19.6,93.4,91.6
101,10.2,19.6,93.4,91.6,96.7
102,19.6,93.4,91.6,96.7,88.3
103,93.4,91.6,96.7,88.3,77.3
104,91.6,96.7,88.3,77.3,72.8
105,96.7,88.3,77.3,72.8,65.3
106,88.3,77.3,72.8,65.3,72.5
107,77.3,72.8,65.3,72.5,62.9
108,72.8,65.3,72.5,62.9,
109,65.3,72.5,62.9,,77.5
110,72.5,62.9,,77.5,61.4
111,62.9,,77.5,61.4,80.2
112,,77.5,61.4,80.2,84.2
113,77.5,61.4,80.2,84.2,67.1
114,61.4,80.2,84.2,67.1,88.3
115,80.2,84.2,67.1,88.3,117.2
116,84.2,67.1,88.3,117.2,158.0
117,67.1,88.3,117.2,158.0,167.6
118,88.3,117.2,158.0,167.6,
119,117.2,158.0,167.6,,193.3
120,158.0,167.6,,193.3,188.8
121,167.6,,193.3,188.8,190.9
122,,193.3,188.8,190.9,205.9
123,193.3,188.8,190.9,205.9,223.1
124,188.8,190.9,205.9,223.1,219.6
125,190.9,205.9,223.1,219.6,204.8
126,205.9,223.1,219.6,204.8,195.8
127,223.1,219.6,204.8,195.8,205.3
128,219.6,204.8,195.8,205.3,202.9
129,204.8,195.8,205.3,202.9,193.8
130,195.8,205.3,202.9,193.8,191.8
131,205.3,202.9,193.8,191.8,186.7
132,202.9,193.8,191.8,186.7,172.7
133,193.8,191.8,186.7,172.7,172.6
134,191.8,186.7,172.7,172.6,
135,186.7,172.7,172.6,,171.5
136,172.7,172.6,,171.5,165.2
137,172.6,,171.5,165.2,155.4
138,,171.5,165.2,155.4,154.0
139,171.5,165.2,155.4,154.0,137.2
140,165.2,155.4,154.0,137.2,124.0
141,155.4,154.0,137.2,124.0,
142,154.0,137.2,124.0,,97.2
143,137.2,124.0,,97.2,84.1
144,124.0,,97.2,84.1,82.0
145,,97.2,84.1,82.0,82.4
146,97.2,84.1,82.0,82.4,62.6
147,84.1,82.0,82.4,62.6,57.2
148,82.0,82.4,62.6,57.2,58.6
149,82.4,62.6,57.2,58.6,55.3
150,62.6,57.2,58.6,55.3,55.5
151,57.2,58.6,55.3,55.5,52.8
152,58.6,55.3,55.5,52.8,56.2
153,55.3,55.5,52.8,56.2,55.0
154,55.5,52.8,56.2,55.0,55.9
155,52.8,56.2,55.0,55.9,51.4
156,56.2,55.0,55.9,51.4,41.8
157,55.0,55.9,51.4,41.8,42.2
158,55.9,51.4,41.8,42.2,41.0
159,51.4,41.8,42.2,41.0,37.0
160,41.8,42.2,41.0,37.0,
161,42.2,41.0,37.0,,32.6
162,41.0,37.0,,32.6,31.2
163,37.0,,32.6,31.2,32.7
164,,32.6,31.2,32.7,30.8
165,32.6,31.2,32.7,30.8,27.2
166,31.2,32.7,30.8,27.2,31.5
167,32.7,30.8,27.2,31.5,31.1
168,30.8,27.2,31.5,31.1,34.1
169,27.2,31.5,31.1,34.1,33.2
170,31.5,31.1,34.1,33.2,27.1
171,31.1,34.1,33.2,27.1,34.8
172,34.1,33.2,27.1,34.8,35.8
173,33.2,27.1,34.8,35.8,36.7
174,27.1,34.8,35.8,36.7,36.9
