,0,1,2,3,4
5,39.5,45.9,,42.4,35.8
6,45.9,,42.4,35.8,37.6
7,,42.4,35.8,37.6,32.8
8,42.4,35.8,37.6,32.8,37.5
9,35.8,37.6,32.8,37.5,
10,37.6,32.8,37.5,,38.0
11,32.8,37.5,,38.0,39.6
12,37.5,,38.0,39.6,40.8
13,,38.0,39.6,40.8,44.0
14,38.0,39.6,40.8,44.0,37.8
15,39.6,40.8,44.0,37.8,56.6
16,40.8,44.0,37.8,56.6,46.4
17,44.0,37.8,56.6,46.4,38.6
18,37.8,56.6,46.4,38.6,50.8
19,56.6,46.4,38.6,50.8,51.5
20,46.4,38.6,50.8,51.5,77.1
21,38.6,50.8,51.5,77.1,112.8
22,50.8,51.5,77.1,112.8,150.8
23,51.5,77.1,112.8,150.8,144.1
24,77.1,112.8,150.8,144.1,148.0
25,112.8,150.8,144.1,148.0,132.2
26,150.8,144.1,148.0,132.2,
27,144.1,148.0,132.2,,326.5
28,148.0,132.2,,326.5,280.1
29,132.2,,326.5,280.1,276.4
30,,326.5,280.1,276.4,326.4
31,326.5,280.1,276.4,326.4,
32,280.1,276.4,326.4,,287.3
33,276.4,326.4,,287.3,381.9
34,326.4,,287.3,381.9,452.5
35,,287.3,381.9,452.5,483.0
36,287.3,381.9,452.5,483.0,
37,381.9,452.5,483.0,,
38,452.5,483.0,,,443.5
39,483.0,,,443.5,460.8
40,,,443.5,460.8,450.9
41,,443.5,460.8,450.9,445.8
42,443.5,460.8,450.9,445.8,409.9
43,460.8,450.9,445.8,409.9,405.8
44,450.9,445.8,409.9,405.8,398.4
45,445.8,409.9,405.8,398.4,
46,409.9,405.8,398.4,,
47,405.8,398.4,,,378.4
48,398.4,,,378.4,368.8
49,,,378.4,368.8,
50,,378.4,368.8,,366.1
51,378.4,368.8,,366.1,335.9
52,368.8,,366.1,335.9,
53,,366.1,335.9,,293.6
54,366.1,335.9,,293.6,288.1
55,335.9,,293.6,288.1,322.8
56,,293.6,288.1,322.8,367.5
57,293.6,288.1,322.8,367.5,339.4
58,288.1,322.8,367.5,339.4,274.2
59,322.8,367.5,339.4,274.2,
60,367.5,339.4,274.2,,203.7
61,339.4,274.2,,203.7,230.9
62,274.2,,203.7,230.9,182.8
63,,203.7,230.9,182.8,113.9
64,203.7,230.9,182.8,113.9,96.0
65,230.9,182.8,113.9,96.0,92.8
66,182.8,113.9,96.0,92.8,84.5
67,113.9,96.0,92.8,84.5,52.0
68,96.0,92.8,84.5,52.0,42.2
69,92.8,84.5,52.0,42.2,34.5
70,84.5,52.0,42.2,34.5,
71,52.0,42.2,34.5,,37.3
72,42.2,34.5,,37.3,41.0
73,34.5,,37.3,41.0,39.7
74,,37.3,41.0,39.7,40.2
75,37.3,41.0,39.7,40.2,39.8
76,41.0,39.7,40.2,39.8,41.8
77,39.7,40.2,39.8,41.8,46.5
78,40.2,39.8,41.8,46.5,46.0
79,39.8,41.8,46.5,46.0,49.6
80,41.8,46.5,46.0,49.6,52.7
81,46.5,46.0,49.6,52.7,51.4
82,46.0,49.6,52.7,51.4,51.6
83,49.6,52.7,51.4,51.6,57.7
84,52.7,51.4,51.6,57.7,70.2
85,51.4,51.6,57.7,70.2,
86,51.6,57.7,70.2,,
87,57.7,70.2,,,
88,70.2,,,,73.1
89,,,,73.1,84.3
90,,,73.1,84.3,89.1
91,,73.1,84.3,89.1,80.5
92,73.1,84.3,89.1,80.5,72.8
93,84.3,89.1,80.5,72.8,
94,89.1,80.5,72.8,,
95,80.5,72.8,,,
96,72.8,,,,317.2
97,,,,317.2,282.8
98,,,317.2,282.8,14.2
99,,317.2,282.8,14.2,59.9
100,317.2,282.8,14.2,59.9,61.1
101,282.8,14.2,59.9,61.1,60.1
102,14.2,59.9,61.1,60.1,54.7
103,59.9,61.1,60.1,54.7,47.4
104,61.1,60.1,54.7,47.4,46.8
105,60.1,54.7,47.4,46.8,38.4
106,54.7,47.4,46.8,38.4,44.3
107,47.4,46.8,38.4,44.3,39.0
108,46.8,38.4,44.3,39.0,
109,38.4,44.3,39.0,,47.6
110,44.3,39.0,,47.6,37.2
111,39.0,,47.6,37.2,50.0
112,,47.6,37.2,50.0,52.7
113,47.6,37.2,50.0,52.7,43.0
114,37.2,50.0,52.7,43.0,58.1
115,50.0,52.7,43.0,58.1,77.6
116,52.7,43.0,58.1,77.6,125.3
117,43.0,58.1,77.6,125.3,213.4
118,58.1,77.6,125.3,213.4,
119,77.6,125.3,213.4,,266.6
120,125.3,213.4,,266.6,316.3
121,213.4,,266.6,316.3,275.3
122,,266.6,316.3,275.3,294.6
123,266.6,316.3,275.3,294.6,353.9
124,316.3,275.3,294.6,353.9,378.9
125,275.3,294.6,353.9,378.9,298.6
126,294.6,353.9,378.9,298.6,315.0
127,353.9,378.9,298.6,315.0,312.5
128,378.9,298.6,315.0,312.5,221.2
129,298.6,315.0,312.5,221.2,167.1
130,315.0,312.5,221.2,167.1,162.8
131,312.5,221.2,167.1,162.8,226.9
132,221.2,167.1,162.8,226.9,220.6
133,167.1,162.8,226.9,220.6,240.9
134,162.8,226.9,220.6,240.9,
135,226.9,220.6,240.9,,128.0
136,220.6,240.9,,128.0,137.2
137,240.9,,128.0,137.2,165.4
138,,128.0,137.2,165.4,132.5
139,128.0,137.2,165.4,132.5,92.8
140,137.2,165.4,132.5,92.8,68.3
141,165.4,132.5,92.8,68.3,
142,132.5,92.8,68.3,,55.5
143,92.8,68.3,,55.5,47.0
144,68.3,,55.5,47.0,46.0
145,,55.5,47.0,46.0,47.5
146,55.5,47.0,46.0,47.5,37.6
147,47.0,46.0,47.5,37.6,34.2
148,46.0,47.5,37.6,34.2,35.8
149,47.5,37.6,34.2,35.8,30.0
150,37.6,34.2,35.8,30.0,33.8
151,34.2,35.8,30.0,33.8,32.0
152,35.8,30.0,33.8,32.0,38.0
153,30.0,33.8,32.0,38.0,33.7
154,33.8,32.0,38.0,33.7,32.4
155,32.0,38.0,33.7,32.4,30.2
156,38.0,33.7,32.4,30.2,24.0
157,33.7,32.4,30.2,24.0,25.3
158,32.4,30.2,24.0,25.3,27.2
159,30.2,24.0,25.3,27.2,25.1
160,24.0,25.3,27.2,25.1,
161,25.3,27.2,25.1,,18.6
162,27.2,25.1,,18.6,21.9
163,25.1,,18.6,21.9,19.4
164,,18.6,21.9,19.4,18.9
165,18.6,21.9,19.4,18.9,14.9
166,21.9,19.4,18.9,14.9,19.0
167,19.4,18.9,14.9,19.0,18.4
168,18.9,14.9,19.0,18.4,19.1
169,14.9,19.0,18.4,19.1,21.9
170,19.0,18.4,19.1,21.9,15.4
171,18.4,19.1,21.9,15.4,22.4
172,19.1,21.9,15.4,22.4,24.0
173,21.9,15.4,22.4,24.0,22.5
174,15.4,22.4,24.0,22.5,26.0
175,22.4,24.0,22.5,26.0,24.5
176,24.0,22.5,26.0,24.5,25.0
177,22.5,26.0,24.5,25.0,27.6
178,26.0,24.5,25.0,27.6,28.1
179,24.5,25.0,27.6,28.1,28.6
180,25.0,27.6,28.1,28.6,28.9
181,27.6,28.1,28.6,28.9,
182,28.1,28.6,28.9,,
183,28.6,28.9,,,
184,28.9,,,,29.0
185,,,,29.0,33.9
186,,,29.0,33.9,35.1
187,,29.0,33.9,35.1,43.2
188,29.0,33.9,35.1,43.2,38.9
189,33.9,35.1,43.2,38.9,
190,35.1,43.2,38.9,,
191,43.2,38.9,,,
192,38.9,,,,35.3
193,,,,35.3,32.0
194,,,35.3,32.0,
195,,35.3,32.0,,28.0
196,35.3,32.0,,28.0,29.7
197,32.0,,28.0,29.7,32.3
198,,28.0,29.7,32.3,29.4
199,28.0,29.7,32.3,29.4,28.6
200,29.7,32.3,29.4,28.6,31.1
201,32.3,29.4,28.6,31.1,31.3
202,29.4,28.6,31.1,31.3,34.6
203,28.6,31.1,31.3,34.6,31.8
204,31.1,31.3,34.6,31.8,32.2
205,31.3,34.6,31.8,32.2,30.5
206,34.6,31.8,32.2,30.5,34.5
207,31.8,32.2,30.5,34.5,39.3
208,32.2,30.5,34.5,39.3,38.0
209,30.5,34.5,39.3,38.0,41.9
210,34.5,39.3,38.0,41.9,43.1
211,39.3,38.0,41.9,43.1,45.0
212,38.0,41.9,43.1,45.0,46.0
213,41.9,43.1,45.0,46.0,62.2
214,43.1,45.0,46.0,62.2,70.5
