,0,1,2,3,4
5,390.0,254.0,,254.0,254.0
6,254.0,,254.0,254.0,171.0
7,,254.0,254.0,171.0,171.0
8,254.0,254.0,171.0,171.0,171.0
9,254.0,171.0,171.0,171.0,
10,171.0,171.0,171.0,,126.0
11,171.0,171.0,,126.0,126.0
12,171.0,,126.0,126.0,126.0
13,,126.0,126.0,126.0,126.0
14,126.0,126.0,126.0,126.0,116.0
15,126.0,126.0,126.0,116.0,116.0
16,126.0,126.0,116.0,116.0,116.0
17,126.0,116.0,116.0,116.0,116.0
18,116.0,116.0,116.0,116.0,127.0
19,116.0,116.0,116.0,127.0,127.0
20,116.0,116.0,127.0,127.0,127.0
21,116.0,127.0,127.0,127.0,127.0
22,127.0,127.0,127.0,127.0,155.0
23,127.0,127.0,127.0,155.0,155.0
24,127.0,127.0,155.0,155.0,155.0
25,127.0,155.0,155.0,155.0,155.0
26,155.0,155.0,155.0,155.0,
27,155.0,155.0,155.0,,235.0
28,155.0,155.0,,235.0,235.0
29,155.0,,235.0,235.0,235.0
30,,235.0,235.0,235.0,435.0
31,235.0,235.0,235.0,435.0,
32,235.0,235.0,435.0,,435.0
33,235.0,435.0,,435.0,435.0
34,435.0,,435.0,435.0,670.0
35,,435.0,435.0,670.0,670.0
36,435.0,435.0,670.0,670.0,670.0
37,435.0,670.0,670.0,670.0,
38,670.0,670.0,670.0,,859.0
39,670.0,670.0,,859.0,859.0
40,670.0,,859.0,859.0,859.0
41,,859.0,859.0,859.0,859.0
42,859.0,859.0,859.0,859.0,856.0
43,859.0,859.0,859.0,856.0,856.0
44,859.0,859.0,856.0,856.0,856.0
45,859.0,856.0,856.0,856.0,
46,856.0,856.0,856.0,,
47,856.0,856.0,,,843.0
48,856.0,,,843.0,843.0
49,,,843.0,843.0,
50,,843.0,843.0,,716.0
51,843.0,843.0,,716.0,716.0
52,843.0,,716.0,716.0,
53,,716.0,716.0,,716.0
54,716.0,716.0,,716.0,722.0
55,716.0,,716.0,722.0,722.0
56,,716.0,722.0,722.0,722.0
57,716.0,722.0,722.0,722.0,722.0
58,722.0,722.0,722.0,722.0,868.0
59,722.0,722.0,722.0,868.0,
60,722.0,722.0,868.0,,868.0
61,722.0,868.0,,868.0,868.0
62,868.0,,868.0,868.0,530.0
63,,868.0,868.0,530.0,530.0
64,868.0,868.0,530.0,530.0,530.0
65,868.0,530.0,530.0,530.0,530.0
66,530.0,530.0,530.0,530.0,268.0
67,530.0,530.0,530.0,268.0,268.0
68,530.0,530.0,268.0,268.0,268.0
69,530.0,268.0,268.0,268.0,268.0
70,268.0,268.0,268.0,268.0,
71,268.0,268.0,268.0,,121.0
72,268.0,268.0,,121.0,121.0
73,268.0,,121.0,121.0,121.0
74,,121.0,121.0,121.0,117.0
75,121.0,121.0,121.0,117.0,117.0
76,121.0,121.0,117.0,117.0,117.0
77,121.0,117.0,117.0,117.0,117.0
78,117.0,117.0,117.0,117.0,130.0
79,117.0,117.0,117.0,130.0,130.0
80,117.0,117.0,130.0,130.0,130.0
81,117.0,130.0,130.0,130.0,130.0
82,130.0,130.0,130.0,130.0,148.0
83,130.0,130.0,130.0,148.0,148.0
84,130.0,130.0,148.0,148.0,148.0
85,130.0,148.0,148.0,148.0,
86,148.0,148.0,148.0,,
87,148.0,148.0,,,
88,148.0,,,,207.0
89,,,,207.0,
90,,,207.0,,280.0
91,,207.0,,280.0,280.0
92,207.0,,280.0,280.0,280.0
93,,280.0,280.0,280.0,280.0
94,280.0,280.0,280.0,280.0,340.0
95,280.0,280.0,280.0,340.0,340.0
96,280.0,280.0,340.0,340.0,340.0
97,280.0,340.0,340.0,340.0,340.0
