,0,1,2,3,4
5,24.4,24.0,,41.2,40.4
6,24.0,,41.2,40.4,45.1
7,,41.2,40.4,45.1,40.6
8,41.2,40.4,45.1,40.6,30.0
9,40.4,45.1,40.6,30.0,
10,45.1,40.6,30.0,,17.9
11,40.6,30.0,,17.9,16.8
12,30.0,,17.9,16.8,15.7
13,,17.9,16.8,15.7,16.9
14,17.9,16.8,15.7,16.9,19.2
15,16.8,15.7,16.9,19.2,21.9
16,15.7,16.9,19.2,21.9,31.4
17,16.9,19.2,21.9,31.4,26.6
18,19.2,21.9,31.4,26.6,25.3
19,21.9,31.4,26.6,25.3,23.8
20,31.4,26.6,25.3,23.8,22.2
21,26.6,25.3,23.8,22.2,22.4
22,25.3,23.8,22.2,22.4,24.9
23,23.8,22.2,22.4,24.9,25.6
24,22.2,22.4,24.9,25.6,27.0
25,22.4,24.9,25.6,27.0,28.2
26,24.9,25.6,27.0,28.2,
27,25.6,27.0,28.2,,37.9
28,27.0,28.2,,37.9,38.9
29,28.2,,37.9,38.9,38.5
30,,37.9,38.9,38.5,51.6
31,37.9,38.9,38.5,51.6,
32,38.9,38.5,51.6,,41.2
33,38.5,51.6,,41.2,39.6
34,51.6,,41.2,39.6,42.7
35,,41.2,39.6,42.7,40.5
36,41.2,39.6,42.7,40.5,43.4
37,39.6,42.7,40.5,43.4,
38,42.7,40.5,43.4,,37.4
39,40.5,43.4,,37.4,37.2
40,43.4,,37.4,37.2,37.4
41,,37.4,37.2,37.4,40.2
42,37.4,37.2,37.4,40.2,45.5
43,37.2,37.4,40.2,45.5,47.8
44,37.4,40.2,45.5,47.8,49.1
45,40.2,45.5,47.8,49.1,
46,45.5,47.8,49.1,,
47,47.8,49.1,,,39.9
48,49.1,,,39.9,35.3
49,,,39.9,35.3,
50,,39.9,35.3,,57.4
51,39.9,35.3,,57.4,95.6
52,35.3,,57.4,95.6,
53,,57.4,95.6,,101.9
54,57.4,95.6,,101.9,93.6
55,95.6,,101.9,93.6,122.9
56,,101.9,93.6,122.9,165.2
57,101.9,93.6,122.9,165.2,115.8
58,93.6,122.9,165.2,115.8,80.6
59,122.9,165.2,115.8,80.6,
60,165.2,115.8,80.6,,43.2
61,115.8,80.6,,43.2,40.0
62,80.6,,43.2,40.0,36.1
63,,43.2,40.0,36.1,32.8
64,43.2,40.0,36.1,32.8,23.2
65,40.0,36.1,32.8,23.2,17.7
66,36.1,32.8,23.2,17.7,15.9
67,32.8,23.2,17.7,15.9,10.8
68,23.2,17.7,15.9,10.8,6.4
69,17.7,15.9,10.8,6.4,3.9
70,15.9,10.8,6.4,3.9,
71,10.8,6.4,3.9,,1.7
72,6.4,3.9,,1.7,0.9
73,3.9,,1.7,0.9,0.3
