,0
5,6.2
6,6.7
7,6.9
8,
9,9.0
10,9.9
11,6.2
12,10.5
13,6.5
14,13.4
15,8.3
16,5.8
17,10.5
18,8.7
19,18.6
20,43.7
21,80.5
22,78.2
23,81.0
24,60.5
25,
26,294.3
27,232.5
28,229.5
29,278.9
30,
31,231.6
32,347.7
33,434.8
34,472.0
35,
36,
37,436.6
38,465.6
39,454.8
40,440.1
41,401.9
42,393.1
43,380.1
44,
45,
46,373.9
47,366.9
48,
49,363.0
50,323.4
51,
52,272.9
53,265.6
54,312.8
55,364.7
56,339.9
57,254.3
58,
59,167.3
60,207.4
61,149.1
62,58.7
63,40.5
64,41.9
65,40.7
66,6.8
67,4.6
68,2.2
69,
70,4.3
71,8.1
72,6.5
73,4.8
74,5.0
75,10.3
76,14.8
77,13.7
78,17.4
79,21.9
80,21.9
81,20.4
82,23.2
83,34.5
84,
85,
86,
87,30.2
88,37.7
89,32.3
90,23.0
91,17.7
92,
93,
94,
95,380.0
96,341.2
97,4.6
98,12.5
99,15.3
100,10.6
101,9.5
102,7.7
103,9.9
104,4.5
105,7.0
106,6.8
107,
108,7.9
109,5.5
110,9.1
111,9.7
112,9.1
113,13.7
114,18.8
115,50.8
116,152.9
117,
118,201.4
119,265.6
120,213.8
121,227.6
122,289.3
123,322.3
124,233.3
125,259.3
126,250.1
127,139.3
128,78.8
129,74.8
130,157.0
131,158.4
132,183.4
133,
134,45.2
135,60.6
136,101.8
137,62.2
138,24.4
139,2.9
140,
141,4.7
142,2.8
143,2.9
144,4.5
145,5.3
146,4.7
147,5.7
148,0.8
149,5.3
150,4.8
151,10.0
152,5.4
153,3.2
154,3.5
155,2.2
156,3.6
157,6.6
158,6.7
159,
160,1.5
161,6.5
162,2.5
163,3.1
164,0.5
165,2.8
166,2.2
167,1.2
168,5.2
169,1.2
170,4.8
171,6.1
172,3.7
173,7.8
174,3.9
175,2.8
176,6.5
177,6.0
178,4.6
179,4.9
180,
181,
182,
183,5.0
184,8.5
185,8.1
186,13.0
187,10.3
188,
189,
190,
191,12.3
192,8.5
193,
194,6.1
195,6.1
196,9.6
197,7.7
198,6.3
199,7.7
200,7.3
201,8.6
202,7.3
203,8.0
204,6.2
205,7.2
206,10.5
207,10.7
208,9.1
209,9.9
210,10.4
211,10.7
212,17.5
213,23.8
214,26.7
215,29.9
216,24.0
217,28.1
218,40.7
219,32.7
220,53.1
221,62.1
222,37.2
223,26.8
224,23.6
225,40.8
226,42.9
227,20.5
228,24.5
229,18.5
230,17.3
231,8.5
232,15.3
233,27.5
234,36.6
235,
236,
237,
238,32.6
239,25.4
240,16.3
241,9.6
242,6.6
243,
244,5.2
245,5.5
246,4.0
247,2.7
248,3.5
249,5.4
250,2.6
251,
252,4.1
253,4.3
254,3.2
255,1.9
256,3.0
257,5.5
258,5.9
259,9.0
260,4.3
261,22.8
262,20.7
263,14.0
264,22.8
265,18.0
266,20.7
267,20.5
268,18.3
269,14.5
270,11.9
271,12.2
272,9.2
273,
274,21.4
275,10.8
276,
277,
278,
279,13.8
280,13.1
281,6.8
282,
283,11.0
284,
285,
286,
287,12.2
288,10.2
289,6.0
290,8.2
291,7.9
292,
293,6.1
294,10.6
295,13.9
296,9.9
297,10.9
298,12.2
299,9.4
300,14.3
301,13.7
302,
303,17.1
304,13.5
305,19.8
306,15.4
307,4.9
308,47.8
309,33.3
310,15.1
311,20.8
312,16.4
313,24.9
314,41.8
315,45.6
316,50.7
317,68.0
318,136.5
319,172.1
320,109.0
321,129.3
322,205.1
323,199.4
324,125.2
325,164.4
326,164.9
327,116.8
328,114.7
329,95.5
330,61.8
331,47.5
332,
333,
334,40.6
335,55.0
336,40.0
337,35.1
338,34.9
339,37.9
340,33.8
341,26.0
342,19.3
343,18.4
344,18.8
345,16.2
346,12.3
347,13.7
348,9.7
349,7.7
350,5.5
351,5.9
352,7.1
353,8.6
354,13.2
355,14.4
356,33.1
357,42.8
358,47.3
359,45.8
360,45.4
361,52.2
362,52.3
363,45.0
364,58.6
365,50.2
366,47.6
367,43.1
368,38.6
369,39.0
370,34.4
371,24.6
372,
373,
374,
375,19.7
376,13.9
377,11.5
378,16.0
379,14.4
380,
381,
382,
383,8.7
384,8.5
385,6.0
386,4.8
387,4.5
388,9.2
389,6.3
390,3.9
391,7.0
392,7.3
393,4.3
394,3.0
395,4.7
396,7.0
397,9.7
398,11.6
399,7.3
400,6.7
401,7.4
402,11.7
403,29.3
404,65.4
405,87.2
406,53.6
407,69.2
408,79.7
409,61.1
410,52.8
411,60.5
412,53.1
413,28.4
414,17.4
415,19.6
416,18.6
417,18.6
418,21.6
419,18.8
420,34.5
421,21.8
422,18.5
423,18.0
424,16.1
425,7.1
426,6.6
427,5.9
428,
429,6.2
430,3.0
431,4.9
432,1.9
433,6.4
434,2.1
435,6.6
436,4.7
437,2.4
438,
439,2.5
440,4.4
441,4.6
442,
443,1.3
444,4.6
445,3.9
446,4.0
447,6.2
448,5.1
449,
450,3.8
451,5.0
452,
453,3.3
454,2.8
455,1.7
456,3.9
457,3.1
458,3.8
459,5.8
460,8.0
461,10.8
462,9.1
463,10.4
464,17.3
465,25.7
466,44.1
467,41.6
468,
469,
470,
471,46.0
472,44.6
473,38.1
474,36.0
475,26.9
476,
477,
478,
479,10.1
480,7.9
481,11.2
482,9.1
483,10.7
484,9.1
485,6.5
486,11.0
487,6.8
488,8.0
489,5.3
490,8.3
491,10.3
492,6.8
493,7.5
494,6.9
495,11.4
496,
497,9.4
498,13.2
499,17.0
500,22.7
501,27.8
502,25.0
503,54.9
504,47.5
505,88.2
506,88.1
507,83.6
508,92.7
509,102.9
510,70.9
511,
512,37.0
513,36.0
514,23.9
515,15.7
516,11.3
517,10.1
518,10.1
519,7.3
520,5.0
521,7.1
522,8.0
523,4.2
524,
525,5.3
526,6.6
527,
528,2.4
529,1.7
530,4.3
531,3.8
532,5.7
533,2.8
534,1.1
535,3.8
536,
537,1.1
538,4.1
539,2.9
540,3.1
541,3.5
542,6.4
543,3.0
544,2.7
545,3.4
546,2.4
547,4.2
548,2.5
549,3.7
550,0.1
551,3.6
552,4.9
553,2.8
554,4.1
555,3.3
556,6.0
557,2.0
558,6.5
559,6.7
560,3.5
561,8.1
562,6.6
563,6.9
564,
565,
566,
567,7.0
568,10.9
569,6.7
570,6.0
571,8.6
572,
573,
574,
575,377.0
576,428.5
577,225.9
578,3.5
579,6.5
580,5.5
581,5.5
582,9.9
583,8.5
584,8.1
585,6.3
586,6.8
587,
588,5.1
589,4.6
590,2.2
591,3.9
592,5.2
593,5.6
594,14.3
595,16.1
596,20.1
597,
598,75.9
599,
600,112.6
601,90.2
602,125.2
603,261.1
604,203.0
605,160.7
606,188.8
607,237.0
608,225.9
609,251.3
610,167.9
611,44.4
612,19.3
613,12.8
614,9.8
615,6.9
616,7.8
617,7.8
618,6.7
619,5.0
620,
621,
622,4.0
623,5.7
624,3.7
625,1.7
626,2.8
627,3.9
628,5.0
629,4.4
630,4.7
631,4.8
632,2.9
633,5.6
634,5.0
635,6.0
636,4.1
637,0.6
638,4.1
639,3.1
640,6.1
641,5.8
642,1.4
643,3.9
644,7.5
645,5.4
646,5.3
647,3.0
648,1.7
649,3.2
650,5.3
651,4.6
652,5.7
653,7.5
654,15.9
655,13.6
656,16.9
657,22.5
658,16.2
659,18.9
660,
661,
662,
663,19.7
664,23.2
665,17.9
666,17.9
667,16.2
668,
669,
670,
671,378.3
672,301.0
673,23.3
674,17.4
675,9.0
676,9.5
677,11.8
678,15.3
679,9.0
680,10.6
681,10.2
682,
683,14.7
684,9.4
685,16.5
686,10.6
687,
688,11.7
689,17.7
690,16.7
691,15.2
692,15.3
693,13.7
694,21.6
695,13.6
696,17.9
697,11.0
698,8.9
699,18.1
700,16.4
701,9.7
702,15.1
703,9.5
704,12.5
705,12.2
706,12.5
707,9.9
708,9.2
709,7.9
710,4.1
711,7.3
712,4.8
713,7.7
714,3.8
715,5.3
716,
717,2.1
718,1.6
719,2.5
720,3.4
721,2.9
722,2.8
723,4.8
724,
725,2.9
726,3.2
727,3.7
728,0.9
729,1.1
730,3.4
731,2.5
732,3.8
733,1.9
734,0.2
735,3.1
736,
737,
738,
739,2.3
740,1.3
741,1.7
742,3.0
743,2.4
744,3.4
745,2.1
746,4.4
747,4.4
748,1.5
749,1.1
750,5.5
751,5.9
752,5.3
753,5.6
754,4.5
755,1.5
756,
757,
758,
759,8.9
760,9.6
