,0
5,61.4
6,51.4
7,59.9
8,
9,57.8
10,59.4
11,67.2
12,66.7
13,61.3
14,85.9
15,74.7
16,63.7
17,79.6
18,83.5
19,116.5
20,145.2
21,160.5
22,151.2
23,154.5
24,156.2
25,
26,163.9
27,171.2
28,168.8
29,187.3
30,
31,186.0
32,186.4
33,186.2
34,186.5
35,179.0
36,
37,166.6
38,154.8
39,152.6
40,165.4
41,156.4
42,162.0
43,167.9
44,
45,
46,139.9
47,132.6
48,
49,133.4
50,137.2
51,
52,134.7
53,135.6
54,128.8
55,133.4
56,118.4
57,126.7
58,
59,127.1
60,117.0
61,115.8
62,124.6
63,118.6
64,110.4
65,96.7
66,87.4
67,72.3
68,61.5
69,
70,63.5
71,64.7
72,64.6
73,68.3
74,67.2
75,62.9
76,64.7
77,65.6
78,66.6
79,65.6
80,63.2
81,65.9
82,73.0
83,79.3
84,
85,
86,
87,91.3
88,100.8
89,118.1
90,116.2
91,109.7
92,
93,
94,
95,15.6
96,10.2
97,19.6
98,93.4
99,91.6
100,96.7
101,88.3
102,77.3
103,72.8
104,65.3
105,72.5
106,62.9
107,
108,77.5
109,61.4
110,80.2
111,84.2
112,67.1
113,88.3
114,117.2
115,158.0
116,167.6
117,
118,193.3
119,188.8
120,190.9
121,205.9
122,223.1
123,219.6
124,204.8
125,195.8
126,205.3
127,202.9
128,193.8
129,191.8
130,186.7
131,172.7
132,172.6
133,
134,171.5
135,165.2
136,155.4
137,154.0
138,137.2
139,124.0
140,
141,97.2
142,84.1
143,82.0
144,82.4
145,62.6
146,57.2
147,58.6
148,55.3
149,55.5
150,52.8
151,56.2
152,55.0
153,55.9
154,51.4
155,41.8
156,42.2
157,41.0
158,37.0
159,
160,32.6
161,31.2
162,32.7
163,30.8
164,27.2
165,31.5
166,31.1
167,34.1
168,33.2
169,27.1
170,34.8
171,35.8
172,36.7
173,36.9
174,40.0
175,42.8
176,42.1
177,43.6
178,46.9
179,46.9
180,
181,
182,
183,46.8
184,50.7
185,53.5
186,61.4
187,57.5
188,
189,
190,
191,47.6
192,47.2
193,
194,43.3
195,46.5
196,46.0
197,43.5
198,44.1
199,46.7
200,47.6
201,51.9
202,48.5
203,48.4
204,48.0
205,53.9
206,57.8
207,55.0
208,65.0
209,65.9
210,68.8
211,70.2
212,90.2
213,96.3
214,104.1
215,119.9
216,117.8
217,120.7
218,125.1
219,116.4
220,123.6
221,118.8
222,114.0
223,112.5
224,108.0
225,112.2
226,105.8
227,112.4
228,106.9
229,104.2
230,95.9
231,93.5
232,93.8
233,100.4
234,91.6
235,
236,
237,
238,81.0
239,81.9
240,77.0
241,70.8
242,59.7
243,
244,45.0
245,41.2
246,38.3
247,38.2
248,36.4
249,34.5
250,37.5
251,
252,42.1
253,41.4
254,44.6
255,44.1
256,43.3
257,46.3
258,51.7
259,66.6
260,59.5
261,97.4
262,89.8
263,80.8
264,92.0
265,84.0
266,83.0
267,80.7
268,84.2
269,85.1
270,84.0
271,72.7
272,68.8
273,
274,77.2
275,77.1
276,
277,
278,
279,71.4
280,69.8
281,64.2
282,
283,67.2
284,
285,
286,
287,69.7
288,64.6
289,59.1
290,55.2
291,61.8
292,
293,65.0
294,63.4
295,68.5
296,66.0
297,59.1
298,64.2
299,61.7
300,78.0
301,88.2
302,
303,92.5
304,80.9
305,94.4
306,92.0
307,76.7
308,125.2
309,129.0
310,116.6
311,119.1
312,120.9
313,125.6
314,127.1
315,132.8
316,132.6
317,132.1
318,136.5
319,129.5
320,130.0
321,128.4
322,129.6
323,135.3
324,129.5
325,131.0
326,128.1
327,129.0
328,119.7
329,116.8
330,117.3
331,102.1
332,
333,
334,90.4
335,78.0
336,79.4
337,74.8
338,71.5
339,66.0
340,68.3
341,74.2
342,79.1
343,67.7
344,63.6
345,64.7
346,59.8
347,63.4
348,57.9
349,56.7
