,0
5,37.6
6,32.8
7,37.5
8,
9,38.0
10,39.6
11,40.8
12,44.0
13,37.8
14,56.6
15,46.4
16,38.6
17,50.8
18,51.5
19,77.1
20,112.8
21,150.8
22,144.1
23,148.0
24,132.2
25,
26,326.5
27,280.1
28,276.4
29,326.4
30,
31,287.3
32,381.9
33,452.5
34,483.0
35,
36,
37,443.5
38,460.8
39,450.9
40,445.8
41,409.9
42,405.8
43,398.4
44,
45,
46,378.4
47,368.8
48,
49,366.1
50,335.9
51,
52,293.6
53,288.1
54,322.8
55,367.5
56,339.4
57,274.2
58,
59,203.7
60,230.9
61,182.8
62,113.9
63,96.0
64,92.8
65,84.5
66,52.0
67,42.2
68,34.5
69,
70,37.3
71,41.0
72,39.7
73,40.2
74,39.8
75,41.8
76,46.5
77,46.0
78,49.6
79,52.7
80,51.4
81,51.6
82,57.7
83,70.2
84,
85,
86,
87,73.1
88,84.3
89,89.1
90,80.5
91,72.8
92,
93,
94,
95,317.2
96,282.8
97,14.2
98,59.9
99,61.1
100,60.1
101,54.7
102,47.4
103,46.8
104,38.4
105,44.3
106,39.0
107,
108,47.6
109,37.2
110,50.0
111,52.7
112,43.0
113,58.1
114,77.6
115,125.3
116,213.4
117,
118,266.6
119,316.3
120,275.3
121,294.6
122,353.9
123,378.9
124,298.6
125,315.0
126,312.5
127,221.2
128,167.1
129,162.8
130,226.9
131,220.6
132,240.9
133,
134,128.0
135,137.2
136,165.4
137,132.5
138,92.8
139,68.3
140,
141,55.5
142,47.0
143,46.0
144,47.5
145,37.6
146,34.2
147,35.8
148,30.0
149,33.8
150,32.0
151,38.0
152,33.7
153,32.4
154,30.2
155,24.0
156,25.3
157,27.2
158,25.1
159,
160,18.6
161,21.9
162,19.4
163,18.9
164,14.9
165,19.0
166,18.4
167,19.1
168,21.9
169,15.4
170,22.4
171,24.0
172,22.5
173,26.0
174,24.5
175,25.0
176,27.6
177,28.1
178,28.6
179,28.9
180,
181,
182,
183,29.0
184,33.9
185,35.1
186,43.2
187,38.9
188,
189,
190,
191,35.3
192,32.0
193,
194,28.0
195,29.7
196,32.3
197,29.4
198,28.6
199,31.1
200,31.3
201,34.6
202,31.8
203,32.2
204,30.5
205,34.5
206,39.3
207,38.0
208,41.9
209,43.1
210,45.0
211,46.0
212,62.2
213,70.5
214,77.1
215,88.0
216,82.2
217,87.0
218,99.7
219,88.6
220,108.9
221,113.7
222,90.9
223,81.6
224,76.6
225,92.9
226,91.2
227,76.5
228,76.8
229,70.5
230,65.1
231,56.6
232,62.3
233,75.7
234,78.5
235,
236,
237,
238,69.6
239,64.2
240,54.2
241,45.5
242,37.1
243,
244,28.1
245,26.3
246,23.7
247,22.5
248,22.2
249,22.7
250,22.0
251,
252,25.7
253,25.5
254,26.3
255,25.0
256,25.5
257,29.1
258,32.3
259,42.7
260,35.1
261,70.4
262,64.6
263,54.4
264,67.4
265,59.3
266,61.0
267,59.6
268,59.7
269,57.1
270,54.3
271,48.6
272,44.1
273,
274,58.4
275,49.7
276,
277,
278,
279,49.2
280,47.8
281,39.7
282,
283,44.7
284,
285,
286,
287,47.0
288,42.7
289,36.3
290,36.0
291,39.3
292,
293,39.6
294,42.3
295,47.7
296,43.1
297,40.3
298,44.1
299,40.5
300,53.1
301,58.0
302,
303,63.1
304,54.0
305,66.4
306,61.4
307,44.8
308,105.4
309,95.7
310,74.2
311,80.3
312,77.7
313,87.1
314,101.6
315,107.7
316,111.8
317,125.6
318,183.6
319,208.8
320,157.8
321,173.5
322,235.7
323,234.1
324,170.7
325,203.3
326,202.2
327,163.6
328,156.9
329,139.8
330,112.6
331,93.0
332,
333,
334,81.1
335,86.2
336,74.8
337,68.4
338,66.4
339,65.9
340,63.8
341,60.6
342,57.8
343,51.0
344,49.1
345,47.6
346,41.8
347,44.9
348,38.7
349,36.4
350,36.0
351,36.0
352,36.4
353,37.2
354,37.1
355,38.9
356,61.6
357,72.4
358,72.5
359,70.7
360,69.2
361,73.5
362,73.4
363,68.6
364,81.2
365,77.0
366,77.3
367,76.8
368,79.3
369,75.5
370,76.8
371,71.0
372,
373,
374,
375,74.1
376,63.6
377,55.2
378,67.9
379,73.4
380,
381,
382,
383,57.8
384,51.3
385,45.8
386,46.1
387,36.0
388,46.8
389,41.9
390,35.7
391,47.8
392,42.0
393,34.0
394,35.3
395,33.4
396,42.0
397,56.9
398,56.2
399,44.6
400,43.9
401,52.0
402,62.4
403,91.0
404,131.1
405,153.2
406,128.1
407,136.7
408,148.2
409,133.6
410,120.3
411,128.4
412,126.4
413,96.9
414,79.0
415,80.4
416,79.3
417,78.3
418,81.1
419,81.4
420,94.7
421,81.4
422,79.5
423,75.3
424,69.7
425,51.5
426,45.2
427,50.3
428,
429,44.0
430,35.0
431,35.3
432,29.4
433,33.1
434,33.1
435,36.4
436,28.7
437,27.0
438,
439,28.8
440,29.4
441,29.7
442,24.4
443,24.4
444,26.7
445,27.0
446,25.8
447,27.9
448,25.3
449,22.2
450,26.9
451,25.6
452,21.3
453,23.5
454,23.9
455,26.4
456,26.2
457,24.2
458,24.6
459,28.7
460,29.5
461,31.5
462,30.6
463,34.9
464,43.0
465,50.9
466,69.6
467,69.2
468,
469,
470,
471,77.4
472,78.6
473,74.3
474,74.9
475,70.7
476,
477,
478,
479,45.2
480,40.5
481,45.2
482,41.0
483,40.2
484,37.7
485,35.0
486,39.7
487,36.4
488,37.5
489,34.8
490,39.1
491,45.4
492,36.1
493,38.0
494,37.1
495,42.7
496,
497,54.1
498,67.1
499,75.4
500,88.9
501,101.4
502,102.6
503,125.0
504,123.0
505,158.5
506,157.3
507,154.2
508,159.0
509,169.8
510,145.3
511,
512,106.9
513,104.9
514,89.3
515,76.2
516,68.5
517,67.9
518,70.6
519,59.1
520,50.8
521,55.3
522,57.4
523,43.7
524,
525,39.5
526,33.8
527,22.8
528,24.9
529,24.5
530,24.5
531,25.0
