,0
5,45.1
6,40.6
7,30.0
8,
9,17.9
10,16.8
11,15.7
12,16.9
13,19.2
14,21.9
15,31.4
16,26.6
17,25.3
18,23.8
19,22.2
20,22.4
21,24.9
22,25.6
23,27.0
24,28.2
25,
26,37.9
27,38.9
28,38.5
29,51.6
30,
31,41.2
32,39.6
33,42.7
34,40.5
35,43.4
36,
37,37.4
38,37.2
39,37.4
40,40.2
41,45.5
42,47.8
43,49.1
44,
45,
46,39.9
47,35.3
48,
49,57.4
50,95.6
51,
52,101.9
53,93.6
54,122.9
55,165.2
56,115.8
57,80.6
58,
59,43.2
60,40.0
61,36.1
62,32.8
63,23.2
64,17.7
65,15.9
66,10.8
67,6.4
68,3.9
69,
70,1.7
71,0.9
72,0.3
73,
74,
75,
76,
77,
78,1.7
79,11.4
80,13.1
81,14.4
82,15.2
83,15.2
84,
85,
86,
87,17.7
88,
89,
90,
91,25.1
92,25.6
93,24.2
94,
95,
96,
97,10.9
98,16.6
99,34.0
100,44.9
101,51.7
102,32.7
103,23.3
104,20.9
105,20.4
106,20.1
107,
108,19.1
109,19.7
110,20.1
111,21.2
112,21.7
113,21.7
114,22.8
115,25.2
116,31.1
117,
118,38.5
119,46.1
120,43.9
121,47.3
122,49.7
123,56.1
124,57.6
125,50.3
126,39.4
127,22.2
128,19.8
129,22.9
130,27.0
131,25.1
132,27.5
133,
134,14.2
135,11.7
136,11.7
137,10.2
138,8.4
139,5.5
140,
141,2.9
142,7.0
143,13.5
144,14.8
145,14.5
146,14.7
147,14.2
148,13.7
149,13.5
150,14.3
151,13.8
152,13.6
153,13.1
154,13.4
155,12.4
156,11.5
157,11.6
158,12.1
159,
160,13.1
161,12.5
162,11.7
163,11.7
164,11.3
165,12.0
166,12.4
167,11.6
168,11.1
169,11.0
170,11.3
171,11.3
172,11.4
173,11.3
174,11.8
175,12.4
176,12.6
177,12.8
178,13.1
179,13.3
180,
181,
182,
183,13.4
184,
185,
186,
187,14.5
188,14.6
189,14.8
190,14.9
191,15.2
192,16.5
193,
194,16.8
195,16.8
196,16.7
197,16.5
198,15.9
199,16.1
200,15.7
201,15.8
202,15.4
203,15.7
204,15.3
205,14.6
206,14.9
207,16.5
208,16.8
209,17.9
210,18.2
211,18.4
212,18.7
213,19.2
214,19.8
215,19.5
216,19.4
217,18.9
218,20.3
219,19.7
220,20.0
221,20.5
222,19.2
223,15.4
224,13.7
225,13.2
226,14.0
227,13.2
228,12.8
229,12.3
230,12.2
231,11.7
232,12.1
233,11.8
234,12.0
235,
236,
237,
238,12.4
239,12.3
240,12.3
241,11.9
242,11.8
243,
244,11.6
245,11.2
246,11.6
247,11.9
248,11.3
249,10.4
250,10.3
251,
252,9.7
253,10.3
254,10.9
255,12.2
256,13.2
257,12.9
258,13.2
259,14.3
260,13.9
261,13.8
262,15.1
263,16.2
264,16.7
265,17.3
266,17.6
267,17.8
268,18.1
269,17.7
270,17.3
271,16.5
272,15.5
273,
274,16.0
275,16.9
276,
277,
278,
279,17.3
280,
281,
282,
283,17.2
284,17.5
285,18.1
286,17.7
287,16.5
288,16.7
289,16.8
290,17.2
291,17.6
292,
293,17.8
294,17.9
295,18.4
296,18.2
297,18.0
298,17.6
299,17.1
300,16.6
301,16.4
302,
303,16.7
304,16.8
305,16.8
306,17.2
307,16.6
308,17.2
309,18.1
310,17.9
311,17.8
312,17.8
313,17.5
314,18.9
315,19.4
316,20.1
317,21.1
318,21.4
319,23.8
320,24.0
321,24.0
322,25.3
323,28.4
324,24.4
325,25.6
326,25.8
327,22.9
328,21.8
329,20.3
330,18.9
331,17.2
332,
333,
334,15.6
335,16.2
336,16.1
337,15.5
338,14.6
339,14.5
340,14.3
341,13.8
342,13.9
343,13.9
344,13.1
345,12.1
346,13.0
347,12.3
348,11.8
349,12.2
350,12.4
351,14.2
352,16.2
353,15.9
354,16.3
355,15.6
356,15.5
357,16.4
358,16.9
359,17.8
360,17.6
361,17.8
362,18.3
363,17.9
364,17.1
365,17.0
366,16.0
367,14.8
368,16.2
369,17.9
370,19.2
371,20.1
372,
373,
374,
375,21.2
376,
377,
378,
379,19.6
380,20.1
381,19.1
382,19.0
383,19.2
384,19.0
385,18.4
386,18.0
387,17.3
388,17.2
389,16.6
390,16.3
391,16.1
392,16.1
393,15.9
394,14.3
395,15.0
396,14.4
397,15.1
398,15.9
399,18.1
400,18.5
401,18.3
402,18.5
403,19.6
404,21.5
405,24.6
406,25.6
407,25.4
408,26.3
409,25.8
410,24.5
411,23.7
412,22.9
413,22.3
414,20.3
415,16.5
416,15.9
417,15.1
418,14.7
419,15.1
420,15.4
421,15.0
422,14.1
423,13.8
424,13.3
425,13.0
426,12.3
427,11.7
428,
429,12.3
430,12.4
431,13.6
432,13.6
433,12.9
434,12.9
435,13.2
436,12.8
437,12.4
438,
439,12.4
440,12.7
441,11.7
442,12.1
443,11.8
444,11.8
445,12.3
446,12.7
447,13.2
448,12.9
449,13.3
450,13.5
451,13.0
452,12.9
453,13.5
454,13.5
455,13.3
456,13.6
457,13.7
458,13.6
459,13.6
460,13.3
461,12.5
462,13.0
463,14.1
464,14.7
465,15.2
466,15.6
467,16.3
468,
469,
470,
471,19.5
472,
473,
474,
475,20.5
476,19.7
477,19.3
478,18.3
479,15.9
480,15.1
481,14.8
482,14.6
483,14.6
484,14.4
485,14.0
486,14.2
487,14.6
488,14.4
489,14.5
490,14.9
491,15.6
492,15.8
493,16.7
494,16.7
495,17.3
496,
497,18.3
498,17.5
499,17.3
500,17.6
501,18.7
502,17.9
503,18.9
504,20.0
505,20.1
506,22.1
507,22.3
508,22.3
509,23.2
510,20.6
511,
512,14.9
513,15.2
514,14.4
515,14.0
516,13.1
517,12.6
518,12.9
519,13.0
520,12.4
521,11.5
522,11.4
523,11.3
524,
525,11.3
526,12.4
527,15.3
528,16.6
529,16.4
530,15.7
531,15.2
532,15.6
533,16.3
534,16.7
535,17.1
536,16.9
537,17.3
538,17.6
539,18.2
540,17.3
541,16.7
542,17.0
543,18.9
544,19.6
545,20.2
546,20.7
547,20.8
548,20.1
549,19.1
550,18.4
551,17.2
552,16.6
553,16.0
554,15.3
555,14.9
556,15.8
557,15.2
558,15.4
559,16.2
560,17.1
561,17.2
562,18.2
563,19.1
564,
565,
566,
567,21.2
568,
569,
570,
571,26.8
572,28.4
573,29.4
574,28.7
575,
576,
577,
578,9.2
579,16.5
580,18.2
581,19.3
582,19.8
583,19.6
584,19.0
585,19.3
586,18.5
587,
588,17.9
589,17.5
590,17.3
591,17.3
592,17.3
593,17.0
594,17.2
595,17.1
596,19.8
597,
598,22.1
599,
600,27.3
601,24.1
602,25.4
603,34.6
604,35.5
605,31.9
606,63.5
607,90.0
608,59.4
609,46.6
610,40.1
611,20.5
612,14.8
613,10.7
614,8.6
615,7.1
616,5.4
617,5.3
618,4.7
619,3.4
620,
621,
622,5.4
623,11.2
624,12.2
625,12.7
626,12.9
627,12.9
628,12.8
629,12.6
630,12.8
631,12.4
632,11.9
633,11.9
634,11.9
635,11.6
636,11.2
637,10.5
638,10.7
639,11.0
640,11.3
641,11.4
642,12.0
643,12.2
644,11.6
645,11.0
646,11.4
647,11.4
648,11.7
649,12.0
650,12.1
651,12.1
652,12.5
653,12.3
654,12.5
655,13.0
656,12.9
657,12.9
658,12.9
659,12.9
660,
661,
662,
663,13.9
664,
665,
666,
667,14.4
668,14.2
669,13.9
670,
671,
672,
673,49.6
674,16.7
675,15.6
676,15.7
677,15.4
678,16.0
679,15.6
680,16.3
681,15.5
682,
683,15.3
684,15.6
685,15.1
686,15.2
687,
688,15.8
689,15.4
690,15.1
691,15.1
692,15.2
693,14.9
694,15.7
695,15.6
696,15.4
697,14.8
698,15.4
699,16.2
700,16.4
701,15.6
702,15.2
703,13.9
704,14.6
705,13.9
706,14.1
707,14.4
708,14.1
709,13.7
710,13.6
711,13.9
712,14.1
713,13.6
714,12.9
715,12.9
716,
717,13.4
718,13.1
719,12.5
720,12.5
721,12.1
722,12.2
723,12.4
724,
725,11.8
726,11.7
727,11.8
728,11.9
729,11.4
730,11.7
731,11.8
732,12.5
733,13.1
734,12.9
735,12.4
736,12.4
737,12.3
738,12.8
739,13.5
740,13.3
741,12.8
742,12.4
743,12.7
744,12.4
745,12.0
746,12.3
747,12.2
748,11.9
749,11.2
750,11.2
751,12.0
752,12.5
753,12.2
754,12.4
755,12.1
756,
757,
758,
759,12.1
760,
761,
762,
763,12.9
764,13.3
765,13.7
766,
767,
768,
769,
770,13.4
771,14.9
772,15.1
773,15.3
774,15.1
775,16.4
776,18.2
777,19.0
778,19.5
779,
780,19.5
781,19.2
782,18.9
783,18.6
784,18.2
785,17.7
786,18.4
787,18.4
788,18.2
