,0,1,3
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,NO
17,30-12-2020 00:00,30-12-2020 00:15,4.9
18,30-12-2020 00:15,30-12-2020 00:30,4.5
19,30-12-2020 00:30,30-12-2020 00:45,1.6
20,30-12-2020 00:45,30-12-2020 01:00,4.3
21,30-12-2020 01:00,30-12-2020 01:15,6.4
22,30-12-2020 01:15,30-12-2020 01:30,0.7
23,30-12-2020 01:30,30-12-2020 01:45,3.3
24,30-12-2020 01:45,30-12-2020 02:00,2.3
25,30-12-2020 02:00,30-12-2020 02:15,0.4
26,30-12-2020 02:15,30-12-2020 02:30,3.5
27,30-12-2020 02:30,30-12-2020 02:45,4.3
28,30-12-2020 02:45,30-12-2020 03:00,None
29,30-12-2020 03:00,30-12-2020 03:15,3
30,30-12-2020 03:15,30-12-2020 03:30,4.5
31,30-12-2020 03:30,30-12-2020 03:45,3.1
32,30-12-2020 03:45,30-12-2020 04:00,2.9
33,30-12-2020 04:00,30-12-2020 04:15,3.6
34,30-12-2020 04:15,30-12-2020 04:30,5.1
35,30-12-2020 04:30,30-12-2020 04:45,4.3
36,30-12-2020 04:45,30-12-2020 05:00,2.7
37,30-12-2020 05:00,30-12-2020 05:15,4.4
38,30-12-2020 05:15,30-12-2020 05:30,2.6
39,30-12-2020 05:30,30-12-2020 05:45,3.4
40,30-12-2020 05:45,30-12-2020 06:00,4.2
41,30-12-2020 06:00,30-12-2020 06:15,5.6
42,30-12-2020 06:15,30-12-2020 06:30,2.3
43,30-12-2020 06:30,30-12-2020 06:45,2.4
44,30-12-2020 06:45,30-12-2020 07:00,6.7
45,30-12-2020 07:00,30-12-2020 07:15,2.4
46,30-12-2020 07:15,30-12-2020 07:30,4.6
47,30-12-2020 07:30,30-12-2020 07:45,9.7
48,30-12-2020 07:45,30-12-2020 08:00,8.9
49,30-12-2020 08:00,30-12-2020 08:15,11.6
50,30-12-2020 08:15,30-12-2020 08:30,13.8
51,30-12-2020 08:30,30-12-2020 08:45,12.8
52,30-12-2020 08:45,30-12-2020 09:00,9.4
53,30-12-2020 09:00,30-12-2020 09:15,11.7
54,30-12-2020 09:15,30-12-2020 09:30,9.5
55,30-12-2020 09:30,30-12-2020 09:45,None
56,30-12-2020 09:45,30-12-2020 10:00,None
57,30-12-2020 10:00,30-12-2020 10:15,None
58,30-12-2020 10:15,30-12-2020 10:30,9.2
59,30-12-2020 10:30,30-12-2020 10:45,12.1
60,30-12-2020 10:45,30-12-2020 11:00,None
61,30-12-2020 11:00,30-12-2020 11:15,6
62,30-12-2020 11:15,30-12-2020 11:30,13.2
63,30-12-2020 11:30,30-12-2020 11:45,None
64,30-12-2020 11:45,30-12-2020 12:00,None
65,30-12-2020 12:00,30-12-2020 12:15,None
66,30-12-2020 12:15,30-12-2020 12:30,5
67,30-12-2020 12:30,30-12-2020 12:45,9.1
68,30-12-2020 12:45,30-12-2020 13:00,None
69,30-12-2020 13:00,30-12-2020 13:15,6.4
70,30-12-2020 13:15,30-12-2020 13:30,7.8
71,30-12-2020 13:30,30-12-2020 13:45,4.8
72,30-12-2020 13:45,30-12-2020 14:00,6
73,30-12-2020 14:00,30-12-2020 14:15,6.9
74,30-12-2020 14:15,30-12-2020 14:30,10.1
75,30-12-2020 14:30,30-12-2020 14:45,12.9
76,30-12-2020 14:45,30-12-2020 15:00,6.6
77,30-12-2020 15:00,30-12-2020 15:15,5.4
78,30-12-2020 15:15,30-12-2020 15:30,10.6
79,30-12-2020 15:30,30-12-2020 15:45,11.4
80,30-12-2020 15:45,30-12-2020 16:00,10
81,30-12-2020 16:00,30-12-2020 16:15,15.3
82,30-12-2020 16:15,30-12-2020 16:30,14.9
83,30-12-2020 16:30,30-12-2020 16:45,14
84,30-12-2020 16:45,30-12-2020 17:00,21.3
85,30-12-2020 17:00,30-12-2020 17:15,37.1
86,30-12-2020 17:15,30-12-2020 17:30,35.8
87,30-12-2020 17:30,30-12-2020 17:45,27.4
88,30-12-2020 17:45,30-12-2020 18:00,42
89,30-12-2020 18:00,30-12-2020 18:15,65.8
90,30-12-2020 18:15,30-12-2020 18:30,59.7
91,30-12-2020 18:30,30-12-2020 18:45,37.6
92,30-12-2020 18:45,30-12-2020 19:00,44.5
93,30-12-2020 19:00,30-12-2020 19:15,29.9
94,30-12-2020 19:15,30-12-2020 19:30,25.7
95,30-12-2020 19:30,30-12-2020 19:45,23.4
96,30-12-2020 19:45,30-12-2020 20:00,22.1
97,30-12-2020 20:00,30-12-2020 20:15,25.2
98,30-12-2020 20:15,30-12-2020 20:30,20.4
99,30-12-2020 20:30,30-12-2020 20:45,22.4
100,30-12-2020 20:45,30-12-2020 21:00,19.2
101,30-12-2020 21:00,30-12-2020 21:15,18.4
102,30-12-2020 21:15,30-12-2020 21:30,16.4
103,30-12-2020 21:30,30-12-2020 21:45,15.1
104,30-12-2020 21:45,30-12-2020 22:00,8.3
105,30-12-2020 22:00,30-12-2020 22:15,11.8
106,30-12-2020 22:15,30-12-2020 22:30,13.6
107,30-12-2020 22:30,30-12-2020 22:45,6.1
108,30-12-2020 22:45,30-12-2020 23:00,11.4
109,30-12-2020 23:00,30-12-2020 23:15,5.1
110,30-12-2020 23:15,30-12-2020 23:30,8.7
111,30-12-2020 23:30,30-12-2020 23:45,None
112,30-12-2020 23:45,31-12-2020 00:00,3.4
113,31-12-2020 00:00,31-12-2020 00:15,7
114,31-12-2020 00:15,31-12-2020 00:30,3.7
115,31-12-2020 00:30,31-12-2020 00:45,3.6
116,31-12-2020 00:45,31-12-2020 01:00,3.5
117,31-12-2020 01:00,31-12-2020 01:15,2.1
118,31-12-2020 01:15,31-12-2020 01:30,None
119,31-12-2020 01:30,31-12-2020 01:45,1.5
120,31-12-2020 01:45,31-12-2020 02:00,4.6
121,31-12-2020 02:00,31-12-2020 02:15,None
122,31-12-2020 02:15,31-12-2020 02:30,5.4
123,31-12-2020 02:30,31-12-2020 02:45,4.7
124,31-12-2020 02:45,31-12-2020 03:00,2.3
125,31-12-2020 03:00,31-12-2020 03:15,5.1
126,31-12-2020 03:15,31-12-2020 03:30,3.8
127,31-12-2020 03:30,31-12-2020 03:45,4.6
128,31-12-2020 03:45,31-12-2020 04:00,2.6
129,31-12-2020 04:00,31-12-2020 04:15,4.6
130,31-12-2020 04:15,31-12-2020 04:30,4.1
131,31-12-2020 04:30,31-12-2020 04:45,5.5
132,31-12-2020 04:45,31-12-2020 05:00,0.4
133,31-12-2020 05:00,31-12-2020 05:15,0.8
134,31-12-2020 05:15,31-12-2020 05:30,3.8
135,31-12-2020 05:30,31-12-2020 05:45,4
136,31-12-2020 05:45,31-12-2020 06:00,8.8
137,31-12-2020 06:00,31-12-2020 06:15,3
138,31-12-2020 06:15,31-12-2020 06:30,5
139,31-12-2020 06:30,31-12-2020 06:45,6.2
140,31-12-2020 06:45,31-12-2020 07:00,5.8
141,31-12-2020 07:00,31-12-2020 07:15,2.6
142,31-12-2020 07:15,31-12-2020 07:30,4.7
143,31-12-2020 07:30,31-12-2020 07:45,8.3
144,31-12-2020 07:45,31-12-2020 08:00,13.2
145,31-12-2020 08:00,31-12-2020 08:15,15.6
146,31-12-2020 08:15,31-12-2020 08:30,17
147,31-12-2020 08:30,31-12-2020 08:45,16.2
148,31-12-2020 08:45,31-12-2020 09:00,13.5
149,31-12-2020 09:00,31-12-2020 09:15,13.5
150,31-12-2020 09:15,31-12-2020 09:30,16.6
151,31-12-2020 09:30,31-12-2020 09:45,None
152,31-12-2020 09:45,31-12-2020 10:00,None
153,31-12-2020 10:00,31-12-2020 10:15,None
154,31-12-2020 10:15,31-12-2020 10:30,20.9
155,31-12-2020 10:30,31-12-2020 10:45,19.2
156,31-12-2020 10:45,31-12-2020 11:00,16.2
157,31-12-2020 11:00,31-12-2020 11:15,15.5
158,31-12-2020 11:15,31-12-2020 11:30,17.3
159,31-12-2020 11:30,31-12-2020 11:45,None
160,31-12-2020 11:45,31-12-2020 12:00,None
161,31-12-2020 12:00,31-12-2020 12:15,None
162,31-12-2020 12:15,31-12-2020 12:30,409.1
163,31-12-2020 12:30,31-12-2020 12:45,449
164,31-12-2020 12:45,31-12-2020 13:00,453
165,31-12-2020 13:00,31-12-2020 13:15,12.7
166,31-12-2020 13:15,31-12-2020 13:30,11.3
167,31-12-2020 13:30,31-12-2020 13:45,12.8
168,31-12-2020 13:45,31-12-2020 14:00,9.3
169,31-12-2020 14:00,31-12-2020 14:15,9.6
170,31-12-2020 14:15,31-12-2020 14:30,8.8
171,31-12-2020 14:30,31-12-2020 14:45,13
