,0,1,4
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,NO2
17,30-12-2020 00:00,30-12-2020 00:15,62.1
18,30-12-2020 00:15,30-12-2020 00:30,57.5
19,30-12-2020 00:30,30-12-2020 00:45,48
20,30-12-2020 00:45,30-12-2020 01:00,47.8
21,30-12-2020 01:00,30-12-2020 01:15,43.8
22,30-12-2020 01:15,30-12-2020 01:30,43.4
23,30-12-2020 01:30,30-12-2020 01:45,46
24,30-12-2020 01:45,30-12-2020 02:00,46.7
25,30-12-2020 02:00,30-12-2020 02:15,45.3
26,30-12-2020 02:15,30-12-2020 02:30,47.8
27,30-12-2020 02:30,30-12-2020 02:45,44
28,30-12-2020 02:45,30-12-2020 03:00,None
29,30-12-2020 03:00,30-12-2020 03:15,44.2
30,30-12-2020 03:15,30-12-2020 03:30,42.8
31,30-12-2020 03:30,30-12-2020 03:45,40.6
32,30-12-2020 03:45,30-12-2020 04:00,42.1
33,30-12-2020 04:00,30-12-2020 04:15,44.2
34,30-12-2020 04:15,30-12-2020 04:30,41.2
35,30-12-2020 04:30,30-12-2020 04:45,43.1
36,30-12-2020 04:45,30-12-2020 05:00,41.4
37,30-12-2020 05:00,30-12-2020 05:15,39.7
38,30-12-2020 05:15,30-12-2020 05:30,40.3
39,30-12-2020 05:30,30-12-2020 05:45,46.8
40,30-12-2020 05:45,30-12-2020 06:00,43.5
41,30-12-2020 06:00,30-12-2020 06:15,40.3
42,30-12-2020 06:15,30-12-2020 06:30,41.9
43,30-12-2020 06:30,30-12-2020 06:45,44.5
44,30-12-2020 06:45,30-12-2020 07:00,51.7
45,30-12-2020 07:00,30-12-2020 07:15,51
46,30-12-2020 07:15,30-12-2020 07:30,51.7
47,30-12-2020 07:30,30-12-2020 07:45,58.2
48,30-12-2020 07:45,30-12-2020 08:00,58.8
49,30-12-2020 08:00,30-12-2020 08:15,64.4
50,30-12-2020 08:15,30-12-2020 08:30,56
51,30-12-2020 08:30,30-12-2020 08:45,59.7
52,30-12-2020 08:45,30-12-2020 09:00,52.9
53,30-12-2020 09:00,30-12-2020 09:15,51.6
54,30-12-2020 09:15,30-12-2020 09:30,52
55,30-12-2020 09:30,30-12-2020 09:45,None
56,30-12-2020 09:45,30-12-2020 10:00,None
57,30-12-2020 10:00,30-12-2020 10:15,None
58,30-12-2020 10:15,30-12-2020 10:30,54
59,30-12-2020 10:30,30-12-2020 10:45,63.5
60,30-12-2020 10:45,30-12-2020 11:00,None
61,30-12-2020 11:00,30-12-2020 11:15,57.8
62,30-12-2020 11:15,30-12-2020 11:30,66
63,30-12-2020 11:30,30-12-2020 11:45,None
64,30-12-2020 11:45,30-12-2020 12:00,None
65,30-12-2020 12:00,30-12-2020 12:15,None
66,30-12-2020 12:15,30-12-2020 12:30,57.3
67,30-12-2020 12:30,30-12-2020 12:45,63.6
68,30-12-2020 12:45,30-12-2020 13:00,None
69,30-12-2020 13:00,30-12-2020 13:15,59.1
70,30-12-2020 13:15,30-12-2020 13:30,60
71,30-12-2020 13:30,30-12-2020 13:45,49.5
72,30-12-2020 13:45,30-12-2020 14:00,53.1
73,30-12-2020 14:00,30-12-2020 14:15,66.9
74,30-12-2020 14:15,30-12-2020 14:30,61.5
75,30-12-2020 14:30,30-12-2020 14:45,75.1
76,30-12-2020 14:45,30-12-2020 15:00,68.2
77,30-12-2020 15:00,30-12-2020 15:15,68.8
78,30-12-2020 15:15,30-12-2020 15:30,67.3
79,30-12-2020 15:30,30-12-2020 15:45,68.1
80,30-12-2020 15:45,30-12-2020 16:00,73.3
81,30-12-2020 16:00,30-12-2020 16:15,79.3
82,30-12-2020 16:15,30-12-2020 16:30,85
83,30-12-2020 16:30,30-12-2020 16:45,106.1
84,30-12-2020 16:45,30-12-2020 17:00,109.5
85,30-12-2020 17:00,30-12-2020 17:15,127.5
86,30-12-2020 17:15,30-12-2020 17:30,128.3
87,30-12-2020 17:30,30-12-2020 17:45,138
88,30-12-2020 17:45,30-12-2020 18:00,156
89,30-12-2020 18:00,30-12-2020 18:15,167.1
90,30-12-2020 18:15,30-12-2020 18:30,165.7
91,30-12-2020 18:30,30-12-2020 18:45,153.9
92,30-12-2020 18:45,30-12-2020 19:00,147.5
93,30-12-2020 19:00,30-12-2020 19:15,122.8
94,30-12-2020 19:15,30-12-2020 19:30,129.4
95,30-12-2020 19:30,30-12-2020 19:45,123.3
96,30-12-2020 19:45,30-12-2020 20:00,121.5
97,30-12-2020 20:00,30-12-2020 20:15,114.1
98,30-12-2020 20:15,30-12-2020 20:30,118.2
99,30-12-2020 20:30,30-12-2020 20:45,115.7
100,30-12-2020 20:45,30-12-2020 21:00,113
101,30-12-2020 21:00,30-12-2020 21:15,106.9
102,30-12-2020 21:15,30-12-2020 21:30,100.2
103,30-12-2020 21:30,30-12-2020 21:45,101.9
104,30-12-2020 21:45,30-12-2020 22:00,98.2
105,30-12-2020 22:00,30-12-2020 22:15,86.8
106,30-12-2020 22:15,30-12-2020 22:30,93.8
107,30-12-2020 22:30,30-12-2020 22:45,84.9
108,30-12-2020 22:45,30-12-2020 23:00,72.4
109,30-12-2020 23:00,30-12-2020 23:15,68.5
110,30-12-2020 23:15,30-12-2020 23:30,65.8
111,30-12-2020 23:30,30-12-2020 23:45,None
112,30-12-2020 23:45,31-12-2020 00:00,59.7
113,31-12-2020 00:00,31-12-2020 00:15,53.8
114,31-12-2020 00:15,31-12-2020 00:30,49
115,31-12-2020 00:30,31-12-2020 00:45,53.4
116,31-12-2020 00:45,31-12-2020 01:00,61.4
117,31-12-2020 01:00,31-12-2020 01:15,59.3
118,31-12-2020 01:15,31-12-2020 01:30,49.4
119,31-12-2020 01:30,31-12-2020 01:45,51.3
120,31-12-2020 01:45,31-12-2020 02:00,51.4
121,31-12-2020 02:00,31-12-2020 02:15,51.7
122,31-12-2020 02:15,31-12-2020 02:30,45
123,31-12-2020 02:30,31-12-2020 02:45,44.9
124,31-12-2020 02:45,31-12-2020 03:00,43.1
125,31-12-2020 03:00,31-12-2020 03:15,42.7
126,31-12-2020 03:15,31-12-2020 03:30,43.9
127,31-12-2020 03:30,31-12-2020 03:45,45.4
128,31-12-2020 03:45,31-12-2020 04:00,49.3
129,31-12-2020 04:00,31-12-2020 04:15,49.9
130,31-12-2020 04:15,31-12-2020 04:30,50.3
131,31-12-2020 04:30,31-12-2020 04:45,42.6
132,31-12-2020 04:45,31-12-2020 05:00,39
133,31-12-2020 05:00,31-12-2020 05:15,38.2
134,31-12-2020 05:15,31-12-2020 05:30,37.5
135,31-12-2020 05:30,31-12-2020 05:45,36.6
136,31-12-2020 05:45,31-12-2020 06:00,38.1
137,31-12-2020 06:00,31-12-2020 06:15,35.8
138,31-12-2020 06:15,31-12-2020 06:30,36.9
139,31-12-2020 06:30,31-12-2020 06:45,35.4
140,31-12-2020 06:45,31-12-2020 07:00,41.1
141,31-12-2020 07:00,31-12-2020 07:15,40.6
142,31-12-2020 07:15,31-12-2020 07:30,44.2
143,31-12-2020 07:30,31-12-2020 07:45,43.1
144,31-12-2020 07:45,31-12-2020 08:00,45
145,31-12-2020 08:00,31-12-2020 08:15,48.7
146,31-12-2020 08:15,31-12-2020 08:30,47
147,31-12-2020 08:30,31-12-2020 08:45,42.5
148,31-12-2020 08:45,31-12-2020 09:00,39.7
149,31-12-2020 09:00,31-12-2020 09:15,33
150,31-12-2020 09:15,31-12-2020 09:30,37
151,31-12-2020 09:30,31-12-2020 09:45,None
152,31-12-2020 09:45,31-12-2020 10:00,None
153,31-12-2020 10:00,31-12-2020 10:15,None
154,31-12-2020 10:15,31-12-2020 10:30,55
155,31-12-2020 10:30,31-12-2020 10:45,48.1
156,31-12-2020 10:45,31-12-2020 11:00,58.2
157,31-12-2020 11:00,31-12-2020 11:15,53.7
158,31-12-2020 11:15,31-12-2020 11:30,56.3
159,31-12-2020 11:30,31-12-2020 11:45,None
160,31-12-2020 11:45,31-12-2020 12:00,None
161,31-12-2020 12:00,31-12-2020 12:15,None
162,31-12-2020 12:15,31-12-2020 12:30,12.3
163,31-12-2020 12:30,31-12-2020 12:45,11.3
164,31-12-2020 12:45,31-12-2020 13:00,5.3
165,31-12-2020 13:00,31-12-2020 13:15,58.9
166,31-12-2020 13:15,31-12-2020 13:30,57.8
167,31-12-2020 13:30,31-12-2020 13:45,57.6
168,31-12-2020 13:45,31-12-2020 14:00,51.9
169,31-12-2020 14:00,31-12-2020 14:15,51.7
170,31-12-2020 14:15,31-12-2020 14:30,53.2
171,31-12-2020 14:30,31-12-2020 14:45,53.7
