,0,1,5
13,Prescribed Standards, ,0-200
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,NOx
17,30-12-2020 00:00,30-12-2020 00:15,37
18,30-12-2020 00:15,30-12-2020 00:30,34.3
19,30-12-2020 00:30,30-12-2020 00:45,26.8
20,30-12-2020 00:45,30-12-2020 01:00,28.9
21,30-12-2020 01:00,30-12-2020 01:15,28.5
22,30-12-2020 01:15,30-12-2020 01:30,23.7
23,30-12-2020 01:30,30-12-2020 01:45,27.1
24,30-12-2020 01:45,30-12-2020 02:00,26.7
25,30-12-2020 02:00,30-12-2020 02:15,24.4
26,30-12-2020 02:15,30-12-2020 02:30,28.3
27,30-12-2020 02:30,30-12-2020 02:45,26.9
28,30-12-2020 02:45,30-12-2020 03:00,None
29,30-12-2020 03:00,30-12-2020 03:15,25.9
30,30-12-2020 03:15,30-12-2020 03:30,26.4
31,30-12-2020 03:30,30-12-2020 03:45,24.1
32,30-12-2020 03:45,30-12-2020 04:00,24.8
33,30-12-2020 04:00,30-12-2020 04:15,26.4
34,30-12-2020 04:15,30-12-2020 04:30,26.1
35,30-12-2020 04:30,30-12-2020 04:45,26.4
36,30-12-2020 04:45,30-12-2020 05:00,24.2
37,30-12-2020 05:00,30-12-2020 05:15,24.6
38,30-12-2020 05:15,30-12-2020 05:30,23.5
39,30-12-2020 05:30,30-12-2020 05:45,27.6
40,30-12-2020 05:45,30-12-2020 06:00,26.5
41,30-12-2020 06:00,30-12-2020 06:15,25.9
42,30-12-2020 06:15,30-12-2020 06:30,24.2
43,30-12-2020 06:30,30-12-2020 06:45,25.7
44,30-12-2020 06:45,30-12-2020 07:00,32.9
45,30-12-2020 07:00,30-12-2020 07:15,29.1
46,30-12-2020 07:15,30-12-2020 07:30,31.3
47,30-12-2020 07:30,30-12-2020 07:45,38.8
48,30-12-2020 07:45,30-12-2020 08:00,38.5
49,30-12-2020 08:00,30-12-2020 08:15,43.7
50,30-12-2020 08:15,30-12-2020 08:30,41
51,30-12-2020 08:30,30-12-2020 08:45,42.2
52,30-12-2020 08:45,30-12-2020 09:00,35.8
53,30-12-2020 09:00,30-12-2020 09:15,37
54,30-12-2020 09:15,30-12-2020 09:30,35.4
