,0,1,2
13,Prescribed Standards, ,0-60
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,PM2.5
17,30-12-2020 00:00,30-12-2020 00:15,136
18,30-12-2020 00:15,30-12-2020 00:30,136
19,30-12-2020 00:30,30-12-2020 00:45,136
20,30-12-2020 00:45,30-12-2020 01:00,113
21,30-12-2020 01:00,30-12-2020 01:15,113
22,30-12-2020 01:15,30-12-2020 01:30,113
23,30-12-2020 01:30,30-12-2020 01:45,113
24,30-12-2020 01:45,30-12-2020 02:00,118
25,30-12-2020 02:00,30-12-2020 02:15,118
26,30-12-2020 02:15,30-12-2020 02:30,118
27,30-12-2020 02:30,30-12-2020 02:45,118
28,30-12-2020 02:45,30-12-2020 03:00,None
29,30-12-2020 03:00,30-12-2020 03:15,128
30,30-12-2020 03:15,30-12-2020 03:30,128
31,30-12-2020 03:30,30-12-2020 03:45,128
32,30-12-2020 03:45,30-12-2020 04:00,138
33,30-12-2020 04:00,30-12-2020 04:15,138
34,30-12-2020 04:15,30-12-2020 04:30,138
35,30-12-2020 04:30,30-12-2020 04:45,138
36,30-12-2020 04:45,30-12-2020 05:00,133
37,30-12-2020 05:00,30-12-2020 05:15,133
38,30-12-2020 05:15,30-12-2020 05:30,133
39,30-12-2020 05:30,30-12-2020 05:45,133
40,30-12-2020 05:45,30-12-2020 06:00,141
41,30-12-2020 06:00,30-12-2020 06:15,141
42,30-12-2020 06:15,30-12-2020 06:30,141
43,30-12-2020 06:30,30-12-2020 06:45,141
44,30-12-2020 06:45,30-12-2020 07:00,146
45,30-12-2020 07:00,30-12-2020 07:15,146
46,30-12-2020 07:15,30-12-2020 07:30,146
47,30-12-2020 07:30,30-12-2020 07:45,146
48,30-12-2020 07:45,30-12-2020 08:00,175
49,30-12-2020 08:00,30-12-2020 08:15,175
50,30-12-2020 08:15,30-12-2020 08:30,175
51,30-12-2020 08:30,30-12-2020 08:45,175
52,30-12-2020 08:45,30-12-2020 09:00,220
53,30-12-2020 09:00,30-12-2020 09:15,220
54,30-12-2020 09:15,30-12-2020 09:30,220
55,30-12-2020 09:30,30-12-2020 09:45,None
56,30-12-2020 09:45,30-12-2020 10:00,None
57,30-12-2020 10:00,30-12-2020 10:15,None
58,30-12-2020 10:15,30-12-2020 10:30,189
59,30-12-2020 10:30,30-12-2020 10:45,189
60,30-12-2020 10:45,30-12-2020 11:00,None
61,30-12-2020 11:00,30-12-2020 11:15,189
62,30-12-2020 11:15,30-12-2020 11:30,189
63,30-12-2020 11:30,30-12-2020 11:45,None
64,30-12-2020 11:45,30-12-2020 12:00,165
65,30-12-2020 12:00,30-12-2020 12:15,165
66,30-12-2020 12:15,30-12-2020 12:30,165
67,30-12-2020 12:30,30-12-2020 12:45,165
68,30-12-2020 12:45,30-12-2020 13:00,None
69,30-12-2020 13:00,30-12-2020 13:15,122
70,30-12-2020 13:15,30-12-2020 13:30,122
71,30-12-2020 13:30,30-12-2020 13:45,122
72,30-12-2020 13:45,30-12-2020 14:00,84
73,30-12-2020 14:00,30-12-2020 14:15,84
74,30-12-2020 14:15,30-12-2020 14:30,84
75,30-12-2020 14:30,30-12-2020 14:45,84
76,30-12-2020 14:45,30-12-2020 15:00,90
77,30-12-2020 15:00,30-12-2020 15:15,90
78,30-12-2020 15:15,30-12-2020 15:30,90
79,30-12-2020 15:30,30-12-2020 15:45,90
80,30-12-2020 15:45,30-12-2020 16:00,91
81,30-12-2020 16:00,30-12-2020 16:15,91
82,30-12-2020 16:15,30-12-2020 16:30,91
83,30-12-2020 16:30,30-12-2020 16:45,91
84,30-12-2020 16:45,30-12-2020 17:00,94
85,30-12-2020 17:00,30-12-2020 17:15,94
86,30-12-2020 17:15,30-12-2020 17:30,94
87,30-12-2020 17:30,30-12-2020 17:45,94
88,30-12-2020 17:45,30-12-2020 18:00,120
89,30-12-2020 18:00,30-12-2020 18:15,120
90,30-12-2020 18:15,30-12-2020 18:30,120
91,30-12-2020 18:30,30-12-2020 18:45,120
92,30-12-2020 18:45,30-12-2020 19:00,204
93,30-12-2020 19:00,30-12-2020 19:15,204
94,30-12-2020 19:15,30-12-2020 19:30,204
95,30-12-2020 19:30,30-12-2020 19:45,204
96,30-12-2020 19:45,30-12-2020 20:00,173
97,30-12-2020 20:00,30-12-2020 20:15,173
98,30-12-2020 20:15,30-12-2020 20:30,173
99,30-12-2020 20:30,30-12-2020 20:45,173
100,30-12-2020 20:45,30-12-2020 21:00,178
101,30-12-2020 21:00,30-12-2020 21:15,178
102,30-12-2020 21:15,30-12-2020 21:30,178
103,30-12-2020 21:30,30-12-2020 21:45,178
104,30-12-2020 21:45,30-12-2020 22:00,170
105,30-12-2020 22:00,30-12-2020 22:15,170
106,30-12-2020 22:15,30-12-2020 22:30,170
107,30-12-2020 22:30,30-12-2020 22:45,170
108,30-12-2020 22:45,30-12-2020 23:00,152
109,30-12-2020 23:00,30-12-2020 23:15,152
110,30-12-2020 23:15,30-12-2020 23:30,152
111,30-12-2020 23:30,30-12-2020 23:45,None
112,30-12-2020 23:45,31-12-2020 00:00,149
113,31-12-2020 00:00,31-12-2020 00:15,149
114,31-12-2020 00:15,31-12-2020 00:30,149
115,31-12-2020 00:30,31-12-2020 00:45,149
116,31-12-2020 00:45,31-12-2020 01:00,172
117,31-12-2020 01:00,31-12-2020 01:15,172
118,31-12-2020 01:15,31-12-2020 01:30,172
119,31-12-2020 01:30,31-12-2020 01:45,172
120,31-12-2020 01:45,31-12-2020 02:00,181
121,31-12-2020 02:00,31-12-2020 02:15,181
122,31-12-2020 02:15,31-12-2020 02:30,181
123,31-12-2020 02:30,31-12-2020 02:45,181
124,31-12-2020 02:45,31-12-2020 03:00,186
125,31-12-2020 03:00,31-12-2020 03:15,186
126,31-12-2020 03:15,31-12-2020 03:30,186
127,31-12-2020 03:30,31-12-2020 03:45,186
128,31-12-2020 03:45,31-12-2020 04:00,187
129,31-12-2020 04:00,31-12-2020 04:15,187
130,31-12-2020 04:15,31-12-2020 04:30,187
131,31-12-2020 04:30,31-12-2020 04:45,187
132,31-12-2020 04:45,31-12-2020 05:00,174
133,31-12-2020 05:00,31-12-2020 05:15,174
134,31-12-2020 05:15,31-12-2020 05:30,174
135,31-12-2020 05:30,31-12-2020 05:45,174
136,31-12-2020 05:45,31-12-2020 06:00,144
137,31-12-2020 06:00,31-12-2020 06:15,144
138,31-12-2020 06:15,31-12-2020 06:30,144
139,31-12-2020 06:30,31-12-2020 06:45,144
140,31-12-2020 06:45,31-12-2020 07:00,118
141,31-12-2020 07:00,31-12-2020 07:15,118
142,31-12-2020 07:15,31-12-2020 07:30,118
143,31-12-2020 07:30,31-12-2020 07:45,118
144,31-12-2020 07:45,31-12-2020 08:00,119
145,31-12-2020 08:00,31-12-2020 08:15,119
146,31-12-2020 08:15,31-12-2020 08:30,119
147,31-12-2020 08:30,31-12-2020 08:45,119
148,31-12-2020 08:45,31-12-2020 09:00,163
149,31-12-2020 09:00,31-12-2020 09:15,163
150,31-12-2020 09:15,31-12-2020 09:30,163
151,31-12-2020 09:30,31-12-2020 09:45,None
152,31-12-2020 09:45,31-12-2020 10:00,None
153,31-12-2020 10:00,31-12-2020 10:15,None
154,31-12-2020 10:15,31-12-2020 10:30,141
155,31-12-2020 10:30,31-12-2020 10:45,141
156,31-12-2020 10:45,31-12-2020 11:00,160
157,31-12-2020 11:00,31-12-2020 11:15,160
158,31-12-2020 11:15,31-12-2020 11:30,160
159,31-12-2020 11:30,31-12-2020 11:45,160
160,31-12-2020 11:45,31-12-2020 12:00,150
161,31-12-2020 12:00,31-12-2020 12:15,150
162,31-12-2020 12:15,31-12-2020 12:30,150
163,31-12-2020 12:30,31-12-2020 12:45,150
164,31-12-2020 12:45,31-12-2020 13:00,121
165,31-12-2020 13:00,31-12-2020 13:15,121
166,31-12-2020 13:15,31-12-2020 13:30,121
167,31-12-2020 13:30,31-12-2020 13:45,121
168,31-12-2020 13:45,31-12-2020 14:00,127
169,31-12-2020 14:00,31-12-2020 14:15,127
170,31-12-2020 14:15,31-12-2020 14:30,127
171,31-12-2020 14:30,31-12-2020 14:45,127
172,31-12-2020 14:45,31-12-2020 15:00,113
173,31-12-2020 15:00,31-12-2020 15:15,113
174,31-12-2020 15:15,31-12-2020 15:30,113
175,31-12-2020 15:30,31-12-2020 15:45,113
176,31-12-2020 15:45,31-12-2020 16:00,107
177,31-12-2020 16:00,31-12-2020 16:15,None
178,31-12-2020 16:15,31-12-2020 16:30,107
179,31-12-2020 16:30,31-12-2020 16:45,107
180,31-12-2020 16:45,31-12-2020 17:00,121
181,31-12-2020 17:00,31-12-2020 17:15,121
182,31-12-2020 17:15,31-12-2020 17:30,121
183,31-12-2020 17:30,31-12-2020 17:45,121
184,31-12-2020 17:45,31-12-2020 18:00,140
185,31-12-2020 18:00,31-12-2020 18:15,140
186,31-12-2020 18:15,31-12-2020 18:30,140
187,31-12-2020 18:30,31-12-2020 18:45,140
188,31-12-2020 18:45,31-12-2020 19:00,230
189,31-12-2020 19:00,31-12-2020 19:15,None
190,31-12-2020 19:15,31-12-2020 19:30,230
191,31-12-2020 19:30,31-12-2020 19:45,230
192,31-12-2020 19:45,31-12-2020 20:00,None
193,31-12-2020 20:00,31-12-2020 20:15,436
194,31-12-2020 20:15,31-12-2020 20:30,436
195,31-12-2020 20:30,31-12-2020 20:45,436
196,31-12-2020 20:45,31-12-2020 21:00,473
197,31-12-2020 21:00,31-12-2020 21:15,473
198,31-12-2020 21:15,31-12-2020 21:30,473
199,31-12-2020 21:30,31-12-2020 21:45,473
200,31-12-2020 21:45,31-12-2020 22:00,311
201,31-12-2020 22:00,31-12-2020 22:15,311
202,31-12-2020 22:15,31-12-2020 22:30,311
203,31-12-2020 22:30,31-12-2020 22:45,311
204,31-12-2020 22:45,31-12-2020 23:00,266
205,31-12-2020 23:00,31-12-2020 23:15,266
206,31-12-2020 23:15,31-12-2020 23:30,266
207,31-12-2020 23:30,31-12-2020 23:45,None
208,31-12-2020 23:45,01-01-2021 00:00,None
209,01-01-2021 00:00,01-01-2021 00:15,272
210,01-01-2021 00:15,01-01-2021 00:30,272
211,01-01-2021 00:30,01-01-2021 00:45,272
212,01-01-2021 00:45,01-01-2021 01:00,269
213,01-01-2021 01:00,01-01-2021 01:15,None
214,01-01-2021 01:15,01-01-2021 01:30,269
215,01-01-2021 01:30,01-01-2021 01:45,269
216,01-01-2021 01:45,01-01-2021 02:00,238
217,01-01-2021 02:00,01-01-2021 02:15,238
218,01-01-2021 02:15,01-01-2021 02:30,238
219,01-01-2021 02:30,01-01-2021 02:45,238
220,01-01-2021 02:45,01-01-2021 03:00,227
221,01-01-2021 03:00,01-01-2021 03:15,None
222,01-01-2021 03:15,01-01-2021 03:30,227
223,01-01-2021 03:30,01-01-2021 03:45,227
224,01-01-2021 03:45,01-01-2021 04:00,193
225,01-01-2021 04:00,01-01-2021 04:15,193
226,01-01-2021 04:15,01-01-2021 04:30,193
227,01-01-2021 04:30,01-01-2021 04:45,193
228,01-01-2021 04:45,01-01-2021 05:00,169
229,01-01-2021 05:00,01-01-2021 05:15,169
230,01-01-2021 05:15,01-01-2021 05:30,169
231,01-01-2021 05:30,01-01-2021 05:45,169
232,01-01-2021 05:45,01-01-2021 06:00,151
233,01-01-2021 06:00,01-01-2021 06:15,151
234,01-01-2021 06:15,01-01-2021 06:30,None
235,01-01-2021 06:30,01-01-2021 06:45,151
236,01-01-2021 06:45,01-01-2021 07:00,266
237,01-01-2021 07:00,01-01-2021 07:15,266
238,01-01-2021 07:15,01-01-2021 07:30,266
239,01-01-2021 07:30,01-01-2021 07:45,266
240,01-01-2021 07:45,01-01-2021 08:00,248
241,01-01-2021 08:00,01-01-2021 08:15,248
242,01-01-2021 08:15,01-01-2021 08:30,248
243,01-01-2021 08:30,01-01-2021 08:45,248
244,01-01-2021 08:45,01-01-2021 09:00,249
245,01-01-2021 09:00,01-01-2021 09:15,249
246,01-01-2021 09:15,01-01-2021 09:30,249
247,01-01-2021 09:30,01-01-2021 09:45,None
248,01-01-2021 09:45,01-01-2021 10:00,None
249,01-01-2021 10:00,01-01-2021 10:15,None
250,01-01-2021 10:15,01-01-2021 10:30,243
251,01-01-2021 10:30,01-01-2021 10:45,243
252,01-01-2021 10:45,01-01-2021 11:00,226
253,01-01-2021 11:00,01-01-2021 11:15,None
254,01-01-2021 11:15,01-01-2021 11:30,226
255,01-01-2021 11:30,01-01-2021 11:45,None
256,01-01-2021 11:45,01-01-2021 12:00,184
257,01-01-2021 12:00,01-01-2021 12:15,184
258,01-01-2021 12:15,01-01-2021 12:30,184
259,01-01-2021 12:30,01-01-2021 12:45,184
260,01-01-2021 12:45,01-01-2021 13:00,159
261,01-01-2021 13:00,01-01-2021 13:15,159
262,01-01-2021 13:15,01-01-2021 13:30,159
263,01-01-2021 13:30,01-01-2021 13:45,159
264,01-01-2021 13:45,01-01-2021 14:00,160
265,01-01-2021 14:00,01-01-2021 14:15,None
266,01-01-2021 14:15,01-01-2021 14:30,160
267,01-01-2021 14:30,01-01-2021 14:45,160
268,01-01-2021 14:45,01-01-2021 15:00,145
269,01-01-2021 15:00,01-01-2021 15:15,145
270,01-01-2021 15:15,01-01-2021 15:30,145
271,01-01-2021 15:30,01-01-2021 15:45,145
272,01-01-2021 15:45,01-01-2021 16:00,115
273,01-01-2021 16:00,01-01-2021 16:15,115
274,01-01-2021 16:15,01-01-2021 16:30,115
275,01-01-2021 16:30,01-01-2021 16:45,115
276,01-01-2021 16:45,01-01-2021 17:00,115
277,01-01-2021 17:00,01-01-2021 17:15,None
278,01-01-2021 17:15,01-01-2021 17:30,115
279,01-01-2021 17:30,01-01-2021 17:45,115
280,01-01-2021 17:45,01-01-2021 18:00,204
281,01-01-2021 18:00,01-01-2021 18:15,204
282,01-01-2021 18:15,01-01-2021 18:30,204
283,01-01-2021 18:30,01-01-2021 18:45,204
284,01-01-2021 18:45,01-01-2021 19:00,319
285,01-01-2021 19:00,01-01-2021 19:15,319
286,01-01-2021 19:15,01-01-2021 19:30,None
287,01-01-2021 19:30,01-01-2021 19:45,319
288,01-01-2021 19:45,01-01-2021 20:00,573
289,01-01-2021 20:00,01-01-2021 20:15,573
290,01-01-2021 20:15,01-01-2021 20:30,573
291,01-01-2021 20:30,01-01-2021 20:45,573
292,01-01-2021 20:45,01-01-2021 21:00,638
293,01-01-2021 21:00,01-01-2021 21:15,638
294,01-01-2021 21:15,01-01-2021 21:30,638
295,01-01-2021 21:30,01-01-2021 21:45,638
296,01-01-2021 21:45,01-01-2021 22:00,769
297,01-01-2021 22:00,01-01-2021 22:15,769
298,01-01-2021 22:15,01-01-2021 22:30,769
299,01-01-2021 22:30,01-01-2021 22:45,769
300,01-01-2021 22:45,01-01-2021 23:00,657
301,01-01-2021 23:00,01-01-2021 23:15,657
302,01-01-2021 23:15,01-01-2021 23:30,657
303,01-01-2021 23:30,01-01-2021 23:45,None
304,01-01-2021 23:45,02-01-2021 00:00,299
305,02-01-2021 00:00,02-01-2021 00:15,299
306,02-01-2021 00:15,02-01-2021 00:30,None
307,02-01-2021 00:30,02-01-2021 00:45,299
308,02-01-2021 00:45,02-01-2021 01:00,232
309,02-01-2021 01:00,02-01-2021 01:15,232
310,02-01-2021 01:15,02-01-2021 01:30,232
311,02-01-2021 01:30,02-01-2021 01:45,232
312,02-01-2021 01:45,02-01-2021 02:00,212
313,02-01-2021 02:00,02-01-2021 02:15,212
314,02-01-2021 02:15,02-01-2021 02:30,212
315,02-01-2021 02:30,02-01-2021 02:45,212
316,02-01-2021 02:45,02-01-2021 03:00,194
317,02-01-2021 03:00,02-01-2021 03:15,194
318,02-01-2021 03:15,02-01-2021 03:30,194
319,02-01-2021 03:30,02-01-2021 03:45,194
320,02-01-2021 03:45,02-01-2021 04:00,158
321,02-01-2021 04:00,02-01-2021 04:15,158
322,02-01-2021 04:15,02-01-2021 04:30,158
323,02-01-2021 04:30,02-01-2021 04:45,158
324,02-01-2021 04:45,02-01-2021 05:00,None
325,02-01-2021 05:00,02-01-2021 05:15,147
326,02-01-2021 05:15,02-01-2021 05:30,147
327,02-01-2021 05:30,02-01-2021 05:45,147
328,02-01-2021 05:45,02-01-2021 06:00,None
329,02-01-2021 06:00,02-01-2021 06:15,188
330,02-01-2021 06:15,02-01-2021 06:30,188
331,02-01-2021 06:30,02-01-2021 06:45,188
332,02-01-2021 06:45,02-01-2021 07:00,None
333,02-01-2021 07:00,02-01-2021 07:15,242
334,02-01-2021 07:15,02-01-2021 07:30,242
335,02-01-2021 07:30,02-01-2021 07:45,242
336,02-01-2021 07:45,02-01-2021 08:00,232
337,02-01-2021 08:00,02-01-2021 08:15,232
338,02-01-2021 08:15,02-01-2021 08:30,232
339,02-01-2021 08:30,02-01-2021 08:45,232
340,02-01-2021 08:45,02-01-2021 09:00,274
341,02-01-2021 09:00,02-01-2021 09:15,274
342,02-01-2021 09:15,02-01-2021 09:30,274
343,02-01-2021 09:30,02-01-2021 09:45,None
344,02-01-2021 09:45,02-01-2021 10:00,None
345,02-01-2021 10:00,02-01-2021 10:15,None
346,02-01-2021 10:15,02-01-2021 10:30,234
347,02-01-2021 10:30,02-01-2021 10:45,None
348,02-01-2021 10:45,02-01-2021 11:00,224
349,02-01-2021 11:00,02-01-2021 11:15,224
350,02-01-2021 11:15,02-01-2021 11:30,224
351,02-01-2021 11:30,02-01-2021 11:45,224
352,02-01-2021 11:45,02-01-2021 12:00,None
353,02-01-2021 12:00,02-01-2021 12:15,None
354,02-01-2021 12:15,02-01-2021 12:30,None
355,02-01-2021 12:30,02-01-2021 12:45,None
356,02-01-2021 12:45,02-01-2021 13:00,240
357,02-01-2021 13:00,02-01-2021 13:15,240
358,02-01-2021 13:15,02-01-2021 13:30,240
359,02-01-2021 13:30,02-01-2021 13:45,240
360,02-01-2021 13:45,02-01-2021 14:00,144
361,02-01-2021 14:00,02-01-2021 14:15,144
362,02-01-2021 14:15,02-01-2021 14:30,None
363,02-01-2021 14:30,02-01-2021 14:45,144
364,02-01-2021 14:45,02-01-2021 15:00,140
365,02-01-2021 15:00,02-01-2021 15:15,140
366,02-01-2021 15:15,02-01-2021 15:30,140
367,02-01-2021 15:30,02-01-2021 15:45,140
368,02-01-2021 15:45,02-01-2021 16:00,153
369,02-01-2021 16:00,02-01-2021 16:15,153
370,02-01-2021 16:15,02-01-2021 16:30,153
371,02-01-2021 16:30,02-01-2021 16:45,153
372,02-01-2021 16:45,02-01-2021 17:00,188
373,02-01-2021 17:00,02-01-2021 17:15,188
374,02-01-2021 17:15,02-01-2021 17:30,188
375,02-01-2021 17:30,02-01-2021 17:45,188
376,02-01-2021 17:45,02-01-2021 18:00,275
377,02-01-2021 18:00,02-01-2021 18:15,275
378,02-01-2021 18:15,02-01-2021 18:30,275
379,02-01-2021 18:30,02-01-2021 18:45,275
380,02-01-2021 18:45,02-01-2021 19:00,499
381,02-01-2021 19:00,02-01-2021 19:15,499
382,02-01-2021 19:15,02-01-2021 19:30,499
383,02-01-2021 19:30,02-01-2021 19:45,499
384,02-01-2021 19:45,02-01-2021 20:00,614
385,02-01-2021 20:00,02-01-2021 20:15,614
386,02-01-2021 20:15,02-01-2021 20:30,614
387,02-01-2021 20:30,02-01-2021 20:45,None
388,02-01-2021 20:45,02-01-2021 21:00,678
389,02-01-2021 21:00,02-01-2021 21:15,678
390,02-01-2021 21:15,02-01-2021 21:30,678
391,02-01-2021 21:30,02-01-2021 21:45,678
392,02-01-2021 21:45,02-01-2021 22:00,627
393,02-01-2021 22:00,02-01-2021 22:15,627
394,02-01-2021 22:15,02-01-2021 22:30,627
395,02-01-2021 22:30,02-01-2021 22:45,627
396,02-01-2021 22:45,02-01-2021 23:00,500
397,02-01-2021 23:00,02-01-2021 23:15,500
398,02-01-2021 23:15,02-01-2021 23:30,500
399,02-01-2021 23:30,02-01-2021 23:45,None
400,02-01-2021 23:45,03-01-2021 00:00,395
401,03-01-2021 00:00,03-01-2021 00:15,395
402,03-01-2021 00:15,03-01-2021 00:30,395
403,03-01-2021 00:30,03-01-2021 00:45,395
404,03-01-2021 00:45,03-01-2021 01:00,None
405,03-01-2021 01:00,03-01-2021 01:15,303
406,03-01-2021 01:15,03-01-2021 01:30,303
