,0,1,6
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,SO2
17,30-12-2020 00:00,30-12-2020 00:15,13.5
18,30-12-2020 00:15,30-12-2020 00:30,14.9
19,30-12-2020 00:30,30-12-2020 00:45,15.3
20,30-12-2020 00:45,30-12-2020 01:00,15.7
21,30-12-2020 01:00,30-12-2020 01:15,17.6
22,30-12-2020 01:15,30-12-2020 01:30,17.5
23,30-12-2020 01:30,30-12-2020 01:45,17.5
24,30-12-2020 01:45,30-12-2020 02:00,17.3
25,30-12-2020 02:00,30-12-2020 02:15,17.9
26,30-12-2020 02:15,30-12-2020 02:30,18.4
27,30-12-2020 02:30,30-12-2020 02:45,19
28,30-12-2020 02:45,30-12-2020 03:00,None
29,30-12-2020 03:00,30-12-2020 03:15,15.7
30,30-12-2020 03:15,30-12-2020 03:30,15.1
31,30-12-2020 03:30,30-12-2020 03:45,14.7
32,30-12-2020 03:45,30-12-2020 04:00,14.8
33,30-12-2020 04:00,30-12-2020 04:15,14.7
34,30-12-2020 04:15,30-12-2020 04:30,13.7
35,30-12-2020 04:30,30-12-2020 04:45,13.6
36,30-12-2020 04:45,30-12-2020 05:00,13.1
37,30-12-2020 05:00,30-12-2020 05:15,13.2
38,30-12-2020 05:15,30-12-2020 05:30,13.2
39,30-12-2020 05:30,30-12-2020 05:45,13.2
40,30-12-2020 05:45,30-12-2020 06:00,12.8
41,30-12-2020 06:00,30-12-2020 06:15,12.5
42,30-12-2020 06:15,30-12-2020 06:30,12.3
43,30-12-2020 06:30,30-12-2020 06:45,12
44,30-12-2020 06:45,30-12-2020 07:00,12.1
45,30-12-2020 07:00,30-12-2020 07:15,12.7
46,30-12-2020 07:15,30-12-2020 07:30,13.3
47,30-12-2020 07:30,30-12-2020 07:45,14.5
48,30-12-2020 07:45,30-12-2020 08:00,14.3
49,30-12-2020 08:00,30-12-2020 08:15,14.3
50,30-12-2020 08:15,30-12-2020 08:30,15.6
51,30-12-2020 08:30,30-12-2020 08:45,16.8
52,30-12-2020 08:45,30-12-2020 09:00,17.8
53,30-12-2020 09:00,30-12-2020 09:15,19.4
54,30-12-2020 09:15,30-12-2020 09:30,19.9
55,30-12-2020 09:30,30-12-2020 09:45,None
56,30-12-2020 09:45,30-12-2020 10:00,None
57,30-12-2020 10:00,30-12-2020 10:15,None
58,30-12-2020 10:15,30-12-2020 10:30,22.1
59,30-12-2020 10:30,30-12-2020 10:45,None
60,30-12-2020 10:45,30-12-2020 11:00,None
61,30-12-2020 11:00,30-12-2020 11:15,None
62,30-12-2020 11:15,30-12-2020 11:30,19.9
63,30-12-2020 11:30,30-12-2020 11:45,None
64,30-12-2020 11:45,30-12-2020 12:00,19.4
65,30-12-2020 12:00,30-12-2020 12:15,18.9
66,30-12-2020 12:15,30-12-2020 12:30,16.9
67,30-12-2020 12:30,30-12-2020 12:45,15.7
68,30-12-2020 12:45,30-12-2020 13:00,None
69,30-12-2020 13:00,30-12-2020 13:15,15.1
70,30-12-2020 13:15,30-12-2020 13:30,13.5
71,30-12-2020 13:30,30-12-2020 13:45,13
72,30-12-2020 13:45,30-12-2020 14:00,13.1
73,30-12-2020 14:00,30-12-2020 14:15,13.2
74,30-12-2020 14:15,30-12-2020 14:30,13.1
75,30-12-2020 14:30,30-12-2020 14:45,13.4
76,30-12-2020 14:45,30-12-2020 15:00,13.6
77,30-12-2020 15:00,30-12-2020 15:15,13.8
78,30-12-2020 15:15,30-12-2020 15:30,13.5
79,30-12-2020 15:30,30-12-2020 15:45,13.4
80,30-12-2020 15:45,30-12-2020 16:00,13.5
81,30-12-2020 16:00,30-12-2020 16:15,13.5
82,30-12-2020 16:15,30-12-2020 16:30,13.2
83,30-12-2020 16:30,30-12-2020 16:45,12.2
84,30-12-2020 16:45,30-12-2020 17:00,12.5
85,30-12-2020 17:00,30-12-2020 17:15,13.1
86,30-12-2020 17:15,30-12-2020 17:30,13.9
87,30-12-2020 17:30,30-12-2020 17:45,15.3
88,30-12-2020 17:45,30-12-2020 18:00,15.6
89,30-12-2020 18:00,30-12-2020 18:15,17.9
90,30-12-2020 18:15,30-12-2020 18:30,20.5
91,30-12-2020 18:30,30-12-2020 18:45,19.7
92,30-12-2020 18:45,30-12-2020 19:00,18.5
93,30-12-2020 19:00,30-12-2020 19:15,17.4
94,30-12-2020 19:15,30-12-2020 19:30,16.5
95,30-12-2020 19:30,30-12-2020 19:45,16
96,30-12-2020 19:45,30-12-2020 20:00,15.9
97,30-12-2020 20:00,30-12-2020 20:15,16
98,30-12-2020 20:15,30-12-2020 20:30,15.7
99,30-12-2020 20:30,30-12-2020 20:45,16.2
100,30-12-2020 20:45,30-12-2020 21:00,15.8
101,30-12-2020 21:00,30-12-2020 21:15,15.2
102,30-12-2020 21:15,30-12-2020 21:30,15.4
103,30-12-2020 21:30,30-12-2020 21:45,15.2
104,30-12-2020 21:45,30-12-2020 22:00,14.7
105,30-12-2020 22:00,30-12-2020 22:15,14.7
106,30-12-2020 22:15,30-12-2020 22:30,14.1
107,30-12-2020 22:30,30-12-2020 22:45,13.7
108,30-12-2020 22:45,30-12-2020 23:00,13.4
109,30-12-2020 23:00,30-12-2020 23:15,13.5
110,30-12-2020 23:15,30-12-2020 23:30,13.9
111,30-12-2020 23:30,30-12-2020 23:45,None
112,30-12-2020 23:45,31-12-2020 00:00,14.8
113,31-12-2020 00:00,31-12-2020 00:15,14.8
114,31-12-2020 00:15,31-12-2020 00:30,14.2
115,31-12-2020 00:30,31-12-2020 00:45,13.2
116,31-12-2020 00:45,31-12-2020 01:00,12.8
117,31-12-2020 01:00,31-12-2020 01:15,11.9
118,31-12-2020 01:15,31-12-2020 01:30,11.5
119,31-12-2020 01:30,31-12-2020 01:45,10.9
120,31-12-2020 01:45,31-12-2020 02:00,10.7
121,31-12-2020 02:00,31-12-2020 02:15,10.5
122,31-12-2020 02:15,31-12-2020 02:30,10.7
123,31-12-2020 02:30,31-12-2020 02:45,10.8
124,31-12-2020 02:45,31-12-2020 03:00,10.5
125,31-12-2020 03:00,31-12-2020 03:15,10.6
126,31-12-2020 03:15,31-12-2020 03:30,10
127,31-12-2020 03:30,31-12-2020 03:45,9.9
128,31-12-2020 03:45,31-12-2020 04:00,9.8
129,31-12-2020 04:00,31-12-2020 04:15,9.9
130,31-12-2020 04:15,31-12-2020 04:30,9.7
131,31-12-2020 04:30,31-12-2020 04:45,9.5
132,31-12-2020 04:45,31-12-2020 05:00,10
133,31-12-2020 05:00,31-12-2020 05:15,9.6
134,31-12-2020 05:15,31-12-2020 05:30,9.4
135,31-12-2020 05:30,31-12-2020 05:45,9.2
136,31-12-2020 05:45,31-12-2020 06:00,9.8
137,31-12-2020 06:00,31-12-2020 06:15,10.3
138,31-12-2020 06:15,31-12-2020 06:30,10
139,31-12-2020 06:30,31-12-2020 06:45,9.8
140,31-12-2020 06:45,31-12-2020 07:00,9.5
141,31-12-2020 07:00,31-12-2020 07:15,9.9
142,31-12-2020 07:15,31-12-2020 07:30,10.4
143,31-12-2020 07:30,31-12-2020 07:45,11
144,31-12-2020 07:45,31-12-2020 08:00,11.6
145,31-12-2020 08:00,31-12-2020 08:15,11.5
146,31-12-2020 08:15,31-12-2020 08:30,11.5
147,31-12-2020 08:30,31-12-2020 08:45,11.6
148,31-12-2020 08:45,31-12-2020 09:00,11.8
149,31-12-2020 09:00,31-12-2020 09:15,11.9
150,31-12-2020 09:15,31-12-2020 09:30,11.9
151,31-12-2020 09:30,31-12-2020 09:45,None
152,31-12-2020 09:45,31-12-2020 10:00,None
153,31-12-2020 10:00,31-12-2020 10:15,None
154,31-12-2020 10:15,31-12-2020 10:30,13.1
155,31-12-2020 10:30,31-12-2020 10:45,None
156,31-12-2020 10:45,31-12-2020 11:00,None
157,31-12-2020 11:00,31-12-2020 11:15,None
158,31-12-2020 11:15,31-12-2020 11:30,12.7
159,31-12-2020 11:30,31-12-2020 11:45,12.7
160,31-12-2020 11:45,31-12-2020 12:00,12.4
161,31-12-2020 12:00,31-12-2020 12:15,None
162,31-12-2020 12:15,31-12-2020 12:30,None
163,31-12-2020 12:30,31-12-2020 12:45,None
164,31-12-2020 12:45,31-12-2020 13:00,None
165,31-12-2020 13:00,31-12-2020 13:15,11
166,31-12-2020 13:15,31-12-2020 13:30,11.6
167,31-12-2020 13:30,31-12-2020 13:45,13.5
168,31-12-2020 13:45,31-12-2020 14:00,11.8
169,31-12-2020 14:00,31-12-2020 14:15,11.3
170,31-12-2020 14:15,31-12-2020 14:30,11.5
171,31-12-2020 14:30,31-12-2020 14:45,11.7
