,0,1,2,3,4,5,6
13,Prescribed Standards, ,0-60,0-80,0-80,0-200,0-80
14,Exceeding Standards, ,NA,NA,NA,NA,NA
15,Remarks,,,,,,
16,From Date,To Date,PM2.5,NO,NO2,NOx,SO2
17,30-12-2020 00:00,30-12-2020 00:15,136,4.9,62.1,37,13.5
18,30-12-2020 00:15,30-12-2020 00:30,136,4.5,57.5,34.3,14.9
19,30-12-2020 00:30,30-12-2020 00:45,136,1.6,48,26.8,15.3
20,30-12-2020 00:45,30-12-2020 01:00,113,4.3,47.8,28.9,15.7
21,30-12-2020 01:00,30-12-2020 01:15,113,6.4,43.8,28.5,17.6
22,30-12-2020 01:15,30-12-2020 01:30,113,0.7,43.4,23.7,17.5
23,30-12-2020 01:30,30-12-2020 01:45,113,3.3,46,27.1,17.5
24,30-12-2020 01:45,30-12-2020 02:00,118,2.3,46.7,26.7,17.3
25,30-12-2020 02:00,30-12-2020 02:15,118,0.4,45.3,24.4,17.9
26,30-12-2020 02:15,30-12-2020 02:30,118,3.5,47.8,28.3,18.4
27,30-12-2020 02:30,30-12-2020 02:45,118,4.3,44,26.9,19
28,30-12-2020 02:45,30-12-2020 03:00,None,None,None,None,None
29,30-12-2020 03:00,30-12-2020 03:15,128,3,44.2,25.9,15.7
30,30-12-2020 03:15,30-12-2020 03:30,128,4.5,42.8,26.4,15.1
31,30-12-2020 03:30,30-12-2020 03:45,128,3.1,40.6,24.1,14.7
32,30-12-2020 03:45,30-12-2020 04:00,138,2.9,42.1,24.8,14.8
33,30-12-2020 04:00,30-12-2020 04:15,138,3.6,44.2,26.4,14.7
34,30-12-2020 04:15,30-12-2020 04:30,138,5.1,41.2,26.1,13.7
35,30-12-2020 04:30,30-12-2020 04:45,138,4.3,43.1,26.4,13.6
36,30-12-2020 04:45,30-12-2020 05:00,133,2.7,41.4,24.2,13.1
37,30-12-2020 05:00,30-12-2020 05:15,133,4.4,39.7,24.6,13.2
38,30-12-2020 05:15,30-12-2020 05:30,133,2.6,40.3,23.5,13.2
39,30-12-2020 05:30,30-12-2020 05:45,133,3.4,46.8,27.6,13.2
40,30-12-2020 05:45,30-12-2020 06:00,141,4.2,43.5,26.5,12.8
41,30-12-2020 06:00,30-12-2020 06:15,141,5.6,40.3,25.9,12.5
42,30-12-2020 06:15,30-12-2020 06:30,141,2.3,41.9,24.2,12.3
43,30-12-2020 06:30,30-12-2020 06:45,141,2.4,44.5,25.7,12
44,30-12-2020 06:45,30-12-2020 07:00,146,6.7,51.7,32.9,12.1
45,30-12-2020 07:00,30-12-2020 07:15,146,2.4,51,29.1,12.7
46,30-12-2020 07:15,30-12-2020 07:30,146,4.6,51.7,31.3,13.3
47,30-12-2020 07:30,30-12-2020 07:45,146,9.7,58.2,38.8,14.5
48,30-12-2020 07:45,30-12-2020 08:00,175,8.9,58.8,38.5,14.3
49,30-12-2020 08:00,30-12-2020 08:15,175,11.6,64.4,43.7,14.3
50,30-12-2020 08:15,30-12-2020 08:30,175,13.8,56,41,15.6
51,30-12-2020 08:30,30-12-2020 08:45,175,12.8,59.7,42.2,16.8
52,30-12-2020 08:45,30-12-2020 09:00,220,9.4,52.9,35.8,17.8
53,30-12-2020 09:00,30-12-2020 09:15,220,11.7,51.6,37,19.4
54,30-12-2020 09:15,30-12-2020 09:30,220,9.5,52,35.4,19.9
55,30-12-2020 09:30,30-12-2020 09:45,None,None,None,None,None
56,30-12-2020 09:45,30-12-2020 10:00,None,None,None,None,None
57,30-12-2020 10:00,30-12-2020 10:15,None,None,None,None,None
58,30-12-2020 10:15,30-12-2020 10:30,189,9.2,54,36.2,22.1
59,30-12-2020 10:30,30-12-2020 10:45,189,12.1,63.5,43.6,None
60,30-12-2020 10:45,30-12-2020 11:00,None,None,None,None,None
61,30-12-2020 11:00,30-12-2020 11:15,189,6,57.8,35.6,None
62,30-12-2020 11:15,30-12-2020 11:30,189,13.2,66,45.8,19.9
63,30-12-2020 11:30,30-12-2020 11:45,None,None,None,None,None
64,30-12-2020 11:45,30-12-2020 12:00,165,None,None,None,19.4
65,30-12-2020 12:00,30-12-2020 12:15,165,None,None,None,18.9
66,30-12-2020 12:15,30-12-2020 12:30,165,5,57.3,34.5,16.9
67,30-12-2020 12:30,30-12-2020 12:45,165,9.1,63.6,41.2,15.7
68,30-12-2020 12:45,30-12-2020 13:00,None,None,None,None,None
69,30-12-2020 13:00,30-12-2020 13:15,122,6.4,59.1,36.6,15.1
70,30-12-2020 13:15,30-12-2020 13:30,122,7.8,60,38.3,13.5
71,30-12-2020 13:30,30-12-2020 13:45,122,4.8,49.5,30.2,13
72,30-12-2020 13:45,30-12-2020 14:00,84,6,53.1,33.1,13.1
73,30-12-2020 14:00,30-12-2020 14:15,84,6.9,66.9,41.2,13.2
74,30-12-2020 14:15,30-12-2020 14:30,84,10.1,61.5,41,13.1
75,30-12-2020 14:30,30-12-2020 14:45,84,12.9,75.1,50.5,13.4
76,30-12-2020 14:45,30-12-2020 15:00,90,6.6,68.2,41.6,13.6
77,30-12-2020 15:00,30-12-2020 15:15,90,5.4,68.8,41,13.8
78,30-12-2020 15:15,30-12-2020 15:30,90,10.6,67.3,44.4,13.5
