"","X","X0","X1","X4"
"1",13,"Prescribed Standards"," ","0-80"
"2",14,"Exceeding Standards"," ",NA
"3",15,"Remarks","",""
"4",16,"From Date","To Date","NO2"
"5",17,"30-12-2020 00:00","30-12-2020 00:15","62.1"
"6",18,"30-12-2020 00:15","30-12-2020 00:30","57.5"
"7",19,"30-12-2020 00:30","30-12-2020 00:45","48"
"8",20,"30-12-2020 00:45","30-12-2020 01:00","47.8"
"9",21,"30-12-2020 01:00","30-12-2020 01:15","43.8"
"10",22,"30-12-2020 01:15","30-12-2020 01:30","43.4"
"11",23,"30-12-2020 01:30","30-12-2020 01:45","46"
"12",24,"30-12-2020 01:45","30-12-2020 02:00","46.7"
"13",25,"30-12-2020 02:00","30-12-2020 02:15","45.3"
"14",26,"30-12-2020 02:15","30-12-2020 02:30","47.8"
"15",27,"30-12-2020 02:30","30-12-2020 02:45","44"
"16",28,"30-12-2020 02:45","30-12-2020 03:00","None"
"17",29,"30-12-2020 03:00","30-12-2020 03:15","44.2"
"18",30,"30-12-2020 03:15","30-12-2020 03:30","42.8"
"19",31,"30-12-2020 03:30","30-12-2020 03:45","40.6"
"20",32,"30-12-2020 03:45","30-12-2020 04:00","42.1"
"21",33,"30-12-2020 04:00","30-12-2020 04:15","44.2"
"22",34,"30-12-2020 04:15","30-12-2020 04:30","41.2"
"23",35,"30-12-2020 04:30","30-12-2020 04:45","43.1"
"24",36,"30-12-2020 04:45","30-12-2020 05:00","41.4"
"25",37,"30-12-2020 05:00","30-12-2020 05:15","39.7"
"26",38,"30-12-2020 05:15","30-12-2020 05:30","40.3"
"27",39,"30-12-2020 05:30","30-12-2020 05:45","46.8"
"28",40,"30-12-2020 05:45","30-12-2020 06:00","43.5"
"29",41,"30-12-2020 06:00","30-12-2020 06:15","40.3"
"30",42,"30-12-2020 06:15","30-12-2020 06:30","41.9"
"31",43,"30-12-2020 06:30","30-12-2020 06:45","44.5"
"32",44,"30-12-2020 06:45","30-12-2020 07:00","51.7"
"33",45,"30-12-2020 07:00","30-12-2020 07:15","51"
"34",46,"30-12-2020 07:15","30-12-2020 07:30","51.7"
"35",47,"30-12-2020 07:30","30-12-2020 07:45","58.2"
"36",48,"30-12-2020 07:45","30-12-2020 08:00","58.8"
"37",49,"30-12-2020 08:00","30-12-2020 08:15","64.4"
"38",50,"30-12-2020 08:15","30-12-2020 08:30","56"
"39",51,"30-12-2020 08:30","30-12-2020 08:45","59.7"
"40",52,"30-12-2020 08:45","30-12-2020 09:00","52.9"
