"","X","X0","X1","X3"
"1",13,"Prescribed Standards"," ","0-80"
"2",14,"Exceeding Standards"," ",NA
"3",15,"Remarks","",""
"4",16,"From Date","To Date","NO"
"5",17,"30-12-2020 00:00","30-12-2020 00:15","4.9"
"6",18,"30-12-2020 00:15","30-12-2020 00:30","4.5"
"7",19,"30-12-2020 00:30","30-12-2020 00:45","1.6"
"8",20,"30-12-2020 00:45","30-12-2020 01:00","4.3"
"9",21,"30-12-2020 01:00","30-12-2020 01:15","6.4"
"10",22,"30-12-2020 01:15","30-12-2020 01:30","0.7"
"11",23,"30-12-2020 01:30","30-12-2020 01:45","3.3"
"12",24,"30-12-2020 01:45","30-12-2020 02:00","2.3"
"13",25,"30-12-2020 02:00","30-12-2020 02:15","0.4"
"14",26,"30-12-2020 02:15","30-12-2020 02:30","3.5"
"15",27,"30-12-2020 02:30","30-12-2020 02:45","4.3"
"16",28,"30-12-2020 02:45","30-12-2020 03:00","None"
"17",29,"30-12-2020 03:00","30-12-2020 03:15","3"
"18",30,"30-12-2020 03:15","30-12-2020 03:30","4.5"
"19",31,"30-12-2020 03:30","30-12-2020 03:45","3.1"
"20",32,"30-12-2020 03:45","30-12-2020 04:00","2.9"
"21",33,"30-12-2020 04:00","30-12-2020 04:15","3.6"
"22",34,"30-12-2020 04:15","30-12-2020 04:30","5.1"
"23",35,"30-12-2020 04:30","30-12-2020 04:45","4.3"
"24",36,"30-12-2020 04:45","30-12-2020 05:00","2.7"
"25",37,"30-12-2020 05:00","30-12-2020 05:15","4.4"
"26",38,"30-12-2020 05:15","30-12-2020 05:30","2.6"
"27",39,"30-12-2020 05:30","30-12-2020 05:45","3.4"
"28",40,"30-12-2020 05:45","30-12-2020 06:00","4.2"
"29",41,"30-12-2020 06:00","30-12-2020 06:15","5.6"
"30",42,"30-12-2020 06:15","30-12-2020 06:30","2.3"
"31",43,"30-12-2020 06:30","30-12-2020 06:45","2.4"
"32",44,"30-12-2020 06:45","30-12-2020 07:00","6.7"
"33",45,"30-12-2020 07:00","30-12-2020 07:15","2.4"
"34",46,"30-12-2020 07:15","30-12-2020 07:30","4.6"
"35",47,"30-12-2020 07:30","30-12-2020 07:45","9.7"
"36",48,"30-12-2020 07:45","30-12-2020 08:00","8.9"
"37",49,"30-12-2020 08:00","30-12-2020 08:15","11.6"
"38",50,"30-12-2020 08:15","30-12-2020 08:30","13.8"
"39",51,"30-12-2020 08:30","30-12-2020 08:45","12.8"
