"","X","X0","X1","X5"
"1",13,"Prescribed Standards"," ","0-200"
"2",14,"Exceeding Standards"," ",NA
"3",15,"Remarks","",""
"4",16,"From Date","To Date","NOx"
"5",17,"30-12-2020 00:00","30-12-2020 00:15","37"
"6",18,"30-12-2020 00:15","30-12-2020 00:30","34.3"
"7",19,"30-12-2020 00:30","30-12-2020 00:45","26.8"
"8",20,"30-12-2020 00:45","30-12-2020 01:00","28.9"
"9",21,"30-12-2020 01:00","30-12-2020 01:15","28.5"
"10",22,"30-12-2020 01:15","30-12-2020 01:30","23.7"
"11",23,"30-12-2020 01:30","30-12-2020 01:45","27.1"
"12",24,"30-12-2020 01:45","30-12-2020 02:00","26.7"
"13",25,"30-12-2020 02:00","30-12-2020 02:15","24.4"
"14",26,"30-12-2020 02:15","30-12-2020 02:30","28.3"
"15",27,"30-12-2020 02:30","30-12-2020 02:45","26.9"
"16",28,"30-12-2020 02:45","30-12-2020 03:00","None"
"17",29,"30-12-2020 03:00","30-12-2020 03:15","25.9"
"18",30,"30-12-2020 03:15","30-12-2020 03:30","26.4"
"19",31,"30-12-2020 03:30","30-12-2020 03:45","24.1"
"20",32,"30-12-2020 03:45","30-12-2020 04:00","24.8"
"21",33,"30-12-2020 04:00","30-12-2020 04:15","26.4"
"22",34,"30-12-2020 04:15","30-12-2020 04:30","26.1"
"23",35,"30-12-2020 04:30","30-12-2020 04:45","26.4"
"24",36,"30-12-2020 04:45","30-12-2020 05:00","24.2"
"25",37,"30-12-2020 05:00","30-12-2020 05:15","24.6"
"26",38,"30-12-2020 05:15","30-12-2020 05:30","23.5"
"27",39,"30-12-2020 05:30","30-12-2020 05:45","27.6"
"28",40,"30-12-2020 05:45","30-12-2020 06:00","26.5"
"29",41,"30-12-2020 06:00","30-12-2020 06:15","25.9"
"30",42,"30-12-2020 06:15","30-12-2020 06:30","24.2"
"31",43,"30-12-2020 06:30","30-12-2020 06:45","25.7"
"32",44,"30-12-2020 06:45","30-12-2020 07:00","32.9"
"33",45,"30-12-2020 07:00","30-12-2020 07:15","29.1"
"34",46,"30-12-2020 07:15","30-12-2020 07:30","31.3"
"35",47,"30-12-2020 07:30","30-12-2020 07:45","38.8"
"36",48,"30-12-2020 07:45","30-12-2020 08:00","38.5"
"37",49,"30-12-2020 08:00","30-12-2020 08:15","43.7"
"38",50,"30-12-2020 08:15","30-12-2020 08:30","41"
"39",51,"30-12-2020 08:30","30-12-2020 08:45","42.2"
"40",52,"30-12-2020 08:45","30-12-2020 09:00","35.8"
"41",53,"30-12-2020 09:00","30-12-2020 09:15","37"
"42",54,"30-12-2020 09:15","30-12-2020 09:30","35.4"
"43",55,"30-12-2020 09:30","30-12-2020 09:45","None"
"44",56,"30-12-2020 09:45","30-12-2020 10:00","None"
"45",57,"30-12-2020 10:00","30-12-2020 10:15","None"
"46",58,"30-12-2020 10:15","30-12-2020 10:30","36.2"
"47",59,"30-12-2020 10:30","30-12-2020 10:45","43.6"
"48",60,"30-12-2020 10:45","30-12-2020 11:00","None"
"49",61,"30-12-2020 11:00","30-12-2020 11:15","35.6"
"50",62,"30-12-2020 11:15","30-12-2020 11:30","45.8"
"51",63,"30-12-2020 11:30","30-12-2020 11:45","None"
"52",64,"30-12-2020 11:45","30-12-2020 12:00","None"
"53",65,"30-12-2020 12:00","30-12-2020 12:15","None"
"54",66,"30-12-2020 12:15","30-12-2020 12:30","34.5"
"55",67,"30-12-2020 12:30","30-12-2020 12:45","41.2"
"56",68,"30-12-2020 12:45","30-12-2020 13:00","None"
"57",69,"30-12-2020 13:00","30-12-2020 13:15","36.6"
"58",70,"30-12-2020 13:15","30-12-2020 13:30","38.3"
"59",71,"30-12-2020 13:30","30-12-2020 13:45","30.2"
"60",72,"30-12-2020 13:45","30-12-2020 14:00","33.1"
"61",73,"30-12-2020 14:00","30-12-2020 14:15","41.2"
"62",74,"30-12-2020 14:15","30-12-2020 14:30","41"
"63",75,"30-12-2020 14:30","30-12-2020 14:45","50.5"
"64",76,"30-12-2020 14:45","30-12-2020 15:00","41.6"
"65",77,"30-12-2020 15:00","30-12-2020 15:15","41"
"66",78,"30-12-2020 15:15","30-12-2020 15:30","44.4"
"67",79,"30-12-2020 15:30","30-12-2020 15:45","45.5"
"68",80,"30-12-2020 15:45","30-12-2020 16:00","47.1"
"69",81,"30-12-2020 16:00","30-12-2020 16:15","54.6"
"70",82,"30-12-2020 16:15","30-12-2020 16:30","57.3"
"71",83,"30-12-2020 16:30","30-12-2020 16:45","67.8"
"72",84,"30-12-2020 16:45","30-12-2020 17:00","75.6"
"73",85,"30-12-2020 17:00","30-12-2020 17:15","98"
"74",86,"30-12-2020 17:15","30-12-2020 17:30","97.3"
"75",87,"30-12-2020 17:30","30-12-2020 17:45","95.7"
"76",88,"30-12-2020 17:45","30-12-2020 18:00","117.2"
"77",89,"30-12-2020 18:00","30-12-2020 18:15","142.4"
"78",90,"30-12-2020 18:15","30-12-2020 18:30","136.6"
"79",91,"30-12-2020 18:30","30-12-2020 18:45","112.4"
"80",92,"30-12-2020 18:45","30-12-2020 19:00","114.6"
"81",93,"30-12-2020 19:00","30-12-2020 19:15","89.6"
"82",94,"30-12-2020 19:15","30-12-2020 19:30","89.8"
"83",95,"30-12-2020 19:30","30-12-2020 19:45","84.6"
"84",96,"30-12-2020 19:45","30-12-2020 20:00","82.6"
"85",97,"30-12-2020 20:00","30-12-2020 20:15","81.2"
"86",98,"30-12-2020 20:15","30-12-2020 20:30","79.4"
"87",99,"30-12-2020 20:30","30-12-2020 20:45","79.8"
"88",100,"30-12-2020 20:45","30-12-2020 21:00","75.7"
"89",101,"30-12-2020 21:00","30-12-2020 21:15","71.9"
"90",102,"30-12-2020 21:15","30-12-2020 21:30","66.6"
"91",103,"30-12-2020 21:30","30-12-2020 21:45","66.4"
"92",104,"30-12-2020 21:45","30-12-2020 22:00","59"
"93",105,"30-12-2020 22:00","30-12-2020 22:15","55.8"
"94",106,"30-12-2020 22:15","30-12-2020 22:30","60.9"
"95",107,"30-12-2020 22:30","30-12-2020 22:45","50.1"
"96",108,"30-12-2020 22:45","30-12-2020 23:00","47.8"
"97",109,"30-12-2020 23:00","30-12-2020 23:15","40.6"
"98",110,"30-12-2020 23:15","30-12-2020 23:30","42.1"
"99",111,"30-12-2020 23:30","30-12-2020 23:45","None"
"100",112,"30-12-2020 23:45","31-12-2020 00:00","34.5"
"101",113,"31-12-2020 00:00","31-12-2020 00:15","34.3"
"102",114,"31-12-2020 00:15","31-12-2020 00:30","29.1"
"103",115,"31-12-2020 00:30","31-12-2020 00:45","31.3"
"104",116,"31-12-2020 00:45","31-12-2020 01:00","35.4"
"105",117,"31-12-2020 01:00","31-12-2020 01:15","33.3"
"106",118,"31-12-2020 01:15","31-12-2020 01:30","24.9"
"107",119,"31-12-2020 01:30","31-12-2020 01:45","28.5"
"108",120,"31-12-2020 01:45","31-12-2020 02:00","31.1"
"109",121,"31-12-2020 02:00","31-12-2020 02:15","25.3"
"110",122,"31-12-2020 02:15","31-12-2020 02:30","28.3"
"111",123,"31-12-2020 02:30","31-12-2020 02:45","27.7"
"112",124,"31-12-2020 02:45","31-12-2020 03:00","24.8"
"113",125,"31-12-2020 03:00","31-12-2020 03:15","26.9"
"114",126,"31-12-2020 03:15","31-12-2020 03:30","26.4"
"115",127,"31-12-2020 03:30","31-12-2020 03:45","27.9"
"116",128,"31-12-2020 03:45","31-12-2020 04:00","28.3"
"117",129,"31-12-2020 04:00","31-12-2020 04:15","30.3"
"118",130,"31-12-2020 04:15","31-12-2020 04:30","30"
"119",131,"31-12-2020 04:30","31-12-2020 04:45","27.2"
"120",132,"31-12-2020 04:45","31-12-2020 05:00","21.1"
"121",133,"31-12-2020 05:00","31-12-2020 05:15","21"
"122",134,"31-12-2020 05:15","31-12-2020 05:30","23"
"123",135,"31-12-2020 05:30","31-12-2020 05:45","22.8"
"124",136,"31-12-2020 05:45","31-12-2020 06:00","27.4"
"125",137,"31-12-2020 06:00","31-12-2020 06:15","21.4"
"126",138,"31-12-2020 06:15","31-12-2020 06:30","23.7"
"127",139,"31-12-2020 06:30","31-12-2020 06:45","23.8"
"128",140,"31-12-2020 06:45","31-12-2020 07:00","26.6"
"129",141,"31-12-2020 07:00","31-12-2020 07:15","23.7"
"130",142,"31-12-2020 07:15","31-12-2020 07:30","27.3"
"131",143,"31-12-2020 07:30","31-12-2020 07:45","29.6"
"132",144,"31-12-2020 07:45","31-12-2020 08:00","34.7"
"133",145,"31-12-2020 08:00","31-12-2020 08:15","38.6"
"134",146,"31-12-2020 08:15","31-12-2020 08:30","38.8"
"135",147,"31-12-2020 08:30","31-12-2020 08:45","35.8"
"136",148,"31-12-2020 08:45","31-12-2020 09:00","32.1"
"137",149,"31-12-2020 09:00","31-12-2020 09:15","28.6"
"138",150,"31-12-2020 09:15","31-12-2020 09:30","33.2"
"139",151,"31-12-2020 09:30","31-12-2020 09:45","None"
"140",152,"31-12-2020 09:45","31-12-2020 10:00","None"
"141",153,"31-12-2020 10:00","31-12-2020 10:15","None"
"142",154,"31-12-2020 10:15","31-12-2020 10:30","46.2"
"143",155,"31-12-2020 10:30","31-12-2020 10:45","41.2"
"144",156,"31-12-2020 10:45","31-12-2020 11:00","44.2"
"145",157,"31-12-2020 11:00","31-12-2020 11:15","41.2"
"146",158,"31-12-2020 11:15","31-12-2020 11:30","44"
"147",159,"31-12-2020 11:30","31-12-2020 11:45","None"
"148",160,"31-12-2020 11:45","31-12-2020 12:00","None"
"149",161,"31-12-2020 12:00","31-12-2020 12:15","None"
"150",162,"31-12-2020 12:15","31-12-2020 12:30","339.2"
"151",163,"31-12-2020 12:30","31-12-2020 12:45","371.1"
"152",164,"31-12-2020 12:45","31-12-2020 13:00","371.1"
"153",165,"31-12-2020 13:00","31-12-2020 13:15","41.7"
"154",166,"31-12-2020 13:15","31-12-2020 13:30","39.9"
"155",167,"31-12-2020 13:30","31-12-2020 13:45","41.1"
"156",168,"31-12-2020 13:45","31-12-2020 14:00","35.2"
"157",169,"31-12-2020 14:00","31-12-2020 14:15","35.2"
"158",170,"31-12-2020 14:15","31-12-2020 14:30","35.4"
"159",171,"31-12-2020 14:30","31-12-2020 14:45","39.2"
"160",172,"31-12-2020 14:45","31-12-2020 15:00","38.5"
"161",173,"31-12-2020 15:00","31-12-2020 15:15","38.1"
"162",174,"31-12-2020 15:15","31-12-2020 15:30","38"
"163",175,"31-12-2020 15:30","31-12-2020 15:45","36.9"
"164",176,"31-12-2020 15:45","31-12-2020 16:00","41.2"
"165",177,"31-12-2020 16:00","31-12-2020 16:15","None"
"166",178,"31-12-2020 16:15","31-12-2020 16:30","50"
"167",179,"31-12-2020 16:30","31-12-2020 16:45","58"
"168",180,"31-12-2020 16:45","31-12-2020 17:00","71.4"
"169",181,"31-12-2020 17:00","31-12-2020 17:15","86.8"
"170",182,"31-12-2020 17:15","31-12-2020 17:30","108.1"
"171",183,"31-12-2020 17:30","31-12-2020 17:45","101.8"
"172",184,"31-12-2020 17:45","31-12-2020 18:00","119.8"
"173",185,"31-12-2020 18:00","31-12-2020 18:15","139.2"
"174",186,"31-12-2020 18:15","31-12-2020 18:30","121.2"
"175",187,"31-12-2020 18:30","31-12-2020 18:45","129.5"
"176",188,"31-12-2020 18:45","31-12-2020 19:00","175.9"
"177",189,"31-12-2020 19:00","31-12-2020 19:15","None"
"178",190,"31-12-2020 19:15","31-12-2020 19:30","257.4"
"179",191,"31-12-2020 19:30","31-12-2020 19:45","240.8"
"180",192,"31-12-2020 19:45","31-12-2020 20:00","None"
"181",193,"31-12-2020 20:00","31-12-2020 20:15","268.2"
"182",194,"31-12-2020 20:15","31-12-2020 20:30","223.4"
"183",195,"31-12-2020 20:30","31-12-2020 20:45","215.9"
"184",196,"31-12-2020 20:45","31-12-2020 21:00","181.5"
"185",197,"31-12-2020 21:00","31-12-2020 21:15","149.1"
"186",198,"31-12-2020 21:15","31-12-2020 21:30","153.6"
"187",199,"31-12-2020 21:30","31-12-2020 21:45","126"
"188",200,"31-12-2020 21:45","31-12-2020 22:00","124.6"
"189",201,"31-12-2020 22:00","31-12-2020 22:15","123.8"
