"","X","X0","X1","X2"
"1",13,"Prescribed Standards"," ","0-60"
"2",14,"Exceeding Standards"," ",NA
"3",15,"Remarks","",""
"4",16,"From Date","To Date","PM2.5"
"5",17,"30-12-2020 00:00","30-12-2020 00:15","136"
"6",18,"30-12-2020 00:15","30-12-2020 00:30","136"
"7",19,"30-12-2020 00:30","30-12-2020 00:45","136"
"8",20,"30-12-2020 00:45","30-12-2020 01:00","113"
"9",21,"30-12-2020 01:00","30-12-2020 01:15","113"
"10",22,"30-12-2020 01:15","30-12-2020 01:30","113"
"11",23,"30-12-2020 01:30","30-12-2020 01:45","113"
"12",24,"30-12-2020 01:45","30-12-2020 02:00","118"
"13",25,"30-12-2020 02:00","30-12-2020 02:15","118"
"14",26,"30-12-2020 02:15","30-12-2020 02:30","118"
"15",27,"30-12-2020 02:30","30-12-2020 02:45","118"
"16",28,"30-12-2020 02:45","30-12-2020 03:00","None"
"17",29,"30-12-2020 03:00","30-12-2020 03:15","128"
"18",30,"30-12-2020 03:15","30-12-2020 03:30","128"
"19",31,"30-12-2020 03:30","30-12-2020 03:45","128"
"20",32,"30-12-2020 03:45","30-12-2020 04:00","138"
"21",33,"30-12-2020 04:00","30-12-2020 04:15","138"
"22",34,"30-12-2020 04:15","30-12-2020 04:30","138"
"23",35,"30-12-2020 04:30","30-12-2020 04:45","138"
"24",36,"30-12-2020 04:45","30-12-2020 05:00","133"
"25",37,"30-12-2020 05:00","30-12-2020 05:15","133"
"26",38,"30-12-2020 05:15","30-12-2020 05:30","133"
"27",39,"30-12-2020 05:30","30-12-2020 05:45","133"
"28",40,"30-12-2020 05:45","30-12-2020 06:00","141"
"29",41,"30-12-2020 06:00","30-12-2020 06:15","141"
"30",42,"30-12-2020 06:15","30-12-2020 06:30","141"
"31",43,"30-12-2020 06:30","30-12-2020 06:45","141"
"32",44,"30-12-2020 06:45","30-12-2020 07:00","146"
"33",45,"30-12-2020 07:00","30-12-2020 07:15","146"
"34",46,"30-12-2020 07:15","30-12-2020 07:30","146"
"35",47,"30-12-2020 07:30","30-12-2020 07:45","146"
"36",48,"30-12-2020 07:45","30-12-2020 08:00","175"
"37",49,"30-12-2020 08:00","30-12-2020 08:15","175"
"38",50,"30-12-2020 08:15","30-12-2020 08:30","175"
"39",51,"30-12-2020 08:30","30-12-2020 08:45","175"
"40",52,"30-12-2020 08:45","30-12-2020 09:00","220"
"41",53,"30-12-2020 09:00","30-12-2020 09:15","220"
"42",54,"30-12-2020 09:15","30-12-2020 09:30","220"
"43",55,"30-12-2020 09:30","30-12-2020 09:45","None"
"44",56,"30-12-2020 09:45","30-12-2020 10:00","None"
"45",57,"30-12-2020 10:00","30-12-2020 10:15","None"
"46",58,"30-12-2020 10:15","30-12-2020 10:30","189"
"47",59,"30-12-2020 10:30","30-12-2020 10:45","189"
