"","X","X0","X1","X6"
"1",13,"Prescribed Standards"," ","0-80"
"2",14,"Exceeding Standards"," ",NA
"3",15,"Remarks","",""
"4",16,"From Date","To Date","SO2"
"5",17,"30-12-2020 00:00","30-12-2020 00:15","13.5"
"6",18,"30-12-2020 00:15","30-12-2020 00:30","14.9"
"7",19,"30-12-2020 00:30","30-12-2020 00:45","15.3"
"8",20,"30-12-2020 00:45","30-12-2020 01:00","15.7"
"9",21,"30-12-2020 01:00","30-12-2020 01:15","17.6"
"10",22,"30-12-2020 01:15","30-12-2020 01:30","17.5"
"11",23,"30-12-2020 01:30","30-12-2020 01:45","17.5"
"12",24,"30-12-2020 01:45","30-12-2020 02:00","17.3"
"13",25,"30-12-2020 02:00","30-12-2020 02:15","17.9"
"14",26,"30-12-2020 02:15","30-12-2020 02:30","18.4"
"15",27,"30-12-2020 02:30","30-12-2020 02:45","19"
"16",28,"30-12-2020 02:45","30-12-2020 03:00","None"
"17",29,"30-12-2020 03:00","30-12-2020 03:15","15.7"
"18",30,"30-12-2020 03:15","30-12-2020 03:30","15.1"
"19",31,"30-12-2020 03:30","30-12-2020 03:45","14.7"
"20",32,"30-12-2020 03:45","30-12-2020 04:00","14.8"
"21",33,"30-12-2020 04:00","30-12-2020 04:15","14.7"
"22",34,"30-12-2020 04:15","30-12-2020 04:30","13.7"
"23",35,"30-12-2020 04:30","30-12-2020 04:45","13.6"
"24",36,"30-12-2020 04:45","30-12-2020 05:00","13.1"
"25",37,"30-12-2020 05:00","30-12-2020 05:15","13.2"
"26",38,"30-12-2020 05:15","30-12-2020 05:30","13.2"
"27",39,"30-12-2020 05:30","30-12-2020 05:45","13.2"
"28",40,"30-12-2020 05:45","30-12-2020 06:00","12.8"
"29",41,"30-12-2020 06:00","30-12-2020 06:15","12.5"
"30",42,"30-12-2020 06:15","30-12-2020 06:30","12.3"
"31",43,"30-12-2020 06:30","30-12-2020 06:45","12"
"32",44,"30-12-2020 06:45","30-12-2020 07:00","12.1"
"33",45,"30-12-2020 07:00","30-12-2020 07:15","12.7"
"34",46,"30-12-2020 07:15","30-12-2020 07:30","13.3"
"35",47,"30-12-2020 07:30","30-12-2020 07:45","14.5"
"36",48,"30-12-2020 07:45","30-12-2020 08:00","14.3"
"37",49,"30-12-2020 08:00","30-12-2020 08:15","14.3"
"38",50,"30-12-2020 08:15","30-12-2020 08:30","15.6"
"39",51,"30-12-2020 08:30","30-12-2020 08:45","16.8"
