"","X","X0","X1","X2","X3","X4","X5","X6"
"1",2392,"23-01-2021 17:45","23-01-2021 18:00","184","25.9","115.8","82.7","18.5"
"2",2393,"23-01-2021 18:00","23-01-2021 18:15","184","28.9","127.1","91.1","18.4"
"3",2394,"23-01-2021 18:15","23-01-2021 18:30","184","26.7","113.4","82","17.8"
"4",2395,"23-01-2021 18:30","23-01-2021 18:45","184","25.9","107.6","78.3","17.2"
"5",2396,"23-01-2021 18:45","23-01-2021 19:00","227","29.1","113.3","83.9","15.8"
"6",2397,"23-01-2021 19:00","23-01-2021 19:15","227","44","117.8","98.4","15.8"
"7",2398,"23-01-2021 19:15","23-01-2021 19:30","227","38.6","113.3","91.6","16.4"
"8",2399,"23-01-2021 19:30","23-01-2021 19:45","227","34.7","113.3","88.5","16.3"
"9",2400,"23-01-2021 19:45","23-01-2021 20:00","241","32.3","109.6","84.5","17.4"
"10",2401,"23-01-2021 20:00","23-01-2021 20:15","241","28.9","106.2","80","16.5"
"11",2402,"23-01-2021 20:15","23-01-2021 20:30","241","32.3","107","83.2","15"
"12",2403,"23-01-2021 20:30","23-01-2021 20:45","241","27.8","100.2","75.9","14"
"13",2404,"23-01-2021 20:45","23-01-2021 21:00","227","26.8","93.7","71.6","13.6"
"14",2405,"23-01-2021 21:00","23-01-2021 21:15","227","27.2","92.8","71.5","14.5"
"15",2406,"23-01-2021 21:15","23-01-2021 21:30","None","None","None","None","None"
"16",2407,"23-01-2021 21:30","23-01-2021 21:45","None","None","None","None","None"
"17",2408,"23-01-2021 21:45","23-01-2021 22:00","None","None","None","None","None"
"18",2409,"23-01-2021 22:00","23-01-2021 22:15","None","None","None","None","None"
"19",2410,"23-01-2021 22:15","23-01-2021 22:30","None","None","None","None","None"
"20",2411,"23-01-2021 22:30","23-01-2021 22:45","None","None","None","None","None"
"21",2412,"23-01-2021 22:45","23-01-2021 23:00","None","None","None","None","None"
"22",2413,"23-01-2021 23:00","23-01-2021 23:15","None","None","None","None","None"
"23",2414,"23-01-2021 23:15","23-01-2021 23:30","None","None","None","None","None"
"24",2415,"23-01-2021 23:30","23-01-2021 23:45","None","None","None","None","None"
"25",2416,"23-01-2021 23:45","24-01-2021 00:00","None","None","None","None","None"
"26",2417,"24-01-2021 00:00","24-01-2021 00:15","None","None","None","None","None"
"27",2418,"24-01-2021 00:15","24-01-2021 00:30","192","5.4","55.3","33.8","10.3"
"28",2419,"24-01-2021 00:30","24-01-2021 00:45","None","None","None","None","None"
"29",2420,"24-01-2021 00:45","24-01-2021 01:00","197","5.1","50","30.7","10.3"
