"","X","X0","X1","X4"
"1",2392,"23-01-2021 17:45","23-01-2021 18:00","115.8"
"2",2393,"23-01-2021 18:00","23-01-2021 18:15","127.1"
"3",2394,"23-01-2021 18:15","23-01-2021 18:30","113.4"
"4",2395,"23-01-2021 18:30","23-01-2021 18:45","107.6"
"5",2396,"23-01-2021 18:45","23-01-2021 19:00","113.3"
"6",2397,"23-01-2021 19:00","23-01-2021 19:15","117.8"
"7",2398,"23-01-2021 19:15","23-01-2021 19:30","113.3"
"8",2399,"23-01-2021 19:30","23-01-2021 19:45","113.3"
"9",2400,"23-01-2021 19:45","23-01-2021 20:00","109.6"
"10",2401,"23-01-2021 20:00","23-01-2021 20:15","106.2"
"11",2402,"23-01-2021 20:15","23-01-2021 20:30","107"
"12",2403,"23-01-2021 20:30","23-01-2021 20:45","100.2"
"13",2404,"23-01-2021 20:45","23-01-2021 21:00","93.7"
"14",2405,"23-01-2021 21:00","23-01-2021 21:15","92.8"
"15",2406,"23-01-2021 21:15","23-01-2021 21:30","None"
"16",2407,"23-01-2021 21:30","23-01-2021 21:45","None"
"17",2408,"23-01-2021 21:45","23-01-2021 22:00","None"
"18",2409,"23-01-2021 22:00","23-01-2021 22:15","None"
"19",2410,"23-01-2021 22:15","23-01-2021 22:30","None"
"20",2411,"23-01-2021 22:30","23-01-2021 22:45","None"
"21",2412,"23-01-2021 22:45","23-01-2021 23:00","None"
"22",2413,"23-01-2021 23:00","23-01-2021 23:15","None"
"23",2414,"23-01-2021 23:15","23-01-2021 23:30","None"
"24",2415,"23-01-2021 23:30","23-01-2021 23:45","None"
"25",2416,"23-01-2021 23:45","24-01-2021 00:00","None"
"26",2417,"24-01-2021 00:00","24-01-2021 00:15","None"
"27",2418,"24-01-2021 00:15","24-01-2021 00:30","55.3"
"28",2419,"24-01-2021 00:30","24-01-2021 00:45","None"
"29",2420,"24-01-2021 00:45","24-01-2021 01:00","50"
"30",2421,"24-01-2021 01:00","24-01-2021 01:15","None"
"31",2422,"24-01-2021 01:15","24-01-2021 01:30","None"
"32",2423,"24-01-2021 01:30","24-01-2021 01:45","48.1"
"33",2424,"24-01-2021 01:45","24-01-2021 02:00","None"
"34",2425,"24-01-2021 02:00","24-01-2021 02:15","None"
"35",2426,"24-01-2021 02:15","24-01-2021 02:30","49.9"
"36",2427,"24-01-2021 02:30","24-01-2021 02:45","None"
"37",2428,"24-01-2021 02:45","24-01-2021 03:00","None"
"38",2429,"24-01-2021 03:00","24-01-2021 03:15","48.2"
"39",2430,"24-01-2021 03:15","24-01-2021 03:30","None"
"40",2431,"24-01-2021 03:30","24-01-2021 03:45","None"
"41",2432,"24-01-2021 03:45","24-01-2021 04:00","45.6"
"42",2433,"24-01-2021 04:00","24-01-2021 04:15","None"
"43",2434,"24-01-2021 04:15","24-01-2021 04:30","None"
"44",2435,"24-01-2021 04:30","24-01-2021 04:45","None"
"45",2436,"24-01-2021 04:45","24-01-2021 05:00","48"
"46",2437,"24-01-2021 05:00","24-01-2021 05:15","None"
"47",2438,"24-01-2021 05:15","24-01-2021 05:30","None"
"48",2439,"24-01-2021 05:30","24-01-2021 05:45","None"
"49",2440,"24-01-2021 05:45","24-01-2021 06:00","None"
"50",2441,"24-01-2021 06:00","24-01-2021 06:15","None"
"51",2442,"24-01-2021 06:15","24-01-2021 06:30","None"
"52",2443,"24-01-2021 06:30","24-01-2021 06:45","None"
"53",2444,"24-01-2021 06:45","24-01-2021 07:00","None"
"54",2445,"24-01-2021 07:00","24-01-2021 07:15","None"
"55",2446,"24-01-2021 07:15","24-01-2021 07:30","None"
"56",2447,"24-01-2021 07:30","24-01-2021 07:45","None"
"57",2448,"24-01-2021 07:45","24-01-2021 08:00","None"
"58",2449,"24-01-2021 08:00","24-01-2021 08:15","None"
"59",2450,"24-01-2021 08:15","24-01-2021 08:30","None"
"60",2451,"24-01-2021 08:30","24-01-2021 08:45","None"
"61",2452,"24-01-2021 08:45","24-01-2021 09:00","None"
"62",2453,"24-01-2021 09:00","24-01-2021 09:15","None"
"63",2454,"24-01-2021 09:15","24-01-2021 09:30","None"
"64",2455,"24-01-2021 09:30","24-01-2021 09:45","None"
"65",2456,"24-01-2021 09:45","24-01-2021 10:00","None"
"66",2457,"24-01-2021 10:00","24-01-2021 10:15","None"
"67",2458,"24-01-2021 10:15","24-01-2021 10:30","48.8"
"68",2459,"24-01-2021 10:30","24-01-2021 10:45","54.6"
"69",2460,"24-01-2021 10:45","24-01-2021 11:00","50.8"
"70",2461,"24-01-2021 11:00","24-01-2021 11:15","53.2"
"71",2462,"24-01-2021 11:15","24-01-2021 11:30","56.2"
"72",2463,"24-01-2021 11:30","24-01-2021 11:45","None"
"73",2464,"24-01-2021 11:45","24-01-2021 12:00","None"
"74",2465,"24-01-2021 12:00","24-01-2021 12:15","None"
"75",2466,"24-01-2021 12:15","24-01-2021 12:30","43.4"
"76",2467,"24-01-2021 12:30","24-01-2021 12:45","44.4"
"77",2468,"24-01-2021 12:45","24-01-2021 13:00","44.9"
"78",2469,"24-01-2021 13:00","24-01-2021 13:15","47.9"
"79",2470,"24-01-2021 13:15","24-01-2021 13:30","49.3"
"80",2471,"24-01-2021 13:30","24-01-2021 13:45","45"
"81",2472,"24-01-2021 13:45","24-01-2021 14:00","None"
"82",2473,"24-01-2021 14:00","24-01-2021 14:15","48.9"
"83",2474,"24-01-2021 14:15","24-01-2021 14:30","56.6"
"84",2475,"24-01-2021 14:30","24-01-2021 14:45","52.5"
"85",2476,"24-01-2021 14:45","24-01-2021 15:00","46.1"
"86",2477,"24-01-2021 15:00","24-01-2021 15:15","52.2"
"87",2478,"24-01-2021 15:15","24-01-2021 15:30","56.2"
"88",2479,"24-01-2021 15:30","24-01-2021 15:45","43.9"
"89",2480,"24-01-2021 15:45","24-01-2021 16:00","53.5"
"90",2481,"24-01-2021 16:00","24-01-2021 16:15","52.4"
"91",2482,"24-01-2021 16:15","24-01-2021 16:30","55.2"
"92",2483,"24-01-2021 16:30","24-01-2021 16:45","59.1"
"93",2484,"24-01-2021 16:45","24-01-2021 17:00","61"
"94",2485,"24-01-2021 17:00","24-01-2021 17:15","71.2"
"95",2486,"24-01-2021 17:15","24-01-2021 17:30","74.1"
"96",2487,"24-01-2021 17:30","24-01-2021 17:45","71.2"
"97",2488,"24-01-2021 17:45","24-01-2021 18:00","72.1"
"98",2489,"24-01-2021 18:00","24-01-2021 18:15","69.8"
"99",2490,"24-01-2021 18:15","24-01-2021 18:30","77.6"
"100",2491,"24-01-2021 18:30","24-01-2021 18:45","69.1"
"101",2492,"24-01-2021 18:45","24-01-2021 19:00","68.9"
"102",2493,"24-01-2021 19:00","24-01-2021 19:15","68.1"
"103",2494,"24-01-2021 19:15","24-01-2021 19:30","67"
"104",2495,"24-01-2021 19:30","24-01-2021 19:45","68.2"
"105",2496,"24-01-2021 19:45","24-01-2021 20:00","64.1"
"106",2497,"24-01-2021 20:00","24-01-2021 20:15","65"
"107",2498,"24-01-2021 20:15","24-01-2021 20:30","58"
"108",2499,"24-01-2021 20:30","24-01-2021 20:45","61"
