"","X","X0","X1","X2","X3","X4","X5","X6"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","473","None","None","None","25.3"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","390","None","None","None","27.6"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","390","None","None","None","26.9"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","390","12.2","89.7","57.6","26.6"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","390","5.9","65.3","39.5","24.4"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","254","7.8","74.3","45.9","24"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None","None","None","None","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","254","7.1","68.9","42.4","41.2"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","254","5.4","59.1","35.8","40.4"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","171","6.2","61.4","37.6","45.1"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","171","6.7","51.4","32.8","40.6"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","171","6.9","59.9","37.5","30"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None","None","None","None","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","126","9","57.8","38","17.9"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","126","9.9","59.4","39.6","16.8"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","126","6.2","67.2","40.8","15.7"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","126","10.5","66.7","44","16.9"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","116","6.5","61.3","37.8","19.2"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","116","13.4","85.9","56.6","21.9"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","116","8.3","74.7","46.4","31.4"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","116","5.8","63.7","38.6","26.6"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","127","10.5","79.6","50.8","25.3"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","127","8.7","83.5","51.5","23.8"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","127","18.6","116.5","77.1","22.2"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","127","43.7","145.2","112.8","22.4"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","155","80.5","160.5","150.8","24.9"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","155","78.2","151.2","144.1","25.6"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","155","81","154.5","148","27"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","155","60.5","156.2","132.2","28.2"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None","None","None","None","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","235","294.3","163.9","326.5","37.9"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","235","232.5","171.2","280.1","38.9"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","235","229.5","168.8","276.4","38.5"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","435","278.9","187.3","326.4","51.6"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None","None","None","None","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","435","231.6","186","287.3","41.2"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","435","347.7","186.4","381.9","39.6"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","670","434.8","186.2","452.5","42.7"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","670","472","186.5","483","40.5"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","670","None","179","None","43.4"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None","None","None","None","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","859","436.6","166.6","443.5","37.4"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","859","465.6","154.8","460.8","37.2"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","859","454.8","152.6","450.9","37.4"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","859","440.1","165.4","445.8","40.2"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","856","401.9","156.4","409.9","45.5"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","856","393.1","162","405.8","47.8"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","856","380.1","167.9","398.4","49.1"
"49",1647,"15-01-2021 23:30","15-01-2021 23:45","None","None","None","None","None"
"50",1648,"15-01-2021 23:45","16-01-2021 00:00","None","None","None","None","None"
"51",1649,"16-01-2021 00:00","16-01-2021 00:15","843","373.9","139.9","378.4","39.9"
"52",1650,"16-01-2021 00:15","16-01-2021 00:30","843","366.9","132.6","368.8","35.3"
"53",1651,"16-01-2021 00:30","16-01-2021 00:45","None","None","None","None","None"
"54",1652,"16-01-2021 00:45","16-01-2021 01:00","716","363","133.4","366.1","57.4"
"55",1653,"16-01-2021 01:00","16-01-2021 01:15","716","323.4","137.2","335.9","95.6"
"56",1654,"16-01-2021 01:15","16-01-2021 01:30","None","None","None","None","None"
"57",1655,"16-01-2021 01:30","16-01-2021 01:45","716","272.9","134.7","293.6","101.9"
"58",1656,"16-01-2021 01:45","16-01-2021 02:00","722","265.6","135.6","288.1","93.6"
"59",1657,"16-01-2021 02:00","16-01-2021 02:15","722","312.8","128.8","322.8","122.9"
"60",1658,"16-01-2021 02:15","16-01-2021 02:30","722","364.7","133.4","367.5","165.2"
"61",1659,"16-01-2021 02:30","16-01-2021 02:45","722","339.9","118.4","339.4","115.8"
