"","X","X0","X1","X3"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","None"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","None"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","None"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","12.2"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","5.9"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","7.8"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","7.1"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","5.4"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","6.2"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","6.7"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","6.9"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","9"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","9.9"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","6.2"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","10.5"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","6.5"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","13.4"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","8.3"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","5.8"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","10.5"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","8.7"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","18.6"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","43.7"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","80.5"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","78.2"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","81"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","60.5"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","294.3"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","232.5"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","229.5"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","278.9"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","231.6"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","347.7"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","434.8"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","472"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","None"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","436.6"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","465.6"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","454.8"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","440.1"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","401.9"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","393.1"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","380.1"
"49",1647,"15-01-2021 23:30","15-01-2021 23:45","None"
"50",1648,"15-01-2021 23:45","16-01-2021 00:00","None"
"51",1649,"16-01-2021 00:00","16-01-2021 00:15","373.9"
"52",1650,"16-01-2021 00:15","16-01-2021 00:30","366.9"
"53",1651,"16-01-2021 00:30","16-01-2021 00:45","None"
"54",1652,"16-01-2021 00:45","16-01-2021 01:00","363"
"55",1653,"16-01-2021 01:00","16-01-2021 01:15","323.4"
"56",1654,"16-01-2021 01:15","16-01-2021 01:30","None"
"57",1655,"16-01-2021 01:30","16-01-2021 01:45","272.9"
"58",1656,"16-01-2021 01:45","16-01-2021 02:00","265.6"
"59",1657,"16-01-2021 02:00","16-01-2021 02:15","312.8"
"60",1658,"16-01-2021 02:15","16-01-2021 02:30","364.7"
"61",1659,"16-01-2021 02:30","16-01-2021 02:45","339.9"
"62",1660,"16-01-2021 02:45","16-01-2021 03:00","254.3"
"63",1661,"16-01-2021 03:00","16-01-2021 03:15","None"
"64",1662,"16-01-2021 03:15","16-01-2021 03:30","167.3"
"65",1663,"16-01-2021 03:30","16-01-2021 03:45","207.4"
"66",1664,"16-01-2021 03:45","16-01-2021 04:00","149.1"
"67",1665,"16-01-2021 04:00","16-01-2021 04:15","58.7"
