"","X","X0","X1","X5"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","None"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","None"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","None"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","57.6"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","39.5"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","45.9"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","42.4"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","35.8"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","37.6"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","32.8"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","37.5"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","38"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","39.6"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","40.8"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","44"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","37.8"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","56.6"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","46.4"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","38.6"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","50.8"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","51.5"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","77.1"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","112.8"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","150.8"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","144.1"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","148"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","132.2"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","326.5"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","280.1"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","276.4"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","326.4"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","287.3"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","381.9"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","452.5"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","483"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","None"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","443.5"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","460.8"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","450.9"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","445.8"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","409.9"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","405.8"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","398.4"
"49",1647,"15-01-2021 23:30","15-01-2021 23:45","None"
"50",1648,"15-01-2021 23:45","16-01-2021 00:00","None"
"51",1649,"16-01-2021 00:00","16-01-2021 00:15","378.4"
"52",1650,"16-01-2021 00:15","16-01-2021 00:30","368.8"
"53",1651,"16-01-2021 00:30","16-01-2021 00:45","None"
"54",1652,"16-01-2021 00:45","16-01-2021 01:00","366.1"
"55",1653,"16-01-2021 01:00","16-01-2021 01:15","335.9"
"56",1654,"16-01-2021 01:15","16-01-2021 01:30","None"
"57",1655,"16-01-2021 01:30","16-01-2021 01:45","293.6"
"58",1656,"16-01-2021 01:45","16-01-2021 02:00","288.1"
"59",1657,"16-01-2021 02:00","16-01-2021 02:15","322.8"
"60",1658,"16-01-2021 02:15","16-01-2021 02:30","367.5"
"61",1659,"16-01-2021 02:30","16-01-2021 02:45","339.4"
"62",1660,"16-01-2021 02:45","16-01-2021 03:00","274.2"
"63",1661,"16-01-2021 03:00","16-01-2021 03:15","None"
"64",1662,"16-01-2021 03:15","16-01-2021 03:30","203.7"
"65",1663,"16-01-2021 03:30","16-01-2021 03:45","230.9"
"66",1664,"16-01-2021 03:45","16-01-2021 04:00","182.8"
"67",1665,"16-01-2021 04:00","16-01-2021 04:15","113.9"
