"","X","X0","X1","X2"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","473"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","390"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","390"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","390"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","390"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","254"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","254"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","254"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","171"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","171"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","171"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","126"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","126"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","126"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","126"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","116"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","116"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","116"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","116"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","127"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","127"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","127"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","127"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","155"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","155"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","155"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","155"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","235"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","235"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","235"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","435"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","435"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","435"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","670"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","670"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","670"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","859"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","859"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","859"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","859"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","856"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","856"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","856"
"49",1647,"15-01-2021 23:30","15-01-2021 23:45","None"
"50",1648,"15-01-2021 23:45","16-01-2021 00:00","None"
"51",1649,"16-01-2021 00:00","16-01-2021 00:15","843"
"52",1650,"16-01-2021 00:15","16-01-2021 00:30","843"
"53",1651,"16-01-2021 00:30","16-01-2021 00:45","None"
"54",1652,"16-01-2021 00:45","16-01-2021 01:00","716"
"55",1653,"16-01-2021 01:00","16-01-2021 01:15","716"
"56",1654,"16-01-2021 01:15","16-01-2021 01:30","None"
"57",1655,"16-01-2021 01:30","16-01-2021 01:45","716"
"58",1656,"16-01-2021 01:45","16-01-2021 02:00","722"
"59",1657,"16-01-2021 02:00","16-01-2021 02:15","722"
"60",1658,"16-01-2021 02:15","16-01-2021 02:30","722"
"61",1659,"16-01-2021 02:30","16-01-2021 02:45","722"
"62",1660,"16-01-2021 02:45","16-01-2021 03:00","868"
"63",1661,"16-01-2021 03:00","16-01-2021 03:15","None"
"64",1662,"16-01-2021 03:15","16-01-2021 03:30","868"
"65",1663,"16-01-2021 03:30","16-01-2021 03:45","868"
"66",1664,"16-01-2021 03:45","16-01-2021 04:00","530"
"67",1665,"16-01-2021 04:00","16-01-2021 04:15","530"
"68",1666,"16-01-2021 04:15","16-01-2021 04:30","530"
"69",1667,"16-01-2021 04:30","16-01-2021 04:45","530"
"70",1668,"16-01-2021 04:45","16-01-2021 05:00","268"
"71",1669,"16-01-2021 05:00","16-01-2021 05:15","268"
"72",1670,"16-01-2021 05:15","16-01-2021 05:30","268"
"73",1671,"16-01-2021 05:30","16-01-2021 05:45","268"
"74",1672,"16-01-2021 05:45","16-01-2021 06:00","None"
"75",1673,"16-01-2021 06:00","16-01-2021 06:15","121"
"76",1674,"16-01-2021 06:15","16-01-2021 06:30","121"
"77",1675,"16-01-2021 06:30","16-01-2021 06:45","121"
"78",1676,"16-01-2021 06:45","16-01-2021 07:00","117"
"79",1677,"16-01-2021 07:00","16-01-2021 07:15","117"
"80",1678,"16-01-2021 07:15","16-01-2021 07:30","117"
"81",1679,"16-01-2021 07:30","16-01-2021 07:45","117"
"82",1680,"16-01-2021 07:45","16-01-2021 08:00","130"
"83",1681,"16-01-2021 08:00","16-01-2021 08:15","130"
"84",1682,"16-01-2021 08:15","16-01-2021 08:30","130"
"85",1683,"16-01-2021 08:30","16-01-2021 08:45","130"
"86",1684,"16-01-2021 08:45","16-01-2021 09:00","148"
"87",1685,"16-01-2021 09:00","16-01-2021 09:15","148"
"88",1686,"16-01-2021 09:15","16-01-2021 09:30","148"
"89",1687,"16-01-2021 09:30","16-01-2021 09:45","None"
"90",1688,"16-01-2021 09:45","16-01-2021 10:00","None"
"91",1689,"16-01-2021 10:00","16-01-2021 10:15","None"
"92",1690,"16-01-2021 10:15","16-01-2021 10:30","207"
"93",1691,"16-01-2021 10:30","16-01-2021 10:45","None"
"94",1692,"16-01-2021 10:45","16-01-2021 11:00","280"
"95",1693,"16-01-2021 11:00","16-01-2021 11:15","280"
"96",1694,"16-01-2021 11:15","16-01-2021 11:30","280"
"97",1695,"16-01-2021 11:30","16-01-2021 11:45","280"
"98",1696,"16-01-2021 11:45","16-01-2021 12:00","340"
"99",1697,"16-01-2021 12:00","16-01-2021 12:15","340"
"100",1698,"16-01-2021 12:15","16-01-2021 12:30","340"
"101",1699,"16-01-2021 12:30","16-01-2021 12:45","340"
"102",1700,"16-01-2021 12:45","16-01-2021 13:00","255"
"103",1701,"16-01-2021 13:00","16-01-2021 13:15","255"
"104",1702,"16-01-2021 13:15","16-01-2021 13:30","255"
"105",1703,"16-01-2021 13:30","16-01-2021 13:45","255"
"106",1704,"16-01-2021 13:45","16-01-2021 14:00","289"
"107",1705,"16-01-2021 14:00","16-01-2021 14:15","289"
"108",1706,"16-01-2021 14:15","16-01-2021 14:30","289"
"109",1707,"16-01-2021 14:30","16-01-2021 14:45","289"
"110",1708,"16-01-2021 14:45","16-01-2021 15:00","157"
"111",1709,"16-01-2021 15:00","16-01-2021 15:15","157"
"112",1710,"16-01-2021 15:15","16-01-2021 15:30","None"
"113",1711,"16-01-2021 15:30","16-01-2021 15:45","157"
"114",1712,"16-01-2021 15:45","16-01-2021 16:00","142"
"115",1713,"16-01-2021 16:00","16-01-2021 16:15","142"
"116",1714,"16-01-2021 16:15","16-01-2021 16:30","142"
"117",1715,"16-01-2021 16:30","16-01-2021 16:45","142"
"118",1716,"16-01-2021 16:45","16-01-2021 17:00","139"
