"","X","X0","X1","X6"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","25.3"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","27.6"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","26.9"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","26.6"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","24.4"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","24"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","41.2"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","40.4"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","45.1"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","40.6"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","30"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","17.9"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","16.8"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","15.7"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","16.9"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","19.2"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","21.9"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","31.4"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","26.6"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","25.3"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","23.8"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","22.2"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","22.4"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","24.9"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","25.6"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","27"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","28.2"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","37.9"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","38.9"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","38.5"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","51.6"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","41.2"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","39.6"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","42.7"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","40.5"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","43.4"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","37.4"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","37.2"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","37.4"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","40.2"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","45.5"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","47.8"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","49.1"
