"","Index","From.Date","To.Date","NO"
"2020-12-30","  17","2020-12-30 00:00:00","2020-12-30 00:15:00","4.23004205327143"
"2020-12-30 00:15:00","  18","2020-12-30 00:15:00","2020-12-30 00:30:00","5.35474502833911"
"2020-12-30 00:30:00","  19","2020-12-30 00:30:00","2020-12-30 00:45:00","5.4607436164742"
"2020-12-30 00:45:00","  20","2020-12-30 00:45:00","2020-12-30 01:00:00","3.55811771624924"
"2020-12-30 01:00:00","  21","2020-12-30 01:00:00","2020-12-30 01:15:00","4.73047423539978"
"2020-12-30 01:15:00","  22","2020-12-30 01:15:00","2020-12-30 01:30:00","6.5227349589084"
"2020-12-30 01:30:00","  23","2020-12-30 01:30:00","2020-12-30 01:45:00","3.30900668498267"
"2020-12-30 01:45:00","  24","2020-12-30 01:45:00","2020-12-30 02:00:00","3.97929528987883"
"2020-12-30 02:00:00","  25","2020-12-30 02:00:00","2020-12-30 02:15:00","3.5335346332601"
"2020-12-30 02:15:00","  26","2020-12-30 02:15:00","2020-12-30 02:30:00","2.11591678863403"
"2020-12-30 02:30:00","  27","2020-12-30 02:30:00","2020-12-30 02:45:00","3.71655367595537"
"2020-12-30 02:45:00","  28","2020-12-30 02:45:00","2020-12-30 03:00:00","4.78236188095672"
"2020-12-30 03:00:00","  29","2020-12-30 03:00:00","2020-12-30 03:15:00","4.70176493460544"
"2020-12-30 03:15:00","  30","2020-12-30 03:15:00","2020-12-30 03:30:00","4.24059272671105"
"2020-12-30 03:30:00","  31","2020-12-30 03:30:00","2020-12-30 03:45:00","5.08966038738086"
"2020-12-30 03:45:00","  32","2020-12-30 03:45:00","2020-12-30 04:00:00","4.43597880433351"
"2020-12-30 04:00:00","  33","2020-12-30 04:00:00","2020-12-30 04:15:00","4.08523779265583"
"2020-12-30 04:15:00","  34","2020-12-30 04:15:00","2020-12-30 04:30:00","4.43642408369112"
"2020-12-30 04:30:00","  35","2020-12-30 04:30:00","2020-12-30 04:45:00","5.5551726909351"
"2020-12-30 04:45:00","  36","2020-12-30 04:45:00","2020-12-30 05:00:00","5.39192406069526"
