"","Index","From.Date","To.Date","NOx"
"2020-12-30","  17","2020-12-30 00:00:00","2020-12-30 00:15:00","32.6571627839435"
"2020-12-30 00:15:00","  18","2020-12-30 00:15:00","2020-12-30 00:30:00","35.7196426461182"
"2020-12-30 00:30:00","  19","2020-12-30 00:30:00","2020-12-30 00:45:00","33.4964237964762"
"2020-12-30 00:45:00","  20","2020-12-30 00:45:00","2020-12-30 01:00:00","26.1602117607039"
"2020-12-30 01:00:00","  21","2020-12-30 01:00:00","2020-12-30 01:15:00","27.7975111281277"
"2020-12-30 01:15:00","  22","2020-12-30 01:15:00","2020-12-30 01:30:00","27.6892128138294"
"2020-12-30 01:30:00","  23","2020-12-30 01:30:00","2020-12-30 01:45:00","23.1299965100387"
"2020-12-30 01:45:00","  24","2020-12-30 01:45:00","2020-12-30 02:00:00","26.2144808441598"
"2020-12-30 02:00:00","  25","2020-12-30 02:00:00","2020-12-30 02:15:00","26.1728571512309"
"2020-12-30 02:15:00","  26","2020-12-30 02:15:00","2020-12-30 02:30:00","24.0101183187126"
"2020-12-30 02:30:00","  27","2020-12-30 02:30:00","2020-12-30 02:45:00","27.7194224345839"
"2020-12-30 02:45:00","  28","2020-12-30 02:45:00","2020-12-30 03:00:00","26.7002325105022"
"2020-12-30 03:00:00","  29","2020-12-30 03:00:00","2020-12-30 03:15:00","26.1734092902256"
"2020-12-30 03:15:00","  30","2020-12-30 03:15:00","2020-12-30 03:30:00","25.6846433340095"
"2020-12-30 03:30:00","  31","2020-12-30 03:30:00","2020-12-30 03:45:00","26.1708684486151"
"2020-12-30 03:45:00","  32","2020-12-30 03:45:00","2020-12-30 04:00:00","23.999015750462"
"2020-12-30 04:00:00","  33","2020-12-30 04:00:00","2020-12-30 04:15:00","24.5464993390282"
"2020-12-30 04:15:00","  34","2020-12-30 04:15:00","2020-12-30 04:30:00","26.1815145683535"
"2020-12-30 04:30:00","  35","2020-12-30 04:30:00","2020-12-30 04:45:00","26.0354354941969"
"2020-12-30 04:45:00","  36","2020-12-30 04:45:00","2020-12-30 05:00:00","26.3274468437331"
"2020-12-30 05:00:00","  37","2020-12-30 05:00:00","2020-12-30 05:15:00","24.2156895165722"
"2020-12-30 05:15:00","  38","2020-12-30 05:15:00","2020-12-30 05:30:00","24.457271515745"
"2020-12-30 05:30:00","  39","2020-12-30 05:30:00","2020-12-30 05:45:00","23.4242455574153"
"2020-12-30 05:45:00","  40","2020-12-30 05:45:00","2020-12-30 06:00:00","27.3583029125837"
"2020-12-30 06:00:00","  41","2020-12-30 06:00:00","2020-12-30 06:15:00","26.5950755858591"
"2020-12-30 06:15:00","  42","2020-12-30 06:15:00","2020-12-30 06:30:00","25.9434614171357"
"2020-12-30 06:30:00","  43","2020-12-30 06:30:00","2020-12-30 06:45:00","24.2359392442915"
"2020-12-30 06:45:00","  44","2020-12-30 06:45:00","2020-12-30 07:00:00","25.5737997801505"
"2020-12-30 07:00:00","  45","2020-12-30 07:00:00","2020-12-30 07:15:00","32.6987445816284"
"2020-12-30 07:15:00","  46","2020-12-30 07:15:00","2020-12-30 07:30:00","29.5194031557519"
"2020-12-30 07:30:00","  47","2020-12-30 07:30:00","2020-12-30 07:45:00","31.3790312986551"
"2020-12-30 07:45:00","  48","2020-12-30 07:45:00","2020-12-30 08:00:00","38.8008395405417"
"2020-12-30 08:00:00","  49","2020-12-30 08:00:00","2020-12-30 08:15:00","39.0203912087222"
"2020-12-30 08:15:00","  50","2020-12-30 08:15:00","2020-12-30 08:30:00","44.0212718051026"
"2020-12-30 08:30:00","  51","2020-12-30 08:30:00","2020-12-30 08:45:00","41.6871016322466"
"2020-12-30 08:45:00","  52","2020-12-30 08:45:00","2020-12-30 09:00:00","42.5900507327695"
"2020-12-30 09:00:00","  53","2020-12-30 09:00:00","2020-12-30 09:15:00","36.3586239248671"
"2020-12-30 09:15:00","  54","2020-12-30 09:15:00","2020-12-30 09:30:00","37.0123924093767"
"2020-12-30 09:30:00","  55","2020-12-30 09:30:00","2020-12-30 09:45:00","35.4970604265788"
"2020-12-30 09:45:00","  56","2020-12-30 09:45:00","2020-12-30 10:00:00","35.5725338580129"
"2020-12-30 10:00:00","  57","2020-12-30 10:00:00","2020-12-30 10:15:00","35.7767513680302"
"2020-12-30 10:15:00","  58","2020-12-30 10:15:00","2020-12-30 10:30:00","35.9892045221547"
"2020-12-30 10:30:00","  59","2020-12-30 10:30:00","2020-12-30 10:45:00","36.2003234955968"
"2020-12-30 10:45:00","  60","2020-12-30 10:45:00","2020-12-30 11:00:00","43.4230434703517"
"2020-12-30 11:00:00","  61","2020-12-30 11:00:00","2020-12-30 11:15:00","40.0519178120723"
"2020-12-30 11:15:00","  62","2020-12-30 11:15:00","2020-12-30 11:30:00","35.8540421058834"
"2020-12-30 11:30:00","  63","2020-12-30 11:30:00","2020-12-30 11:45:00","45.4613349048961"
"2020-12-30 11:45:00","  64","2020-12-30 11:45:00","2020-12-30 12:00:00","43.4239279298206"
"2020-12-30 12:00:00","  65","2020-12-30 12:00:00","2020-12-30 12:15:00","40.463046058067"
"2020-12-30 12:15:00","  66","2020-12-30 12:15:00","2020-12-30 12:30:00","37.4592252722157"
"2020-12-30 12:30:00","  67","2020-12-30 12:30:00","2020-12-30 12:45:00","34.4797577154668"
"2020-12-30 12:45:00","  68","2020-12-30 12:45:00","2020-12-30 13:00:00","40.8036972107294"
"2020-12-30 13:00:00","  69","2020-12-30 13:00:00","2020-12-30 13:15:00","39.0600247101569"
