"","Index","From.Date","To.Date","PM25"
"2020-12-30","  17","2020-12-30 00:00:00","2020-12-30 00:15:00","131.984743413868"
"2020-12-30 00:15:00","  18","2020-12-30 00:15:00","2020-12-30 00:30:00","134.333463557327"
"2020-12-30 00:30:00","  19","2020-12-30 00:30:00","2020-12-30 00:45:00","135.066728699979"
"2020-12-30 00:45:00","  20","2020-12-30 00:45:00","2020-12-30 01:00:00","135.405859842028"
"2020-12-30 01:00:00","  21","2020-12-30 01:00:00","2020-12-30 01:15:00","112.933356821369"
"2020-12-30 01:15:00","  22","2020-12-30 01:15:00","2020-12-30 01:30:00","110.190420452569"
"2020-12-30 01:30:00","  23","2020-12-30 01:30:00","2020-12-30 01:45:00","110.603211119592"
"2020-12-30 01:45:00","  24","2020-12-30 01:45:00","2020-12-30 02:00:00","111.293522889167"
"2020-12-30 02:00:00","  25","2020-12-30 02:00:00","2020-12-30 02:15:00","116.762564192501"
"2020-12-30 02:15:00","  26","2020-12-30 02:15:00","2020-12-30 02:30:00","117.764648431253"
"2020-12-30 02:30:00","  27","2020-12-30 02:30:00","2020-12-30 02:45:00","117.95055861757"
"2020-12-30 02:45:00","  28","2020-12-30 02:45:00","2020-12-30 03:00:00","117.986591265813"
"2020-12-30 03:00:00","  29","2020-12-30 03:00:00","2020-12-30 03:15:00","122.923447271779"
"2020-12-30 03:15:00","  30","2020-12-30 03:15:00","2020-12-30 03:30:00","128.479214113899"
"2020-12-30 03:30:00","  31","2020-12-30 03:30:00","2020-12-30 03:45:00","129.033851696842"
"2020-12-30 03:45:00","  32","2020-12-30 03:45:00","2020-12-30 04:00:00","128.826097265438"
"2020-12-30 04:00:00","  33","2020-12-30 04:00:00","2020-12-30 04:15:00","138.437827118581"
"2020-12-30 04:15:00","  34","2020-12-30 04:15:00","2020-12-30 04:30:00","139.501779419835"
"2020-12-30 04:30:00","  35","2020-12-30 04:30:00","2020-12-30 04:45:00","139.23172371363"
"2020-12-30 04:45:00","  36","2020-12-30 04:45:00","2020-12-30 05:00:00","138.869853062591"
"2020-12-30 05:00:00","  37","2020-12-30 05:00:00","2020-12-30 05:15:00","133.664419708282"
"2020-12-30 05:15:00","  38","2020-12-30 05:15:00","2020-12-30 05:30:00","132.847633000021"
"2020-12-30 05:30:00","  39","2020-12-30 05:30:00","2020-12-30 05:45:00","132.787951978486"
"2020-12-30 05:45:00","  40","2020-12-30 05:45:00","2020-12-30 06:00:00","132.837206825176"
"2020-12-30 06:00:00","  41","2020-12-30 06:00:00","2020-12-30 06:15:00","140.772862240878"
"2020-12-30 06:15:00","  42","2020-12-30 06:15:00","2020-12-30 06:30:00","141.808361584841"
"2020-12-30 06:30:00","  43","2020-12-30 06:30:00","2020-12-30 06:45:00","141.719854167675"
"2020-12-30 06:45:00","  44","2020-12-30 06:45:00","2020-12-30 07:00:00","141.516882702235"
"2020-12-30 07:00:00","  45","2020-12-30 07:00:00","2020-12-30 07:15:00","146.282865123694"
"2020-12-30 07:15:00","  46","2020-12-30 07:15:00","2020-12-30 07:30:00","146.792875805294"
"2020-12-30 07:30:00","  47","2020-12-30 07:30:00","2020-12-30 07:45:00","146.643945218615"
"2020-12-30 07:45:00","  48","2020-12-30 07:45:00","2020-12-30 08:00:00","146.45380770485"
"2020-12-30 08:00:00","  49","2020-12-30 08:00:00","2020-12-30 08:15:00","174.896684636044"
"2020-12-30 08:15:00","  50","2020-12-30 08:15:00","2020-12-30 08:30:00","178.418429125862"
"2020-12-30 08:30:00","  51","2020-12-30 08:30:00","2020-12-30 08:45:00","177.938838087786"
"2020-12-30 08:45:00","  52","2020-12-30 08:45:00","2020-12-30 09:00:00","177.095670112646"
"2020-12-30 09:00:00","  53","2020-12-30 09:00:00","2020-12-30 09:15:00","220.792503730897"
"2020-12-30 09:15:00","  54","2020-12-30 09:15:00","2020-12-30 09:30:00","225.949122898441"
"2020-12-30 09:30:00","  55","2020-12-30 09:30:00","2020-12-30 09:45:00","224.995039857468"
"2020-12-30 09:45:00","  56","2020-12-30 09:45:00","2020-12-30 10:00:00","215.905148990685"
"2020-12-30 10:00:00","  57","2020-12-30 10:00:00","2020-12-30 10:15:00","206.173343523456"
"2020-12-30 10:15:00","  58","2020-12-30 10:15:00","2020-12-30 10:30:00","196.891539115558"
"2020-12-30 10:30:00","  59","2020-12-30 10:30:00","2020-12-30 10:45:00","188.073790196826"
"2020-12-30 10:45:00","  60","2020-12-30 10:45:00","2020-12-30 11:00:00","187.237706068729"
"2020-12-30 11:00:00","  61","2020-12-30 11:00:00","2020-12-30 11:15:00","187.605275345334"
"2020-12-30 11:15:00","  62","2020-12-30 11:15:00","2020-12-30 11:30:00","188.022623436166"
"2020-12-30 11:30:00","  63","2020-12-30 11:30:00","2020-12-30 11:45:00","188.334714356882"
"2020-12-30 11:45:00","  64","2020-12-30 11:45:00","2020-12-30 12:00:00","176.721347855775"
"2020-12-30 12:00:00","  65","2020-12-30 12:00:00","2020-12-30 12:15:00","163.53977689811"
"2020-12-30 12:15:00","  66","2020-12-30 12:15:00","2020-12-30 12:30:00","162.310107775516"
"2020-12-30 12:30:00","  67","2020-12-30 12:30:00","2020-12-30 12:45:00","162.876862094588"
"2020-12-30 12:45:00","  68","2020-12-30 12:45:00","2020-12-30 13:00:00","163.51306232202"
"2020-12-30 13:00:00","  69","2020-12-30 13:00:00","2020-12-30 13:15:00","142.793958906417"
"2020-12-30 13:15:00","  70","2020-12-30 13:15:00","2020-12-30 13:30:00","119.242993470058"
"2020-12-30 13:30:00","  71","2020-12-30 13:30:00","2020-12-30 13:45:00","117.085512710334"
"2020-12-30 13:45:00","  72","2020-12-30 13:45:00","2020-12-30 14:00:00","118.131936181801"
"2020-12-30 14:00:00","  73","2020-12-30 14:00:00","2020-12-30 14:15:00","81.8334403958046"
"2020-12-30 14:15:00","  74","2020-12-30 14:15:00","2020-12-30 14:30:00","77.9523753587763"
"2020-12-30 14:30:00","  75","2020-12-30 14:30:00","2020-12-30 14:45:00","79.0894446481439"
"2020-12-30 14:45:00","  76","2020-12-30 14:45:00","2020-12-30 15:00:00","80.5395504560012"
"2020-12-30 15:00:00","  77","2020-12-30 15:00:00","2020-12-30 15:15:00","87.5557623837223"
"2020-12-30 15:15:00","  78","2020-12-30 15:15:00","2020-12-30 15:30:00","89.0699587454213"
"2020-12-30 15:30:00","  79","2020-12-30 15:30:00","2020-12-30 15:45:00","89.5041644086938"
"2020-12-30 15:45:00","  80","2020-12-30 15:45:00","2020-12-30 16:00:00","89.6898234759741"
"2020-12-30 16:00:00","  81","2020-12-30 16:00:00","2020-12-30 16:15:00","90.7811746277782"
"2020-12-30 16:15:00","  82","2020-12-30 16:15:00","2020-12-30 16:30:00","90.9736410111631"
"2020-12-30 16:30:00","  83","2020-12-30 16:30:00","2020-12-30 16:45:00","91.0043193722797"
"2020-12-30 16:45:00","  84","2020-12-30 16:45:00","2020-12-30 17:00:00","91.0069355163169"
"2020-12-30 17:00:00","  85","2020-12-30 17:00:00","2020-12-30 17:15:00","93.9627168427461"
"2020-12-30 17:15:00","  86","2020-12-30 17:15:00","2020-12-30 17:30:00","94.3357803938798"
"2020-12-30 17:30:00","  87","2020-12-30 17:30:00","2020-12-30 17:45:00","94.2920053198936"
"2020-12-30 17:45:00","  88","2020-12-30 17:45:00","2020-12-30 18:00:00","94.2087038142442"
"2020-12-30 18:00:00","  89","2020-12-30 18:00:00","2020-12-30 18:15:00","119.772802487609"
"2020-12-30 18:15:00","  90","2020-12-30 18:15:00","2020-12-30 18:30:00","122.973951322104"
"2020-12-30 18:30:00","  91","2020-12-30 18:30:00","2020-12-30 18:45:00","122.573587688834"
"2020-12-30 18:45:00","  92","2020-12-30 18:45:00","2020-12-30 19:00:00","121.837622490099"
"2020-12-30 19:00:00","  93","2020-12-30 19:00:00","2020-12-30 19:15:00","204.06152726237"
"2020-12-30 19:15:00","  94","2020-12-30 19:15:00","2020-12-30 19:30:00","214.146218362774"
"2020-12-30 19:30:00","  95","2020-12-30 19:30:00","2020-12-30 19:45:00","212.677517060027"
"2020-12-30 19:45:00","  96","2020-12-30 19:45:00","2020-12-30 20:00:00","210.181428928275"
"2020-12-30 20:00:00","  97","2020-12-30 20:00:00","2020-12-30 20:15:00","177.666349649498"
"2020-12-30 20:15:00","  98","2020-12-30 20:15:00","2020-12-30 20:30:00","172.426660282366"
"2020-12-30 20:30:00","  99","2020-12-30 20:30:00","2020-12-30 20:45:00","171.935970562626"
"2020-12-30 20:45:00"," 100","2020-12-30 20:45:00","2020-12-30 21:00:00","172.159634068185"
"2020-12-30 21:00:00"," 101","2020-12-30 21:00:00","2020-12-30 21:15:00","177.340219977093"
"2020-12-30 21:15:00"," 102","2020-12-30 21:15:00","2020-12-30 21:30:00","178.152716071361"
"2020-12-30 21:30:00"," 103","2020-12-30 21:30:00","2020-12-30 21:45:00","178.211776843715"
"2020-12-30 21:45:00"," 104","2020-12-30 21:45:00","2020-12-30 22:00:00","178.162518165953"
"2020-12-30 22:00:00"," 105","2020-12-30 22:00:00","2020-12-30 22:15:00","170.226935667768"
"2020-12-30 22:15:00"," 106","2020-12-30 22:15:00","2020-12-30 22:30:00","169.191499211216"
"2020-12-30 22:30:00"," 107","2020-12-30 22:30:00","2020-12-30 22:45:00","169.280051501633"
"2020-12-30 22:45:00"," 108","2020-12-30 22:45:00","2020-12-30 23:00:00","169.483053652545"
"2020-12-30 23:00:00"," 109","2020-12-30 23:00:00","2020-12-30 23:15:00","151.902078820465"
"2020-12-30 23:15:00"," 110","2020-12-30 23:15:00","2020-12-30 23:30:00","149.768407710176"
"2020-12-30 23:30:00"," 111","2020-12-30 23:30:00","2020-12-30 23:45:00","150.101805704281"
