"","Index","From.Date","To.Date","SO2"
"2020-12-30","  17","2020-12-30 00:00:00","2020-12-30 00:15:00","13.1406783920331"
"2020-12-30 00:15:00","  18","2020-12-30 00:15:00","2020-12-30 00:30:00","13.2478586525244"
"2020-12-30 00:30:00","  19","2020-12-30 00:30:00","2020-12-30 00:45:00","13.740667701757"
"2020-12-30 00:45:00","  20","2020-12-30 00:45:00","2020-12-30 01:00:00","14.2057931999531"
"2020-12-30 01:00:00","  21","2020-12-30 01:00:00","2020-12-30 01:15:00","14.6514927362628"
"2020-12-30 01:15:00","  22","2020-12-30 01:15:00","2020-12-30 01:30:00","15.5309883457142"
"2020-12-30 01:30:00","  23","2020-12-30 01:30:00","2020-12-30 01:45:00","16.1183150673407"
"2020-12-30 01:45:00","  24","2020-12-30 01:45:00","2020-12-30 02:00:00","16.5304510138463"
"2020-12-30 02:00:00","  25","2020-12-30 02:00:00","2020-12-30 02:15:00","16.7599959645757"
"2020-12-30 02:15:00","  26","2020-12-30 02:15:00","2020-12-30 02:30:00","17.1000421147899"
"2020-12-30 02:30:00","  27","2020-12-30 02:30:00","2020-12-30 02:45:00","17.487800105613"
"2020-12-30 02:45:00","  28","2020-12-30 02:45:00","2020-12-30 03:00:00","17.938866712802"
"2020-12-30 03:00:00","  29","2020-12-30 03:00:00","2020-12-30 03:15:00","17.7632165813504"
"2020-12-30 03:15:00","  30","2020-12-30 03:15:00","2020-12-30 03:30:00","17.1477899392112"
"2020-12-30 03:30:00","  31","2020-12-30 03:30:00","2020-12-30 03:45:00","16.5369648336518"
"2020-12-30 03:45:00","  32","2020-12-30 03:45:00","2020-12-30 04:00:00","15.989025703305"
"2020-12-30 04:00:00","  33","2020-12-30 04:00:00","2020-12-30 04:15:00","15.6343571228871"
"2020-12-30 04:15:00","  34","2020-12-30 04:15:00","2020-12-30 04:30:00","15.3556523703686"
"2020-12-30 04:30:00","  35","2020-12-30 04:30:00","2020-12-30 04:45:00","14.8617960355291"
"2020-12-30 04:45:00","  36","2020-12-30 04:45:00","2020-12-30 05:00:00","14.485421153595"
"2020-12-30 05:00:00","  37","2020-12-30 05:00:00","2020-12-30 05:15:00","14.0721707482752"
"2020-12-30 05:15:00","  38","2020-12-30 05:15:00","2020-12-30 05:30:00","13.8120152610448"
"2020-12-30 05:30:00","  39","2020-12-30 05:30:00","2020-12-30 05:45:00","13.6294602639362"
"2020-12-30 05:45:00","  40","2020-12-30 05:45:00","2020-12-30 06:00:00","13.5013586915877"
"2020-12-30 06:00:00","  41","2020-12-30 06:00:00","2020-12-30 06:15:00","13.2921538856548"
"2020-12-30 06:15:00","  42","2020-12-30 06:15:00","2020-12-30 06:30:00","13.0558662315555"
"2020-12-30 06:30:00","  43","2020-12-30 06:30:00","2020-12-30 06:45:00","12.8304026418396"
"2020-12-30 06:45:00","  44","2020-12-30 06:45:00","2020-12-30 07:00:00","12.5827059559413"
"2020-12-30 07:00:00","  45","2020-12-30 07:00:00","2020-12-30 07:15:00","12.4387219901809"
"2020-12-30 07:15:00","  46","2020-12-30 07:15:00","2020-12-30 07:30:00","12.5166573119989"
"2020-12-30 07:30:00","  47","2020-12-30 07:30:00","2020-12-30 07:45:00","12.7503167176466"
"2020-12-30 07:45:00","  48","2020-12-30 07:45:00","2020-12-30 08:00:00","13.2722210669036"
"2020-12-30 08:00:00","  49","2020-12-30 08:00:00","2020-12-30 08:15:00","13.5787921478916"
"2020-12-30 08:15:00","  50","2020-12-30 08:15:00","2020-12-30 08:30:00","13.7939176614802"
