,0
0,1.1616418
1,4.1060705
2,5.875778
3,6.5915074
4,55.481873
5,0.18566561
6,7.673689
7,2.728396
8,11.220433
9,4.671796
10,16.146461
11,6.554335
12,3.7969959
13,11.78532
14,8.032292
15,23.527182
16,58.70503
17,104.38914
18,83.7486
19,89.91056
20,56.231102
21,31.532335
22,407.16565
23,130.53596
24,263.67255
25,268.9648
26,-17.57418
27,306.43347
28,303.975
29,420.0435
30,400.66956
31,19.878008
32,-28.241077
33,531.77875
34,191.58226
35,455.1559
36,297.43622
37,390.12778
38,404.71625
39,378.4357
40,-53.619053
41,-25.831976
42,486.3814
43,181.38576
44,-65.04401
45,459.31195
46,132.21036
47,-88.760635
48,374.5789
49,159.52016
50,351.6133
51,320.53625
52,312.7828
53,241.4754
54,-7.0122037
55,222.43803
56,193.98013
57,126.85596
58,34.365562
59,31.86998
60,41.150208
61,41.2225
62,-7.179084
63,-1.9582529
64,-2.1843376
65,56.64266
66,-6.261694
67,6.1727757
68,4.0327387
69,2.797702
70,4.1106415
71,12.28839
72,17.694256
73,14.347378
74,19.742708
75,25.21214
76,23.573868
77,20.91887
78,25.36893
79,41.68015
80,43.96788
81,42.125317
82,41.498367
83,28.446016
84,42.57825
85,32.060276
86,19.988882
87,14.830076
88,49.22806
89,42.231155
90,42.22939
91,489.1344
92,168.34366
93,-102.94587
94,-30.557526
95,9.037196
96,5.675372
97,8.474475
98,6.126617
99,10.234124
100,1.7030914
101,6.888324
102,6.251986
103,55.50322
104,-1.3778012
105,1.1487489
106,8.461843
107,9.579342
108,8.856495
109,15.853107
110,22.19077
111,69.44769
112,211.00949
113,3.454133
114,287.43768
115,235.89172
116,190.86044
117,252.56206
118,304.11475
119,316.7402
120,199.13025
121,302.614
122,232.26666
123,106.42701
124,69.17126
125,77.15049
126,203.29013
127,152.85878
128,208.03441
129,-2.982682
130,39.098743
131,65.99937
132,126.51556
133,50.64912
134,10.188399
135,-12.146466
136,52.367218
137,-7.462531
138,-2.5816448
139,0.011634157
140,3.7483425
141,5.199985
142,3.9692166
143,5.50537
144,-2.2141705
145,5.8536615
146,4.2387652
147,12.169788
148,3.626185
149,1.0650909
150,2.2413836
151,0.50953895
152,3.1491895
153,7.4757686
154,6.7427187
155,55.740173
156,-10.459133
157,4.103736
158,-1.4382365
159,1.5185157
160,-1.8136603
161,2.4268103
162,1.1717572
163,-0.2654562
164,6.0804634
165,-1.0013717
166,5.255426
167,6.407223
168,2.252944
169,8.932497
170,1.9416156
171,1.0739299
172,7.1786284
173,5.6083183
174,3.4500265
175,4.159137
176,56.29857
177,43.66525
178,43.097576
179,-8.39946
180,4.7878847
181,5.948254
182,14.786253
183,9.702294
184,53.792454
185,43.128593
186,42.710526
187,2.1932647
188,3.0743353
189,52.657475
190,-4.790017
191,2.2989147
192,9.152782
193,6.4374022
194,5.1217327
195,7.6122165
196,6.757656
197,8.839277
198,6.487905
199,7.8077407
200,4.9241676
201,6.923856
202,11.798642
203,11.15789
204,8.419915
205,9.891813
206,10.477073
207,10.8069515
208,21.035686
209,28.450603
210,30.430584
211,33.721966
212,23.263042
213,30.995716
214,48.860035
215,32.41894
216,65.91349
217,70.64761
218,30.829746
219,22.478666
220,21.189865
221,49.820488
222,47.449875
223,13.370663
224,25.284555
225,15.806838
226,16.49626
227,4.0822396
228,17.177217
229,34.469097
230,44.232098
231,43.55678
232,41.95894
233,41.353027
234,32.019127
235,23.13659
236,11.8663025
237,4.9628778
238,3.2444255
239,54.624012
240,-5.549595
241,1.6927615
242,0.8712331
243,0.45540768
244,2.7101061
245,5.5674787
246,0.8275547
247,57.23166
248,-6.5541735
249,0.30520368
250,0.103020184
251,-0.39711368
252,2.3086293
253,5.9844785
254,5.9012985
255,10.2783785
256,2.1120467
257,31.496979
258,22.447927
259,12.22979
260,26.959333
261,17.125822
262,22.546057
263,21.381067
264,18.065191
265,12.932424
266,10.19185
267,11.746241
268,7.5005403
269,53.941574
270,17.676725
271,5.8148756
272,51.720997
273,42.30078
274,42.53909
275,4.389022
276,9.751285
277,2.113868
278,54.243942
279,2.5942316
280,51.831192
281,41.644802
282,42.22233
283,2.0387466
284,5.7026787
285,1.8089032
286,7.601451
287,7.3846374
288,54.9721
289,-4.078495
290,9.363557
291,14.369394
292,8.212401
293,10.967296
294,12.711062
295,8.161884
296,16.342596
297,14.094686
298,52.41873
299,11.22849
300,10.811953
301,21.823612
302,14.111677
303,-0.36040035
304,69.23204
305,31.390308
306,8.610743
307,21.632853
308,14.402225
309,29.325119
310,52.516327
311,51.812122
312,57.610065
313,80.89598
314,176.63931
315,186.75522
316,90.04895
317,152.63947
318,239.86418
319,187.69608
320,108.52336
321,198.6394
322,161.5206
323,105.94787
324,125.29092
325,92.263275
326,52.614582
327,43.17733
328,35.24662
329,39.550415
330,43.451897
331,65.10218
332,37.204643
333,34.809734
334,35.922707
335,41.13248
336,34.282036
337,23.889627
338,16.229492
339,17.386496
340,19.027447
341,15.424667
342,10.399211
343,13.80734
344,7.717763
345,5.9197044
346,3.4277916
347,4.9562907
348,7.0136104
349,9.072964
350,15.579459
351,15.87129
352,43.737343
353,51.43124
354,54.13585
355,49.222412
356,48.505047
357,58.645237
358,56.173885
359,45.27749
360,68.318275
361,50.181385
362,49.85885
363,43.590237
364,38.661182
365,41.0836
366,34.30894
367,21.31303
368,46.104984
369,41.533672
370,41.771294
371,12.93094
372,9.444093
373,8.627771
374,17.364185
375,14.295477
376,51.96239
377,42.88622
378,42.484364
379,-3.1198807
380,3.9299226
381,2.515823
