,0
0,35.76724
1,40.97595
2,35.6856
3,43.1123
4,91.77583
5,38.713696
6,42.098995
7,45.20687
8,49.70559
9,41.344425
10,67.049866
11,50.689026
12,40.49617
13,58.36468
14,57.83292
15,91.0502
16,131.2597
17,168.65968
18,147.99472
19,154.95268
20,131.85548
21,62.99618
22,401.19626
23,249.98323
24,306.23874
25,324.43045
26,74.00884
27,379.67456
28,347.6283
29,434.67905
30,428.35788
31,127.06297
32,124.22822
33,502.74814
34,377.9868
35,452.49197
36,397.65173
37,395.81287
38,416.1206
39,391.06332
40,78.88404
41,111.16024
42,453.09546
43,320.93393
44,68.776344
45,454.2556
46,288.29898
47,71.23095
48,383.80948
49,262.13608
50,351.9404
51,349.79416
52,317.72522
53,267.28586
54,53.67576
55,272.55524
56,230.95287
57,180.16745
58,103.450035
59,93.46262
60,94.54813
61,85.974106
62,46.431526
63,39.553364
64,33.961926
65,90.82423
66,37.65445
67,44.103073
68,43.652588
69,44.75083
70,44.622017
71,47.269394
72,53.182217
73,51.531967
74,55.850594
75,59.12964
76,56.499012
77,56.60186
78,64.564445
79,79.827896
80,81.72251
81,79.937126
82,79.224525
83,77.75232
84,92.64597
85,96.29515
86,83.62993
87,74.88709
88,78.26424
89,78.61362
90,78.86361
91,388.5225
92,254.37196
93,6.9532604
94,72.4869
95,71.35217
96,68.012955
97,58.602726
98,49.290783
99,50.22495
100,40.157314
101,49.717655
102,42.709095
103,90.375374
104,49.783638
105,37.05147
106,56.95713
107,59.43231
108,45.844517
109,67.00715
110,90.145645
111,147.50815
112,243.42702
113,67.97933
114,343.6116
115,294.1244
116,266.33762
117,302.47406
118,350.01825
119,361.14093
120,275.99875
121,337.1704
122,300.0353
123,212.37611
124,169.87836
125,168.50064
126,251.43747
127,214.94226
128,251.42412
129,58.782352
130,158.85126
131,144.17906
132,181.3326
133,128.74086
134,86.80093
135,62.478394
136,77.28632
137,54.322655
138,46.902992
139,48.64682
140,52.088177
141,39.49495
142,36.506092
143,40.137764
144,32.975876
145,38.957138
146,36.633465
147,44.635994
148,38.173687
149,36.448677
150,33.99144
151,26.357647
152,29.293327
153,32.48103
154,29.58324
155,95.94646
156,17.874311
157,21.854837
158,22.050865
159,22.492287
160,18.21411
161,24.274231
162,23.53346
163,24.193094
164,27.765806
165,18.721302
166,28.4467
167,30.28515
168,27.460236
169,31.88933
170,29.420652
171,29.898115
172,33.32327
173,33.562237
174,33.84756
175,33.995144
176,94.71114
177,84.41568
178,81.27119
179,22.273031
180,33.804386
181,39.090015
182,50.562126
183,43.86579
184,90.76614
185,82.89626
186,80.5968
187,29.903538
188,30.172768
189,91.57372
190,26.852001
191,30.560263
192,36.74798
193,33.253174
194,32.865803
195,36.488876
196,36.552734
197,40.680885
198,36.383686
199,36.90525
200,34.77641
201,40.341408
202,46.27474
