,0
0,246.12895
1,172.75227
2,178.38112
3,170.85396
4,211.64178
5,128.8663
6,134.45657
7,126.55918
8,129.64714
9,120.70051
10,121.062584
11,120.508224
12,121.00161
13,132.33405
14,131.88098
15,132.45982
16,131.89658
17,161.07936
18,159.48415
19,161.00056
20,159.56593
21,214.82191
22,240.42957
23,240.68661
24,240.20314
25,469.0769
26,214.8135
27,499.9536
28,405.1422
29,700.1526
30,628.4885
31,669.94006
32,261.8839
33,887.05457
34,666.17737
35,759.6575
36,756.8441
37,792.9975
38,794.4957
39,793.3985
40,260.3842
41,325.13007
42,840.1205
43,655.3949
44,249.39178
45,773.4973
46,543.00836
47,115.72881
48,779.60297
49,579.2951
50,631.63794
51,668.69653
52,688.63367
53,853.4445
54,337.54907
55,908.5732
56,644.23456
57,359.86884
58,525.61804
59,452.02646
60,448.8282
61,258.31625
62,296.35822
63,248.38754
64,244.72267
65,207.02205
66,125.370316
67,124.481026
68,120.12186
69,120.50625
70,122.023796
71,121.80692
72,122.0071
73,135.3988
74,134.84164
75,135.52715
76,134.86116
77,153.55258
78,152.58836
79,153.58078
80,215.39128
81,210.31793
82,213.7192
83,210.92511
84,210.81671
85,291.1262
86,281.4513
87,286.78473
88,283.36005
89,349.91818
90,339.54285
91,345.2598
92,342.9906
93,251.6169
94,262.73663
95,253.03705
96,254.72697
97,295.64963
98,290.79782
99,293.75726
100,292.436
101,157.95227
102,167.00223
103,206.616
104,154.8702
105,149.48592
106,144.13911
107,145.32254
108,146.65936
109,143.64116
110,143.79068
111,143.61554
112,143.76059
113,216.14401
114,201.16739
115,205.61386
116,201.38606
117,475.86295
118,428.4104
119,445.71335
120,431.1633
121,696.56085
122,623.4885
123,660.1864
124,650.79584
125,449.34454
126,501.6363
127,457.7983
128,453.73648
129,207.17937
130,544.3184
131,439.563
132,455.7475
133,379.21252
134,401.0443
135,386.80347
136,194.89584
137,290.84882
138,257.0149
139,262.24457
140,271.5636
141,194.14813
142,200.79677
143,194.03725
144,196.30656
145,205.59596
146,204.97867
147,205.46948
148,205.16185
149,212.53787
150,211.88904
151,212.39238
152,212.08987
153,151.4028
154,154.95256
155,211.94337
156,150.52092
157,121.765366
158,116.06994
159,116.491875
160,118.83271
161,126.22291
162,125.95796
163,126.32482
164,125.96677
165,114.76582
166,115.12456
167,114.524864
168,115.071465
169,150.38002
170,148.69644
171,150.41444
172,148.61778
173,155.9827
174,155.58752
175,155.9967
176,215.16222
177,210.31036
178,213.58087
179,226.97987
180,225.54153
181,212.87715
182,213.4719
183,212.32556
184,212.84212
185,248.58961
186,244.89265
187,247.3238
188,245.87358
189,208.49608
190,199.37721
191,197.51509
192,197.93352
193,200.10074
194,200.14445
195,200.21494
196,200.17145
197,162.8704
198,165.23163
199,162.65486
200,164.14377
201,156.2522
202,156.71922
203,156.21979
204,156.59155
205,158.70824
206,158.59067
207,158.71136
208,158.61589
209,164.86067
210,164.4875
211,164.85146
212,164.56483
213,269.12985
214,258.27155
215,264.04083
216,258.99734
217,351.00183
218,337.1946
219,344.38416
220,340.9118
221,308.1333
222,312.85596
223,309.5463
224,310.22818
225,276.91733
226,281.44882
227,278.11823
228,278.99677
229,240.64262
230,244.98761
231,206.61148
232,210.85924
233,209.0314
234,244.92943
235,241.96526
236,244.31894
237,224.83342
238,226.34409
239,208.87988
240,227.20161
241,164.99757
242,170.52704
243,165.48799
244,167.55618
245,136.70993
246,138.20703
247,214.89815
248,135.86534
249,169.31834
250,157.8747
251,162.6076
252,162.55629
253,166.73718
254,166.48267
255,166.7291
256,166.53989
257,176.99898
258,176.30498
259,176.92834
260,176.45578
261,213.68062
262,210.55856
263,212.80156
264,211.13048
265,228.1359
266,226.51184
267,227.6853
268,226.99553
269,209.71425
270,197.73671
271,197.59712
272,210.87491
273,210.45721
274,211.49554
275,237.97719
276,235.20508
277,225.3288
278,210.32967
279,225.77298
280,223.6575
281,194.93875
282,197.04114
283,194.66129
284,195.79068
285,195.15321
286,195.23572
287,195.16594
288,211.985
289,211.83199
290,212.81512
291,212.19757
292,212.04082
293,213.08965
294,212.99574
295,213.06956
296,213.02748
297,207.72656
