,0
0,46.42543
1,44.54643
2,35.765606
3,19.543835
4,8.255324
5,16.10089
6,18.950317
7,15.966544
8,17.67458
9,21.554325
10,24.39485
11,39.00243
12,24.523254
13,20.295958
14,21.675373
15,21.008217
16,22.225105
17,27.22427
18,26.716537
19,27.403328
20,28.718155
21,12.3585
22,50.735844
23,46.144817
24,35.576824
25,59.494324
26,2.724689
27,50.887737
28,50.43615
29,44.070816
30,37.194088
31,44.37435
32,3.0511405
33,47.055267
34,47.167835
35,36.644516
36,40.20771
37,49.897488
38,49.686314
39,48.768177
40,-1.7155796
41,11.341073
42,65.11733
43,41.98867
44,2.7673743
45,85.14011
46,127.85347
47,14.229788
48,139.40146
49,112.49303
50,130.49477
51,168.74112
52,99.9273
53,61.76284
54,-12.845958
55,63.917053
56,62.91706
57,35.715015
58,27.05976
59,15.569305
60,11.16096
61,14.956515
62,8.219823
63,1.749755
64,1.2137669
65,34.17065
66,-4.1155725
67,-8.69247
68,0.8581349
69,39.395874
70,26.499592
71,15.914538
72,16.606571
73,19.192991
74,-12.536292
75,14.018342
76,21.99498
77,16.648613
78,14.217481
79,14.60782
80,22.519659
81,20.505562
82,18.292234
83,15.191073
84,20.169632
85,20.19552
86,19.06256
87,29.1149
88,27.312773
89,21.698359
90,14.144715
91,18.015999
92,20.433813
93,4.2360067
94,18.458704
95,52.22954
96,57.418037
97,54.595028
98,16.953753
99,8.410849
100,19.756613
101,23.776663
102,21.2046
103,19.097706
104,18.317892
105,19.84862
106,20.430836
107,21.802258
108,21.912994
109,21.192234
110,23.077522
111,27.06467
112,35.9942
113,11.610471
114,50.067387
115,58.309124
116,41.464367
117,45.724014
118,51.578102
119,60.463734
120,58.567146
121,43.434544
122,28.502138
123,7.117488
124,16.101767
125,30.25194
126,33.958477
127,24.120447
128,27.287638
129,13.482684
130,6.656651
131,8.8824835
132,12.897979
133,9.980517
134,6.4281545
135,2.4191668
136,31.338608
137,-3.3473015
138,2.4670515
139,22.148376
140,19.749575
141,12.504025
142,13.216997
143,13.381465
144,12.775443
145,12.90161
146,14.749573
147,13.438778
148,12.789324
149,12.265595
150,13.265769
151,11.474715
152,10.085531
153,11.217229
154,12.581715
155,25.863544
156,10.161812
157,7.9772053
158,10.80216
159,12.213653
160,10.907416
161,12.257175
162,12.748438
163,10.671555
164,9.896046
165,10.534922
166,11.434796
167,11.194153
168,11.127228
169,10.89545
170,11.853226
171,12.769943
172,12.56914
173,12.514753
174,12.963695
175,13.171607
176,24.503462
177,21.190176
178,17.896528
179,7.142905
180,22.594294
181,22.604593
182,18.814743
183,9.139027
184,12.680987
185,15.7768135
186,15.443604
187,15.083865
188,17.290377
189,22.102835
190,14.901023
191,14.733159
192,16.420755
193,16.348774
194,15.002488
195,15.774281
196,15.239939
197,15.445917
198,14.806858
199,15.5065775
200,14.789772
201,13.531426
202,14.613645
203,17.805828
204,17.271063
205,18.176767
206,18.153141
207,18.02517
208,18.429863
209,19.261448
210,19.997799
211,18.927753
212,18.657494
213,18.068768
214,21.00777
215,19.407259
216,19.464388
217,20.574503
218,17.943726
219,11.340765
220,10.868862
221,12.8812685
222,15.105195
223,12.837071
224,11.766798
225,11.463152
226,11.822843
227,11.090409
228,12.040643
229,11.491361
230,11.738453
231,25.754675
232,21.738688
233,17.653845
234,5.166572
235,9.498517
236,13.533089
237,12.36215
238,11.272871
239,25.919672
240,7.8523903
241,6.36585
242,12.0972185
243,13.294628
244,10.568534
245,8.999921
246,9.670835
247,27.46452
248,5.26953
249,5.4149323
250,12.135517
251,14.612324
252,13.960831
253,12.317751
254,12.620324
255,14.909947
256,13.593042
257,12.9711485
258,15.743657
259,17.29238
260,16.8737
261,17.188927
262,17.423473
263,17.505548
264,17.903982
265,17.020079
266,16.385761
267,15.388542
268,14.191284
269,22.549076
270,14.449296
271,15.451642
272,21.931824
273,20.383318
274,18.508093
275,14.700675
276,20.385742
277,20.414452
278,19.03635
279,14.575099
280,16.634937
281,18.855297
282,17.482718
283,14.846534
284,16.119223
285,16.911093
286,17.342197
287,17.656137
288,20.859367
289,16.493965
290,16.588943
291,18.591202
292,18.067005
293,17.28729
294,16.813726
295,16.26656
296,15.777304
297,15.878704
298,21.97336
299,15.177731
300,14.9737015
301,16.645075
302,17.573029
303,15.863855
304,17.064016
305,18.759054
306,17.62773
307,17.015402
308,17.321548
309,16.9415
310,19.626436
311,19.964895
312,20.215437
313,21.473412
314,21.368101
315,25.190994
316,24.31405
317,23.133478
318,25.631678
319,30.913845
320,21.49483
321,24.258701
322,26.434868
323,20.531971
324,19.455267
325,18.966667
326,17.54836
327,15.455924
328,21.167452
329,20.527143
330,11.765905
331,14.742321
332,16.733692
333,15.073599
334,13.234045
335,13.911615
336,14.037692
337,13.129718
338,13.533787
339,13.73368
340,12.1516
341,10.641255
342,13.259626
343,12.036577
344,10.779176
345,12.055429
346,12.598984
347,15.450342
348,18.044249
349,15.579731
350,15.506735
351,14.573281
352,14.793289
353,16.862856
354,17.386242
355,18.18012
356,17.134657
357,17.27945
358,18.334225
359,17.356453
360,15.811964
361,16.312244
362,15.009278
363,13.252824
364,16.864857
365,19.836489
366,20.346144
367,20.333057
368,18.518162
369,18.64755
370,19.183025
371,22.27307
372,18.37059
373,18.3292
374,19.320066
375,19.50109
376,20.160938
377,18.060255
378,18.122278
379,19.116028
380,18.697802
381,17.44676
382,17.126957
383,16.385624
384,16.702549
385,15.919136
386,15.620323
387,15.6237
388,15.833351
389,15.46856
390,12.584617
391,14.752916
392,14.165809
393,15.230912
394,16.483591
395,19.788496
396,18.92059
397,17.327559
398,17.842276
399,20.201416
400,23.037807
401,27.094418
402,26.404345
403,24.244286
404,25.981321
405,25.195585
406,22.758337
407,22.28208
408,21.988071
409,21.547956
410,18.386915
411,12.604992
412,14.331063
413,15.004312
414,14.439111
415,15.215971
416,15.643757
417,14.397677
418,12.7492695
419,12.943683
420,12.692454
421,12.441715
422,11.43114
423,10.766909
424,25.96528
425,9.251775
426,8.279888
427,14.783799
428,14.775936
429,11.723279
430,12.151707
431,13.27145
432,12.346868
433,11.53752
434,25.250074
435,9.063589
436,8.883233
437,11.144013
438,12.796983
439,11.535194
440,11.446298
441,12.405899
442,12.935426
443,13.329647
444,12.338228
445,13.040236
446,13.463854
447,12.28288
448,12.213357
449,13.716585
450,13.4725065
451,12.691458
452,13.362126
453,13.596218
454,13.184512
455,13.16682
456,12.722411
457,11.411993
458,12.8813505
459,15.081891
460,15.257093
461,15.176013
462,15.469375
463,16.475668
464,22.001198
465,20.047142
466,18.414156
467,18.628254
468,19.223228
469,19.224382
470,19.188639
471,20.905973
472,18.973019
473,18.14933
474,17.01873
475,13.425924
476,13.557069
477,14.598971
478,14.513455
479,14.372076
480,13.978405
481,13.287713
482,13.9358015
483,14.778627
484,14.046973
485,14.062241
486,14.9108095
487,15.98441
488,15.755587
489,16.960897
490,16.500948
491,17.22499
492,21.148869
493,17.515121
494,15.512774
495,16.464607
496,17.781137
497,19.511738
498,17.20197
499,18.838339
500,20.883945
501,20.06516
502,23.043621
503,22.536165
504,21.549078
505,23.25415
506,18.364277
507,17.332283
508,10.791678
509,14.180973
510,14.662145
511,13.682494
512,11.997428
513,11.742189
514,12.902677
515,13.1017885
516,11.620032
517,10.148276
518,10.794152
519,11.14735
520,26.429527
521,7.488201
522,8.661446
523,18.465054
524,19.351461
525,15.563024
526,14.011732
527,14.053316
528,15.599629
529,16.879185
530,16.901957
531,17.003925
532,16.32391
533,17.068747
534,17.607687
535,18.38026
536,16.271166
537,15.379292
538,16.805878
539,20.487688
540,20.44974
541,20.105259
542,20.516384
543,20.442999
544,18.995361
545,17.594494
546,17.273048
547,15.930845
548,15.644155
549,15.306091
550,14.468015
551,14.199
552,16.313488
553,14.846133
554,14.8890295
555,16.584482
556,17.808464
557,17.026428
558,18.400671
559,19.656984
560,19.634165
561,19.005661
562,18.967669
563,22.132326
564,18.37059
565,18.3292
566,19.320066
567,32.73988
568,31.457453
569,28.76917
570,26.779001
571,11.326536
572,16.524214
573,21.41787
574,1.8995252
575,19.282444
576,24.127707
577,20.448538
578,18.818523
579,18.75387
580,17.813103
581,18.967043
582,17.728073
583,19.844147
584,16.642036
585,16.161057
586,16.851757
587,17.202635
588,17.042902
589,16.422335
590,16.911816
591,16.789713
592,21.668768
593,19.860327
594,23.204184
595,17.603756
596,32.19235
597,23.782076
598,23.909582
599,41.966213
600,38.464256
601,26.95399
602,86.66843
603,111.013916
604,44.779232
605,28.744396
606,38.080753
607,9.901927
608,6.986336
609,10.625191
610,9.343744
611,6.5298114
612,4.2165394
613,4.9785595
614,4.517473
615,2.1560163
616,33.283195
617,25.338251
618,-8.133623
619,9.228824
620,18.117826
621,14.206222
622,11.85593
623,12.39064
624,12.273471
625,12.0419655
626,12.594374
627,11.867036
628,11.007538
629,11.45967
630,11.747598
631,11.107861
632,10.4446
633,9.522675
634,10.444334
635,11.226928
636,11.418154
637,11.189312
638,12.120302
639,12.196602
640,10.712946
641,9.839016
642,11.31056
643,11.447667
644,11.6487055
645,11.982931
646,11.910479
647,11.709587
648,12.450459
649,11.936378
650,12.19343
651,13.14764
652,12.652893
653,12.40488
654,12.519284
655,12.58815
656,24.88828
657,21.416727
658,17.848799
659,7.9876285
660,22.301428
661,22.318422
662,18.839754
663,9.027994
664,11.98947
665,14.375177
666,24.725475
667,21.161255
668,18.080635
669,73.788864
670,8.136914
671,1.751028
672,19.98224
673,20.247164
674,16.19345
675,15.1681595
676,16.319426
677,14.716855
678,22.277142
679,12.933114
680,13.3904705
681,14.77229
682,15.336095
683,22.983662
684,13.931262
685,12.580731
686,14.553604
687,15.2951975
688,15.060896
689,14.38287
690,15.903219
691,15.4872675
692,14.728134
693,13.790051
694,15.414261
695,16.879578
696,16.443798
697,14.396716
698,14.091745
699,12.475303
700,14.61357
701,13.551788
702,13.737643
703,14.4261265
704,13.675912
705,12.833661
706,13.062848
707,13.912103
708,14.115276
709,12.867989
710,11.723071
711,12.40469
712,25.12113
713,10.591553
