,0
0,6.2
1,6.7
2,6.9
3,38.67281503270642
4,9.0
5,9.9
6,6.2
7,10.5
8,6.5
9,13.4
10,8.3
11,5.8
12,10.5
13,8.7
14,18.6
15,43.7
16,80.5
17,78.2
18,81.0
19,60.49999999999999
20,38.67281503270642
21,294.3
22,232.5
23,229.5
24,278.9
25,38.67281503270642
26,231.6
27,347.7
28,434.8
29,472.0
30,38.67281503270642
31,38.67281503270642
32,436.6
33,465.6
34,454.8
35,440.1
36,401.9
37,393.1
38,380.1
39,38.67281503270642
40,38.67281503270642
41,373.9
42,366.9
43,38.67281503270642
44,363.0
45,323.4
46,38.67281503270642
47,272.9
48,265.6
49,312.8
50,364.7
51,339.9
52,254.29999999999998
53,38.67281503270642
54,167.3
55,207.4
56,149.1
57,58.7
58,40.5
59,41.9
60,40.7
61,6.8
62,4.6
63,2.2
64,38.67281503270642
65,4.3
66,8.1
67,6.5
68,4.8
69,5.0
70,10.3
71,14.800000000000002
72,13.7
73,17.4
74,21.9
75,21.9
76,20.4
77,23.2
78,34.5
79,38.67281503270642
80,38.67281503270642
81,38.67281503270642
82,30.2
83,37.7
84,32.3
85,23.0
86,17.7
87,38.67281503270642
88,38.67281503270642
89,38.67281503270642
90,380.0
91,341.2
92,4.6
93,12.5
94,15.3
95,10.6
96,9.5
97,7.7
98,9.9
99,4.5
100,7.0
101,6.8
102,38.67281503270642
103,7.900000000000001
104,5.5
105,9.1
106,9.7
107,9.1
108,13.7
109,18.8
110,50.8
111,152.9
112,38.67281503270642
113,201.4
114,265.6
115,213.8
116,227.6
117,289.3
118,322.3
119,233.3
120,259.3
121,250.1
122,139.3
123,78.8
124,74.8
125,157.0
126,158.4
127,183.4
128,38.67281503270642
129,45.2
130,60.60000000000001
131,101.8
132,62.2
133,24.4
134,2.9
135,38.67281503270642
136,4.7
137,2.8
138,2.9
139,4.5
140,5.3
141,4.7
142,5.7
143,0.8
144,5.3
145,4.8
146,10.0
147,5.4
148,3.2
149,3.5
150,2.2
151,3.6
152,6.6
153,6.7
154,38.67281503270642
155,1.5
156,6.5
157,2.5
158,3.1
159,0.5
160,2.8
161,2.2
162,1.2
163,5.2
164,1.2
165,4.8
166,6.1
167,3.7000000000000006
168,7.800000000000001
169,3.9000000000000004
170,2.8
171,6.5
172,6.0
173,4.6
174,4.9
175,38.67281503270642
176,38.67281503270642
177,38.67281503270642
178,5.0
179,8.5
180,8.1
181,13.0
182,10.3
183,38.67281503270642
184,38.67281503270642
185,38.67281503270642
186,12.3
187,8.5
188,38.67281503270642
189,6.1
190,6.1
191,9.6
192,7.7
193,6.3
194,7.7
195,7.3
196,8.6
197,7.3
198,8.0
199,6.2
200,7.2
201,10.5
202,10.7
203,9.1
204,9.9
205,10.4
206,10.7
207,17.5
208,23.8
209,26.7
210,29.900000000000002
211,24.0
212,28.1
213,40.7
214,32.7
215,53.1
216,62.10000000000001
217,37.2
218,26.8
219,23.6
220,40.8
221,42.9
222,20.5
223,24.5
224,18.5
225,17.3
226,8.5
227,15.3
228,27.5
229,36.6
230,38.67281503270642
231,38.67281503270642
232,38.67281503270642
233,32.6
234,25.4
235,16.3
236,9.6
237,6.6
238,38.67281503270642
239,5.2
240,5.5
241,4.0
242,2.7
243,3.5
244,5.4
245,2.6
246,38.67281503270642
247,4.1
248,4.3
249,3.2
250,1.8999999999999997
251,3.0
252,5.5
253,5.9
254,9.0
255,4.3
256,22.8
257,20.7
258,14.0
259,22.8
260,18.0
261,20.7
262,20.5
263,18.3
264,14.5
265,11.9
266,12.2
267,9.2
268,38.67281503270642
269,21.4
270,10.8
271,38.67281503270642
272,38.67281503270642
273,38.67281503270642
274,13.8
275,13.1
276,6.8
277,38.67281503270642
278,11.0
279,38.67281503270642
280,38.67281503270642
281,38.67281503270642
282,12.2
283,10.2
284,6.0
285,8.2
286,7.900000000000001
287,38.67281503270642
288,6.1
289,10.6
290,13.9
291,9.9
292,10.9
293,12.2
294,9.4
295,14.3
296,13.7
297,38.67281503270642
298,17.1
299,13.5
300,19.8
301,15.4
302,4.9
303,47.8
304,33.3
305,15.1
306,20.8
307,16.4
308,24.9
309,41.8
310,45.6
311,50.7
312,68.0
313,136.5
314,172.1
315,109.0
316,129.3
317,205.1
318,199.4
319,125.2
320,164.4
321,164.9
322,116.8
323,114.7
324,95.5
325,61.8
326,47.5
327,38.67281503270642
328,38.67281503270642
329,40.6
330,55.0
331,40.0
332,35.1
333,34.9
334,37.9
335,33.8
336,26.0
337,19.3
338,18.4
339,18.8
340,16.2
341,12.3
342,13.7
343,9.7
344,7.7
345,5.5
346,5.9
347,7.1
348,8.6
349,13.2
350,14.4
351,33.1
352,42.8
353,47.3
354,45.8
355,45.4
356,52.2
357,52.3
358,45.0
359,58.6
360,50.2
361,47.6
362,43.1
363,38.6
364,39.0
365,34.4
366,24.6
367,38.67281503270642
368,38.67281503270642
369,38.67281503270642
370,19.7
371,13.9
372,11.5
373,16.0
374,14.4
375,38.67281503270642
376,38.67281503270642
377,38.67281503270642
378,8.7
379,8.5
380,6.0
381,4.8
382,4.5
383,9.2
384,6.3
385,3.9000000000000004
386,7.0
387,7.3
388,4.3
389,3.0
390,4.7
391,7.0
392,9.7
393,11.6
394,7.3
395,6.7
396,7.400000000000001
397,11.7
398,29.3
399,65.4
400,87.2
401,53.6
402,69.2
403,79.7
404,61.1
405,52.8
406,60.49999999999999
407,53.1
408,28.4
409,17.4
410,19.6
411,18.6
412,18.6
413,21.6
414,18.8
415,34.5
416,21.8
417,18.5
418,18.0
419,16.1
420,7.1
421,6.6
422,5.9
423,38.67281503270642
424,6.2
425,3.0
426,4.9
427,1.8999999999999997
428,6.4
429,2.1
430,6.6
431,4.7
432,2.4
433,38.67281503270642
434,2.5
435,4.4
436,4.6
437,38.67281503270642
438,1.3
439,4.6
440,3.9000000000000004
441,4.0
442,6.2
443,5.1
444,38.67281503270642
445,3.7999999999999994
446,5.0
447,38.67281503270642
448,3.3
449,2.8
450,1.7
451,3.9000000000000004
452,3.1
453,3.7999999999999994
454,5.8
455,8.0
456,10.8
457,9.1
458,10.4
459,17.3
460,25.7
461,44.1
462,41.6
463,38.67281503270642
464,38.67281503270642
465,38.67281503270642
466,46.0
467,44.6
468,38.1
469,36.0
470,26.9
471,38.67281503270642
472,38.67281503270642
473,38.67281503270642
474,10.1
475,7.900000000000001
476,11.2
477,9.1
478,10.7
479,9.1
480,6.5
481,11.0
482,6.8
483,8.0
484,5.3
485,8.3
486,10.3
487,6.8
488,7.5
489,6.9
490,11.4
491,38.67281503270642
492,9.4
493,13.2
494,17.0
495,22.7
496,27.8
497,25.0
498,54.9
499,47.5
500,88.2
501,88.1
502,83.6
503,92.7
504,102.9
505,70.9
506,38.67281503270642
507,37.0
508,36.0
509,23.9
510,15.7
511,11.3
512,10.1
513,10.1
514,7.3
