,0
0,61.400000000000006
1,51.4
2,59.9
3,0.08552184578525099
4,57.800000000000004
5,59.39999999999999
6,67.2
7,66.7
8,61.3
9,85.9
10,74.7
11,63.7
12,79.6
13,83.5
14,116.50000000000001
15,145.2
16,160.5
17,151.2
18,154.5
19,156.2
20,0.08552184578525099
21,163.9
22,171.2
23,168.8
24,187.3
25,0.08552184578525099
26,186.0
27,186.4
28,186.2
29,186.5
30,179.0
31,0.08552184578525099
32,166.6
33,154.8
34,152.6
35,165.4
36,156.4
37,162.0
38,167.9
39,0.08552184578525099
40,0.08552184578525099
41,139.9
42,132.6
43,0.08552184578525099
44,133.4
45,137.2
46,0.08552184578525099
47,134.7
48,135.6
49,128.8
50,133.4
51,118.4
52,126.7
53,0.08552184578525099
54,127.1
55,116.99999999999999
56,115.8
57,124.6
58,118.6
59,110.4
60,96.7
61,87.4
62,72.3
63,61.5
64,0.08552184578525099
65,63.5
66,64.7
67,64.6
68,68.3
69,67.2
70,62.9
71,64.7
72,65.6
73,66.6
74,65.6
75,63.199999999999996
76,65.9
77,73.0
78,79.3
79,0.08552184578525099
80,0.08552184578525099
81,0.08552184578525099
82,91.3
83,100.8
84,118.1
85,116.2
86,109.7
87,0.08552184578525099
88,0.08552184578525099
89,0.08552184578525099
90,15.6
91,10.2
92,19.6
93,93.4
94,91.6
95,96.7
96,88.3
97,77.3
98,72.8
99,65.3
100,72.5
101,62.9
102,0.08552184578525099
103,77.5
104,61.400000000000006
105,80.2
106,84.2
107,67.1
108,88.3
109,117.2
110,158.0
111,167.6
112,0.08552184578525099
113,193.3
114,188.8
115,190.9
116,205.9
117,223.1
118,219.6
119,204.8
120,195.8
121,205.3
122,202.9
123,193.8
124,191.8
125,186.7
126,172.7
127,172.6
128,0.08552184578525099
129,171.5
130,165.2
131,155.4
132,154.0
133,137.2
134,124.0
135,0.08552184578525099
136,97.2
137,84.1
138,82.0
139,82.4
140,62.6
141,57.2
142,58.6
143,55.3
144,55.5
145,52.8
146,56.199999999999996
147,55.0
148,55.9
149,51.4
150,41.8
151,42.2
152,41.0
153,37.0
154,0.08552184578525099
155,32.6
156,31.2
157,32.7
158,30.800000000000004
159,27.2
160,31.499999999999996
161,31.1
162,34.1
163,33.2
164,27.1
165,34.8
166,35.8
167,36.7
168,36.9
169,40.0
170,42.8
171,42.1
172,43.6
173,46.9
174,46.9
175,0.08552184578525099
176,0.08552184578525099
177,0.08552184578525099
178,46.8
179,50.7
180,53.5
181,61.400000000000006
182,57.5
183,0.08552184578525099
184,0.08552184578525099
185,0.08552184578525099
186,47.6
187,47.2
188,0.08552184578525099
189,43.3
190,46.5
191,46.0
192,43.5
193,44.1
194,46.7
195,47.6
196,51.9
197,48.5
198,48.4
199,48.0
200,53.9
201,57.800000000000004
202,55.0
203,65.0
204,65.9
205,68.8
206,70.2
207,90.2
208,96.3
209,104.1
210,119.9
211,117.8
212,120.7
213,125.10000000000001
214,116.40000000000002
215,123.6
216,118.79999999999998
217,114.0
218,112.49999999999999
219,108.0
220,112.2
221,105.8
222,112.39999999999999
223,106.9
224,104.2
225,95.9
226,93.5
227,93.8
228,100.4
229,91.6
230,0.08552184578525099
231,0.08552184578525099
232,0.08552184578525099
233,81.0
234,81.9
235,77.0
236,70.8
237,59.7
238,0.08552184578525099
239,45.0
240,41.2
241,38.3
242,38.2
243,36.4
244,34.5
245,37.5
246,0.08552184578525099
247,42.1
248,41.4
249,44.6
250,44.1
251,43.3
252,46.3
253,51.7
254,66.6
255,59.5
256,97.4
257,89.8
258,80.8
259,92.0
260,84.0
261,83.0
262,80.7
263,84.2
264,85.1
265,84.0
266,72.7
267,68.8
268,0.08552184578525099
269,77.2
270,77.1
271,0.08552184578525099
272,0.08552184578525099
273,0.08552184578525099
274,71.4
275,69.8
276,64.2
277,0.08552184578525099
278,67.2
279,0.08552184578525099
280,0.08552184578525099
281,0.08552184578525099
282,69.7
283,64.6
284,59.10000000000001
285,55.2
286,61.8
287,0.08552184578525099
288,65.0
289,63.4
290,68.5
291,66.0
292,59.10000000000001
293,64.2
294,61.7
295,78.0
296,88.2
297,0.08552184578525099
298,92.5
299,80.9
300,94.4
301,92.0
302,76.7
303,125.2
304,129.0
305,116.59999999999998
306,119.1
307,120.90000000000002
308,125.59999999999998
309,127.1
310,132.8
311,132.6
312,132.1
313,136.5
314,129.5
315,130.0
316,128.4
317,129.6
318,135.3
319,129.5
320,131.0
321,128.1
322,129.0
323,119.69999999999999
324,116.8
325,117.3
326,102.1
327,0.08552184578525099
328,0.08552184578525099
329,90.4
330,78.0
331,79.4
332,74.8
333,71.5
334,66.0
335,68.3
336,74.2
337,79.1
338,67.7
339,63.60000000000001
340,64.7
341,59.8
342,63.4
343,57.9
344,56.7
345,59.39999999999999
346,58.6
347,57.5
348,56.8
349,49.5
350,51.1
351,65.2
352,70.7
353,64.1
354,62.9
355,60.6
356,58.49999999999999
357,58.1
358,60.1
359,62.99999999999999
360,68.2
361,72.5
362,78.4
363,90.1
364,82.3
365,91.8
366,95.9
367,0.08552184578525099
368,0.08552184578525099
369,0.08552184578525099
370,109.1
371,98.4
372,86.2
373,103.2
374,116.00000000000001
375,0.08552184578525099
376,0.08552184578525099
377,0.08552184578525099
378,95.3
379,83.5
380,77.0
381,79.3
382,60.699999999999996
383,73.8
384,69.1
385,61.2
386,79.1
387,67.8
388,57.2
389,61.7
390,55.6
391,68.4
392,92.1
393,88.0
394,72.6
395,72.4
396,86.5
397,99.3
398,126.39999999999999
399,146.5
400,154.7
401,159.0
402,151.2
403,156.8
404,157.7
405,145.4
406,148.9
407,156.4
408,138.8
409,121.99999999999999
410,121.09999999999998
411,120.7
412,118.79999999999998
413,119.5
414,124.19999999999999
415,125.3
416,119.8
417,121.09999999999998
418,114.0
419,106.5
420,85.9
421,75.0
422,85.5
423,0.08552184578525099
424,73.2
425,61.3
426,59.0
427,52.3
428,52.4
429,59.0
430,58.29999999999999
431,46.8
432,47.1
433,0.08552184578525099
434,50.3
435,48.7
436,48.7
437,47.4
438,43.9
439,43.2
440,44.8
441,42.3
442,43.0
443,39.9
444,42.5
445,44.8
446,40.5
447,40.5
448,39.2
449,40.8
450,46.9
451,43.2
452,40.7
453,40.4
454,45.1
455,43.2
456,42.7
457,43.7
458,49.7
459,54.3
460,56.4
461,63.4
462,66.5
463,0.08552184578525099
464,0.08552184578525099
465,0.08552184578525099
466,75.2
467,79.7
468,81.4
469,85.7
470,91.9
471,0.08552184578525099
472,0.08552184578525099
473,0.08552184578525099
474,69.5
475,64.1
476,67.7
477,63.3
478,59.3
479,56.900000000000006
480,55.9
481,57.800000000000004
482,57.9
483,58.20000000000001
484,57.39999999999999
485,60.79999999999999
486,69.7
487,57.5
488,59.9
489,59.2
490,62.79999999999999
491,0.08552184578525099
492,87.3
493,106.0
494,115.8
495,132.4
496,148.0
497,154.8
498,151.2
499,158.6
500,163.2
501,161.0
502,162.1
503,157.3
504,161.9
505,164.8
506,0.08552184578525099
507,144.4
508,142.1
509,131.3
510,119.29999999999998
511,111.60000000000001
512,112.2
513,117.3
514,100.0
515,87.9
516,93.1
517,95.6
518,75.8
519,0.08552184578525099
520,66.2
521,53.4
522,45.7
523,43.1
524,43.5
525,39.5
526,41.2
527,41.2
528,37.8
529,36.8
530,35.9
531,35.4
532,35.7
533,36.8
534,34.0
535,33.9
536,33.0
537,31.2
538,33.3
539,35.7
540,49.6
541,37.7
542,38.1
543,38.1
544,34.2
545,37.1
546,38.4
547,36.8
548,41.2
549,44.4
550,44.7
551,46.7
552,50.6
553,52.0
554,44.9
555,49.8
556,51.7
557,57.0
558,50.0
559,0.08552184578525099
560,0.08552184578525099
561,0.08552184578525099
562,56.199999999999996
563,56.5
564,56.4
565,60.50000000000001
566,60.9
567,0.08552184578525099
568,0.08552184578525099
569,0.08552184578525099
570,14.000000000000002
571,17.3
572,14.399999999999999
573,38.5
574,61.3
575,60.4
576,67.7
577,64.1
578,59.39999999999999
579,60.9
580,60.1
581,57.3
