,0
0,45.099999999999994
1,40.6
2,30.0
3,19.558918951593757
4,17.9
5,16.8
6,15.7
7,16.9
8,19.2
9,21.899999999999995
10,31.4
11,26.6
12,25.3
13,23.799999999999997
14,22.2
15,22.4
16,24.9
17,25.6
18,27.0
19,28.2
20,19.558918951593757
21,37.9
22,38.9
23,38.5
24,51.6
25,19.558918951593757
26,41.2
27,39.6
28,42.7
29,40.5
30,43.39999999999999
31,19.558918951593757
32,37.4
33,37.2
34,37.4
35,40.2
36,45.49999999999999
37,47.8
38,49.1
39,19.558918951593757
40,19.558918951593757
41,39.9
42,35.3
43,19.558918951593757
44,57.4
45,95.6
46,19.558918951593757
47,101.9
48,93.6
49,122.9
50,165.19999999999996
51,115.8
52,80.6
53,19.558918951593757
54,43.2
55,40.0
56,36.1
57,32.8
58,23.2
59,17.7
60,15.9
61,10.8
62,6.4
63,3.9
64,19.558918951593757
65,1.7
66,0.9000000000000001
67,0.3
68,19.558918951593757
69,19.558918951593757
70,19.558918951593757
71,19.558918951593757
72,19.558918951593757
73,1.7
74,11.4
75,13.1
76,14.400000000000002
77,15.199999999999998
78,15.199999999999998
79,19.558918951593757
80,19.558918951593757
81,19.558918951593757
82,17.7
83,19.558918951593757
84,19.558918951593757
85,19.558918951593757
86,25.1
87,25.6
88,24.200000000000003
89,19.558918951593757
90,19.558918951593757
91,19.558918951593757
92,10.9
93,16.6
94,34.0
95,44.9
96,51.7
97,32.7
98,23.3
99,20.9
100,20.4
101,20.1
102,19.558918951593757
103,19.1
104,19.7
105,20.1
106,21.2
107,21.699999999999996
108,21.699999999999996
109,22.8
110,25.2
111,31.100000000000005
112,19.558918951593757
113,38.5
114,46.1
115,43.9
116,47.3
117,49.70000000000001
118,56.1
119,57.60000000000001
120,50.3
121,39.4
122,22.2
123,19.8
124,22.9
125,27.0
126,25.1
127,27.5
128,19.558918951593757
129,14.2
130,11.7
131,11.7
132,10.2
133,8.4
134,5.5
135,19.558918951593757
136,2.9
137,7.0
138,13.5
139,14.8
140,14.500000000000002
141,14.700000000000001
142,14.2
143,13.7
144,13.5
145,14.300000000000002
146,13.8
147,13.6
148,13.1
149,13.4
150,12.4
151,11.5
152,11.6
153,12.100000000000001
154,19.558918951593757
155,13.1
156,12.5
157,11.7
158,11.7
159,11.3
160,12.000000000000002
161,12.4
162,11.6
163,11.1
164,11.0
165,11.3
166,11.3
167,11.4
168,11.3
169,11.799999999999999
170,12.4
171,12.6
172,12.8
173,13.1
174,13.3
175,19.558918951593757
176,19.558918951593757
177,19.558918951593757
178,13.4
179,19.558918951593757
180,19.558918951593757
181,19.558918951593757
182,14.500000000000002
183,14.600000000000001
184,14.8
185,14.9
186,15.199999999999998
187,16.5
188,19.558918951593757
189,16.8
190,16.8
191,16.7
192,16.5
193,15.9
194,16.1
195,15.7
196,15.8
197,15.4
198,15.7
199,15.3
200,14.600000000000001
201,14.9
202,16.5
203,16.8
204,17.9
205,18.2
206,18.4
207,18.7
208,19.2
209,19.8
210,19.5
211,19.4
212,18.9
213,20.3
214,19.7
215,20.0
216,20.5
217,19.2
218,15.4
219,13.7
220,13.2
221,14.0
222,13.2
223,12.8
224,12.3
225,12.200000000000001
226,11.7
227,12.100000000000001
228,11.799999999999999
229,12.000000000000002
230,19.558918951593757
231,19.558918951593757
232,19.558918951593757
233,12.4
234,12.3
235,12.3
236,11.899999999999999
237,11.799999999999999
238,19.558918951593757
239,11.6
240,11.2
241,11.6
242,11.899999999999999
243,11.3
244,10.4
245,10.3
246,19.558918951593757
247,9.7
248,10.3
249,10.9
250,12.200000000000001
251,13.2
252,12.9
253,13.2
254,14.300000000000002
255,13.9
256,13.8
257,15.1
258,16.2
259,16.7
260,17.3
261,17.6
262,17.8
263,18.1
264,17.7
265,17.3
266,16.5
267,15.5
268,19.558918951593757
269,16.0
270,16.9
271,19.558918951593757
272,19.558918951593757
273,19.558918951593757
274,17.3
275,19.558918951593757
276,19.558918951593757
277,19.558918951593757
278,17.2
279,17.5
280,18.1
281,17.7
282,16.5
283,16.7
284,16.8
285,17.2
286,17.6
287,19.558918951593757
288,17.8
289,17.9
290,18.4
291,18.2
292,18.0
293,17.6
294,17.1
295,16.6
296,16.4
297,19.558918951593757
298,16.7
299,16.8
300,16.8
301,17.2
302,16.6
303,17.2
304,18.1
305,17.9
306,17.8
307,17.8
308,17.5
309,18.9
310,19.4
311,20.1
312,21.099999999999998
313,21.4
314,23.799999999999997
315,24.000000000000004
316,24.000000000000004
317,25.3
318,28.4
319,24.400000000000002
320,25.6
321,25.8
322,22.9
323,21.8
324,20.3
325,18.9
326,17.2
327,19.558918951593757
328,19.558918951593757
329,15.6
330,16.2
331,16.1
332,15.5
333,14.600000000000001
334,14.500000000000002
335,14.300000000000002
336,13.8
337,13.9
338,13.9
339,13.1
340,12.100000000000001
341,13.0
342,12.3
343,11.799999999999999
344,12.200000000000001
345,12.4
346,14.2
347,16.2
348,15.9
349,16.3
350,15.6
351,15.5
352,16.4
353,16.9
354,17.8
355,17.6
356,17.8
357,18.3
358,17.9
359,17.1
360,17.0
361,16.0
362,14.8
363,16.2
364,17.9
365,19.2
366,20.1
367,19.558918951593757
368,19.558918951593757
369,19.558918951593757
370,21.2
371,19.558918951593757
372,19.558918951593757
373,19.558918951593757
374,19.6
375,20.1
376,19.1
377,19.0
378,19.2
379,19.0
380,18.4
381,18.0
382,17.3
383,17.2
384,16.6
385,16.3
386,16.1
387,16.1
388,15.9
389,14.300000000000002
390,15.0
391,14.400000000000002
392,15.1
393,15.9
394,18.1
395,18.5
396,18.3
397,18.5
398,19.6
399,21.499999999999996
400,24.6
401,25.6
402,25.4
403,26.300000000000004
404,25.8
405,24.5
406,23.7
407,22.9
408,22.3
409,20.3
410,16.5
411,15.9
412,15.1
413,14.700000000000001
414,15.1
415,15.4
416,15.0
417,14.1
418,13.8
419,13.3
420,13.0
421,12.3
422,11.7
423,19.558918951593757
424,12.3
425,12.4
426,13.6
427,13.6
428,12.9
429,12.9
430,13.2
431,12.8
432,12.4
433,19.558918951593757
434,12.4
435,12.7
436,11.7
437,12.100000000000001
438,11.799999999999999
439,11.799999999999999
440,12.3
441,12.7
442,13.2
443,12.9
444,13.3
445,13.5
446,13.0
447,12.9
448,13.5
449,13.5
450,13.3
451,13.6
452,13.7
453,13.6
454,13.6
455,13.3
456,12.5
457,13.0
458,14.1
459,14.700000000000001
460,15.199999999999998
461,15.6
462,16.3
463,19.558918951593757
464,19.558918951593757
465,19.558918951593757
466,19.5
467,19.558918951593757
468,19.558918951593757
469,19.558918951593757
470,20.5
471,19.7
472,19.3
473,18.3
474,15.9
475,15.1
476,14.8
477,14.600000000000001
478,14.600000000000001
479,14.400000000000002
480,14.0
481,14.2
482,14.600000000000001
483,14.400000000000002
484,14.500000000000002
485,14.9
486,15.6
487,15.8
488,16.7
489,16.7
490,17.3
491,19.558918951593757
492,18.3
493,17.5
494,17.3
495,17.6
496,18.7
497,17.9
498,18.9
499,20.0
500,20.1
501,22.1
502,22.3
503,22.3
504,23.2
505,20.6
506,19.558918951593757
507,14.9
508,15.199999999999998
509,14.400000000000002
510,14.0
511,13.1
512,12.6
513,12.9
514,13.0
515,12.4
516,11.5
517,11.4
518,11.3
519,19.558918951593757
520,11.3
521,12.4
522,15.3
523,16.6
524,16.4
525,15.7
526,15.199999999999998
527,15.6
528,16.3
529,16.7
530,17.1
531,16.9
532,17.3
533,17.6
534,18.2
535,17.3
536,16.7
537,17.0
538,18.9
539,19.6
540,20.2
541,20.7
542,20.8
543,20.1
544,19.1
545,18.4
546,17.2
547,16.6
548,16.0
549,15.3
550,14.9
551,15.8
552,15.199999999999998
553,15.4
554,16.2
555,17.1
556,17.2
557,18.2
558,19.1
559,19.558918951593757
560,19.558918951593757
561,19.558918951593757
562,21.2
563,19.558918951593757
564,19.558918951593757
565,19.558918951593757
566,26.8
567,28.4
568,29.400000000000002
569,28.7
570,19.558918951593757
571,19.558918951593757
572,19.558918951593757
573,9.2
574,16.5
575,18.2
576,19.3
577,19.8
578,19.6
579,19.0
580,19.3
581,18.5
582,19.558918951593757
583,17.9
584,17.5
585,17.3
586,17.3
587,17.3
588,17.0
589,17.2
590,17.1
591,19.8
592,19.558918951593757
593,22.1
594,19.558918951593757
595,27.3
596,24.1
597,25.4
598,34.6
599,35.5
600,31.900000000000002
601,63.5
602,90.0
603,59.4
604,46.6
605,40.1
606,20.5
607,14.8
608,10.7
609,8.6
610,7.1
611,5.4
612,5.3
613,4.7
614,3.4
615,19.558918951593757
616,19.558918951593757
617,5.4
618,11.2
619,12.200000000000001
620,12.7
621,12.9
622,12.9
623,12.8
624,12.6
625,12.8
626,12.4
627,11.899999999999999
628,11.899999999999999
629,11.899999999999999
630,11.6
631,11.2
632,10.5
633,10.7
634,11.0
635,11.3
636,11.4
637,12.000000000000002
638,12.200000000000001
639,11.6
640,11.0
641,11.4
642,11.4
643,11.7
644,12.000000000000002
645,12.100000000000001
646,12.100000000000001
647,12.5
648,12.3
649,12.5
650,13.0
651,12.9
652,12.9
653,12.9
654,12.9
655,19.558918951593757
656,19.558918951593757
657,19.558918951593757
658,13.9
659,19.558918951593757
660,19.558918951593757
661,19.558918951593757
662,14.400000000000002
663,14.2
664,13.9
665,19.558918951593757
666,19.558918951593757
667,19.558918951593757
668,49.6
669,16.7
670,15.6
671,15.7
672,15.4
673,16.0
674,15.6
675,16.3
676,15.5
677,19.558918951593757
678,15.3
679,15.6
680,15.1
681,15.199999999999998
682,19.558918951593757
683,15.8
684,15.4
685,15.1
686,15.1
687,15.199999999999998
688,14.9
689,15.7
690,15.6
691,15.4
692,14.8
693,15.4
694,16.2
695,16.4
696,15.6
697,15.199999999999998
698,13.9
699,14.600000000000001
700,13.9
701,14.1
702,14.400000000000002
703,14.1
704,13.7
705,13.6
706,13.9
707,14.1
708,13.6
709,12.9
710,12.9
711,19.558918951593757
712,13.4
713,13.1
714,12.5
715,12.5
716,12.100000000000001
717,12.200000000000001
718,12.4
719,19.558918951593757
720,11.799999999999999
721,11.7
722,11.799999999999999
723,11.899999999999999
724,11.4
725,11.7
726,11.799999999999999
727,12.5
728,13.1
729,12.9
730,12.4
731,12.4
732,12.3
733,12.8
734,13.5
735,13.3
736,12.8
737,12.4
738,12.7
739,12.4
740,12.000000000000002
741,12.3
742,12.200000000000001
743,11.899999999999999
744,11.2
745,11.2
746,12.000000000000002
747,12.5
748,12.200000000000001
749,12.4
750,12.100000000000001
751,19.558918951593757
752,19.558918951593757
753,19.558918951593757
754,12.100000000000001
755,19.558918951593757
756,19.558918951593757
757,19.558918951593757
758,12.9
759,13.3
760,13.7
761,19.558918951593757
762,19.558918951593757
763,19.558918951593757
764,19.558918951593757
765,13.4
766,14.9
767,15.1
768,15.3
769,15.1
770,16.4
771,18.2
772,19.0
773,19.5
774,19.558918951593757
775,19.5
776,19.2
777,18.9
778,18.6
779,18.2
780,17.7
781,18.4
782,18.4
783,18.2
